OBJECTID_1,FEATURE_TY,COUNTY_FIP,ROAD_NAME,GlobalID,last_edited_date
1179,State Highway,159,E Washington St,{9B66EE1B-885E-4EEA-B9AA-B118AB05E511},
1180,State Highway,159,Eatonton St,{58121DAD-24BF-43C6-9172-83DD42624113},
1181,State Highway,159,Forsyth St,{D2C27656-3334-4DDE-B87D-FCCBCE335B6B},
1182,State Highway,159,Madison Rd,{DA5F18AE-2294-4C36-8F73-BEE4832A932F},
1183,State Highway,159,N Warren St,{CCA75250-F024-4734-A5B0-450BF0C49823},
1184,State Highway,159,Perimeter Rd,{4AD2A65B-E743-44C7-A374-2010F0E6DC94},
1185,State Highway,159,S Warren St,{1E772219-B180-42D1-9D64-5037FCF52A24},
1186,State Highway,159,Shady Dale Rd Nw,{97D37E81-70F7-4B01-A5E9-D088FCF88E84},
1187,State Highway,159,State Route 142,{89650D7E-280C-4338-B339-3A6F74C23331},
1188,State Highway,159,State Route 380,{1A71CB91-7DE0-4F50-A22B-2C5606C2E2DE},
1189,State Highway,159,W Green St,{93E1FF81-01A1-4449-A800-F5EBC90DBC3E},
1190,State Highway,159,W Washington St,{54473FD7-EA5C-4C9F-AB8E-3FA9EB4F5C67},
1191,State Highway,171, ,{DA0F5735-3CFA-4887-BC7A-3427D5ACF4B3},
1192,State Highway,171, ,{65DD9F17-5C64-45B1-94E7-D5E886C65CBD},
1193,State Highway,171,Atlanta St,{B8AC1293-DC02-42B5-8E95-1610C8C0865F},
1194,State Highway,171,Barnesville-Jackson Rd,{7E7FBF19-9239-4666-8C1C-CCC407BF6660},
1195,State Highway,171,Liz Acres Rd,{4940B240-5E57-4B37-B04A-E19410FD7FF4},
1196,State Highway,171,Meansville Rd,{AD0CB365-2FD9-4C41-82BD-9856678FE880},
1197,State Highway,171,Rose Ave,{B8D99C02-44AE-4009-8200-D4721996360A},
1198,State Highway,171,State Route 36 (byp),{68578AD3-6270-4F1A-B334-C49F325A1ED8},
1199,State Highway,171,Thomaston St,{E2D25B9E-E273-45AF-8897-30ED686EDAB0},
1200,State Highway,171,US Highway 341,{27DFEC1C-017A-4B68-85B1-22ED8C4ADC97},
