OBJECTID,FeatureID,Name,DevType,Acres,SchoolES,SchoolMS,SchoolHS,YearBuilt,Gated,Private,TotalPop2015,TotalPop2015_MaritalStatus,TotalPop2015_NeverMarried,TotalPop2015_Married,TotalPop2015_Divorced,TotalPop2015_NeverMarried_PerOf,TotalPop2015_Married_PerOfTotal,TotalPop2015_Divorced_PerOfTota,TotalPop2015_NeverMarried_Per_1,TotalPop2015_Married_PerOfTot_1,TotalPop2015_Divorced_PerOfTo_1,TotalPop2015_PerOfTotalCity,Score_NeverMarriedPercentOfCity,Score_MarriedPercentOfCity,Score_DivorcedPercentOfCity,Shape_Length,Shape_Area
202,SA100442,Kimball Parc,Subdivision,9.091114,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2435.482686,398088.859119
203,SA100386,Kings & Priests,Subdivision,50.691791,Shakerag Elementary School,River Trail Middle School,Northview High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),9093.15702,2208134.592761
204,SA100430,Kingston Manor Park,Subdivision,6.976248,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2545.991256,303885.279798
205,SA100342,Mackinac,Subdivision,14.004584,Hillside Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3407.807586,610013.014331
206,SA100484,Madison Park,Subdivision,14.962014,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,2010,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3517.599882,651740.887639
207,SA100488,Magnolia Park,Subdivision,5.318691,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,2000,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2252.467649,231682.166332
208,SA100290,Morton Chase,Subdivision,15.300227,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4603.184817,665794.55765
209,SA100345,Mount View,Subdivision,67.885176,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),12417.83794,2956888.424123
210,SA100468,Myers Park,Townhomes,15.085531,Wilson Creek Elementary School,Autrey Mill Middle School,Johns Creek High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4441.420563,657130.003261
211,SA100508,Noor,Subdivision,4.703873,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2264.083571,204141.201758
212,SA100346,North Bridges,Subdivision,27.416268,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),5530.782504,1193655.276497
213,SA100347,North Peak,Subdivision,65.312977,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),8331.324135,2844893.870896
214,SA100433,Oak Bridge,Subdivision,15.674287,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4145.557069,682687.219488
215,SA100348,Oak Landing,Subdivision,8.794168,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2682.80353,384416.709456
216,SA100521,"Oaks at Johns Creek, The",Apartments,23.303549,Shakerag Elementary School,River Trail Middle School,Northview High School,2012,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),5898.356581,1015102.611294
217,SA100299,Old Taylor Farms,Subdivision,38.093983,Shakerag Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),6269.926161,1643281.396245
218,SA100429,Oxford Mill,Subdivision,163.046992,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),12322.878764,7102172.27535
219,SA100474,"Park at Haynes Manor, The",Mixed,5.552684,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2007.68877,241873.935499
220,SA100351,Parsons Walk,Subdivision,8.923645,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3214.733508,388666.369438
221,SA100506,Kilarney at St. Ives,Subdivision,7.374238,Wilson Creek Elementary School,Autrey Mill Middle School,Johns Creek High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2499.716325,321221.792035
222,SA100352,Pine Ridge,Subdivision,5.043468,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2082.175945,219567.284555
