OBJECTID,X,Y,Organization_Name,Study_Region,Street,City,ZIP,State,Data_Source,last_edited_date,GlobalID,Expenditures_2015_16,Attendance_2105_16
11,-84.345693,33.930827,Japanfest,Was City of Atlanta,1050 CROWN POINTE PKWY STE 1460,ATLANTA,30338-7710,GA,Paper Survey,2018-02-08T21:22:28.000Z,{90EB7BF6-7759-424B-98E2-CAD4D32B48F1},155067,17000
12,-84.396569,34.039418,Georgia Regional Girls Choir,Rest of Fulton County,1055 PINE GROVE POINTE DR,ROSWELL,30075-2704,GA,Paper Survey,2018-02-08T21:22:28.000Z,{A2BBDE8A-8E15-41D4-B2A0-E79C5D8DE8D1},74556,0
13,-84.423144,33.655457,Delta Air Transport Heritage Museum,City of Atlanta,1060 DELTA BLVD BLDG B DEPT 914,ATLANTA,30354-1989,GA,Paper Survey,2018-02-08T21:22:28.000Z,{14AC8976-1CBE-4CD9-998E-0EDBC2553C79},1175890,74000
14,-84.422278,33.738174,Wren Nest,City of Atlanta,1050 RALPH DAVID ABERNATHY BLVD SW,ATLANTA,30310-1812,GA,Paper Survey,2018-02-08T21:22:28.000Z,{575C9C8B-6DFA-4394-9716-F6D90E8A14FD},188863,8259
15,-84.352724,33.762634,Radio Free Georgia Broadcasting Foundation,City of Atlanta,1083 AUSTIN AVE NE,ATLANTA,30307-1940,GA,DataArts,2018-02-08T21:22:28.000Z,{D403D71D-AE7F-4363-835F-2EC80FDAE13E},248325,2300
16,-84.352724,33.762634,Gateway Performance Productions,City of Atlanta,1083 AUSTIN AVE NE,ATLANTA,30307,GA,Paper Survey,2018-02-08T21:22:28.000Z,{016DBBEE-694F-43D2-A764-259DA4A57A59},30200,100862
17,-84.219799,34.040785,North Atlanta Dance Theatre,Rest of Fulton County,10700 STATE BRIDGE ROAD,JOHNS CREEK,30022-7491,GA,Paper Survey,2018-02-08T21:22:28.000Z,{3D9F0901-823D-46D0-A526-51D18AA6221A},126482,0
18,-84.351935,33.773765,Atlanta Young Singers Of Callanwolde,City of Atlanta,1085 Ponce De Leon Ave NE,ATLANTA,30306,GA,DataArts,2018-02-08T21:22:28.000Z,{8B985626-11C2-45A4-B616-0972165BC447},312549,72483
19,-84.424371,33.681512,Amario's,Rest of Fulton County,1087 Cleveland Avenue,ATLANTA,30344,GA,Paper Survey,2018-02-08T21:22:28.000Z,{11F18DB7-3884-4F7D-A41E-3E04023F5AA1},82766,1200
20,-84.343529,33.893058,Room to Move Dance,Rest of 10-county Metro Atlanta Area,1109 Tennyson Pl NE,ATLANTA,30319,GA,Paper Survey,2018-02-08T21:22:28.000Z,{5ECCA2F6-BC7E-4402-8F1D-5347C312A1BF},40486,450
21,-84.284744,33.773067,Push Push Theatre Company,Rest of 10-county Metro Atlanta Area,114 NEW ST STE D-3,DECATUR,30030-5332,GA,Paper Survey,2018-02-08T21:22:28.000Z,{83CF6FD3-812F-43B4-BA38-26860A53353D},40166,4500
22,-84.350894,33.764005,Seven Stages,City of Atlanta,1105 EUCLID AVE NE,ATLANTA,30307-1925,GA,Paper Survey,2018-02-08T21:22:28.000Z,{0504F407-2CB5-4496-A37D-229DFD6E5B5C},535791,5637
23,-84.302251,34.056554,Metropolitan Ballet Theatre,Rest of Fulton County,11460 MAXWELL RD STE A,ALPHARETTA,30009-4773,GA,Paper Survey,2018-02-08T21:22:28.000Z,{F810BF95-E63A-4DB8-B0B1-74494CC92E2F},297441,5050
