OBJECTID,NAME_R,YEAR_,STORIES,BUILDING_NO,CITY,USAGE_DM,HISTORIC,SHAPEarea,SHAPElen
58778815,Building,,1,,Y,Condo Townhouse,,2224.52390941377,219.690488778127
58778816,Building,,1,,Y,Single Family,,3490.41731574208,282.844865672096
58778818,Building,,1,,Y,Condo Townhouse,,4503.52300746955,273.810875444644
58778819,Building,,1,,Y,Single Family,,1845.7342674996,177.333559614742
58778820,Building,,1,,Y,Single Family,,3081.95357915241,263.182440776132
58778821,Building,,1,,Y,Single Family,,3835.93159249365,305.06973091698
58778822,Building,,1,,Y,Single Family,,2046.84736649312,196.462705627419
58778823,Building,,1,,Y,Single Family,,2622.24524366333,243.569878130306
58778824,Building,,1,,Y,Single Family,,1719.06139056937,176.483647140003
58778825,Building,,1,,Y,Condo Townhouse,,770.524624339464,112.847509424413
58778826,Building,,1,,Y,Condo Townhouse,,1031.05788544805,129.632141831309
58778827,Building,,1,,Y,Condo Townhouse,,1182.82906522761,163.340570266188
58778828,Building,,1,,Y,Condo Townhouse,,1261.20392359577,167.807117299348
58778829,Building,,1,,Y,Condo Townhouse,,864.993354739359,119.237531724222
58778830,Building,,1,,Y,Condo Townhouse,,901.995228975928,121.631192349265
58778831,Building,,1,,Y,Condo Townhouse,,1299.2526859834,168.189548475764
58778835,Building,0,1, ,Y,Single Family,,1105.10800046399,142.48062666665
58778836,Building,0,1, ,Y,Retail,,2898.16953675478,219.520551552239
58778839,Building,0,1,380,Y,Single Family,,790.016058280144,120.298278165334
58778846,Building,1942,1, ,Y,Condo Townhouse,,1721.64856138277,171.490657334823
58778847,Building,0,1,367,Y,Single Family,,935.168581372538,127.647757540667
58778849,Ridgecrest Apartments,0,1, ,Y,Apartments,,10198.0597950307,515.536561794079
58778852,Building,1942,1, ,Y,Single Family,,912.657175441853,127.73999557044
58778853,Building,0,1, ,Y,Condo Townhouse,,421.263565138006,82.9907818766356
58778854,Building,0,1,359,Y,Single Family,,844.739744694764,121.393900116803
58778855,Building,0,1, ,Y,Single Family,,468.061093992149,91.3006009090778
58778856,Building,0,1, ,Y,Single Family,,2040.85366279887,197.08396005679
58778858,Building,0,1, ,Y,Single Family,,607.188835904789,98.9179604920761
58778860,Building,0,1, ,Y,Retail,,2816.92313342542,242.075285707814
58778863,Building,0,1, ,Y,Single Family,,1088.37504691611,139.589225108997
