X,Y,OBJECTID,Name,Address,Type,City,Zip,GlobalID,last_edited_date
-84.390217342359847,33.747988982222012,462,Atlanta City Hall Gallery,55 Trinity Ave. SW,Gallery,Atlanta,30303,{9D7D5903-F3E8-4E04-97D6-EFB51EBFEAF6},
-84.368444510194166,33.788096927136387,463,"RedLight Cafe, The",553 Amsterdam Ave. NE,Performance,Atlanta,30306,{D9893604-58E0-44A4-BFBF-322E5867B660},
-84.382090397707628,33.769835825600701,464,Midtown Tavern,554 Piedmont Ave.,Performance,Atlanta,30307,{82E39D63-9869-4D2A-950D-629A8557CA0B},
-84.012704464976835,34.114465366139477,465,Tannery Row Artist Colony Gallery,554 W Main Street,Gallery,Buford,30518,{8DAC9C0F-533F-4809-B09F-55D0E9277F36},
-84.235667001559491,33.791116915649361,466,Georgia Perimeter College - Fine Arts Gallery,555 N. Indian Creek Dr.,Gallery,Clarkston,30021,{61A95A83-2F9E-47E9-802C-C187391E6E43},
-84.235667001559491,33.791116915649361,467,Georgia Perimeter College - Marvin Cole Auditorium,555 N. Indian Creek Dr.,Performance,Clarkston,30021,{182F9913-61B7-4B5E-B1D1-811571401BE6},
-84.235667001559491,33.791116915649361,468,Georgia Perimeter College - Studio Theatre,555 N. Indian Creek Dr.,Performance,Clarkston,30021,{5B747904-6273-43F3-925E-1A5BADA13BBA},
-84.235961948227981,33.789446283811984,469,"Cole Auditorium, Clarkston Campus of GA Perimeter",555 North Indian Creek Drive,Performance,Clarkston,0,{C160F831-B835-4FE0-A9D4-80B247FFEEB4},
-84.235961948227981,33.789446283811984,470,Gymnasium - Clarkston Campus of GA Perimeter,555 North Indian Creek Drive,Performance,Clarkston,0,{000C0A71-5171-4A77-A794-7940011BA7EF},
-84.619007877127558,34.085590537820529,471,"3E Community Center, Inc.  ",5560 Woodstock Rd,Other,Acworth,0,{50FD118B-A2A9-4875-A397-F7D6E1DB0E7F},
-84.196609333381076,34.022796374880258,472,Theater at Johns Creek High School,5575 State Bridge Road,Performance,Johns Creek,30022,{D529729F-4B3E-49ED-B9DD-54E480113CF7},
-84.380939929211507,33.843486194875638,473,Andrews Upstairs,56 E Andrews Dr. NW,Performance,Atlanta,30305,{833C747C-F67C-4561-9E0A-A9DA9C396AAD},
-84.380939929211507,33.843486194875638,474,McDuff's Irish Pub,56 East Andrews Dr.,Performance,Atlanta,30305,{BDD56BF1-8AE4-45DC-8213-415E739FAD5F},
-84.380939929211507,33.843486194875638,475,East Andrews,56 East Andrews Dr.,Other,Atlanta,30305,{F1E8B8F2-D38B-4156-AF4F-5A6AC315A8DA},
-84.553405386254582,33.952406719964117,476,First United Methodist Church of Marietta,56 Whitlock Ave.,Performance,Marietta,30064,{702683DA-A358-4298-94E4-61CE231782F6},
-84.553971469258556,33.952406038413628,477,Marietta 1st United Methodist Church,56 Whitlock Avenue,Performance,Marietta,30060,{01B757ED-1B40-4AB0-AB1C-6218CEAD2A5D},
-84.389898137348695,33.756050404468283,478,Arts for All Gallery,57 Forsyth St. NW,Gallery,Atlanta,30303,{13049BD5-CB3C-415A-86F3-FEA9D6A42C63},
-84.534012347473038,34.018862872359065,479,Piedmont Church,570 Piedmont Rd.,Performance,Marietta,30066,{8BD1ABAE-A186-4A9C-8838-8B9416F3ACE0},
-84.324369745590388,33.790291164151377,480,Michael C. Carlos Museum,571 South Kilgo Circle,Gallery,Atlanta,30322,{D9009B1F-BDA3-4FF7-8325-44EC86B06616},
-84.368544724211489,33.754423850158148,481,Clay's Gallery,572 Edgewood Ave. SE,Gallery,Atlanta,30312,{18E3E34E-0BE6-42A1-A131-D5B750FB0459},
-84.337839290055101,33.597193851448559,482,National Archives at Atlanta,5780 Jonesboro Road,Library,Morrow,30260,{15C9C36A-6AD2-47E4-9727-B16FEBA6A34A},
-84.150544664757021,33.736055526420714,483,Richard Franklin Arts Studios Inc,5783 Giles Road,Gallery,Lithonia,0,{429BDA23-6472-46D6-9301-1168C88151DD},
-84.513515169263428,33.938002094043135,484,"Blank Stage, The",585 Cobb Pkwy.,Performance,Marietta,30060,{DAE4309C-FEBA-4C46-9A41-2B8DDBC8A13C},
-84.513515169263428,33.938002094043135,485,Artisan Resource Center,585 Cobb Pkwy. South,Gallery,Marietta,30060,{CCE534A0-93DB-474D-A338-D4D81FBE0EC7},
-84.362739203554497,34.014665583374594,486,Red Door Playhouse,587 Atlanta St.,Performance,Roswell,30075,{9A231633-BEA9-4247-9C82-6F42B3CD754C},
-84.407059259170325,33.755633850295617,487,Herndon Home,587 University Place NW,Museum,Atlanta,30314,{67590C87-9921-468F-9999-B408684BB5FE},
-84.379371189392799,33.916498768648005,488,Lefont Sandy Springs Theater,5920 Roswell Rd.,Performance,Sandy Springs,30328,{92E8661C-61D0-40FE-9FD7-822C16BF50E6},
-84.14390959700998,33.829882478724294,489,Mt. Carmel Christian Church,6015 Old Stone Mountain Road,Performance,Stone Mountain,30087,{8895BEBC-1F74-49E8-92E7-291FFE9315BB},
-84.352672698220374,33.770905239499406,490,Manuel's Tavern,602 North Highland Ave.,Performance,Atlanta,30307,{F3B1F0FF-7225-4111-8F70-DE2EFCE81B33},
-84.364363094480026,33.919467965498711,491,Apostles Church of Sandy Springs,6025 Glenridge Dr. NE,Performance,Sandy Springs,30328,{F91FD5D8-AF35-4548-AEEF-3CDC15155FBF},
-84.324116428980545,33.79315568078529,492,"Emory's Munroe Theatre, Dobbs University Center",605 Asbury Circle,Performance,Atlanta,30322,{C6C04FAF-C7E1-42CD-95A9-D148A676A3C7},
-84.384826925923349,33.77112143903539,493,North Avenue Presbyterian Church,607 Peachtree St. NE,Performance,Atlanta,30308,{739A3752-E34F-4758-82B2-49854AF6E0A7},
-84.384425866708355,33.9202230671169,494,Heritage Green,6075 Sandy Springs Circle,Performance,Sandy Springs,30328,{90BF52F2-F7A6-47EF-8D32-BA9F6437EF32},
-84.384425866708355,33.9202230671169,495,Heritage Sandy Springs Museum,6075 Sandy Springs Circle,Museum,Sandy Springs,30328,{62B36CF4-79DE-4846-9281-245F5DF9C406},
-84.382063063767333,33.921664554226474,496,Sandy Springs Society Entertainment Lawn,6110 Blue Stone Road NE,Performance,Atlanta,30328,{E1DFA76D-2C77-4557-A56B-90E42244F1DB},
