OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_4__Annual_Transit_Trips,GlobalID,Pop_Chng_per_SqMi_2000_2010,Tp4_HousTranspCosts_Pct_Income,Tp4_HousingCosts_Pct_Income,Tp4_TranspCosts_Pct_Income,Tp4_AnnualVehMilesTraveled
104,13067030218,302.18,ARC 10,114718,30.03,{ADFAAA6C-B2D5-44B2-8A48-DCC4E0070C9A},455.4,65.97,43.4,22.57,20012
105,13067030219,302.19,ARC 10,118279,12.5,{924FE5E0-D2BF-4687-8AC1-1906ABBBC9AB},572.9,65.66,42.37,23.29,20827
106,13067030235,302.35,ARC 10,98782,0,{7BDA84B0-371E-4BB0-8649-08311EE785B1},120.8,55.55,32.54,23.01,20106
107,13067030234,302.34,ARC 10,96625,0.4,{917F2EBA-DF05-45A4-AC72-D5BF4BB28004},376.7,63.9,40.78,23.12,20611
108,13067030233,302.33,ARC 10,97778,20.17,{D474F0C6-6999-46F4-8AC7-76B4319E1A22},-1.1,58.8,36.56,22.24,19825
109,13067030337,303.37,ARC 10,125556,44.08,{1423E0B3-A3C6-44B0-954A-16AD16367C1F},6.1,61.91,41.04,20.87,17774
110,13067030334,303.34,ARC 10,96214,16.82,{E110FE58-8271-40F6-934E-474884D5A197},-140,55.43,34.67,20.76,17249
111,13067031111,311.11,ARC 10,78706,137.37,{B21605C6-6362-47C3-99EE-574CF31FA3FD},-353.8,47.44,31.37,16.06,14594
112,13067031110,311.10,ARC 10,56472,52.84,{FFE7A903-7DB8-47A9-978E-F479F814C3B9},-166,46.76,28.91,17.84,15255
113,13067030405,304.05,ARC 10,39492,127.98,{62E7FCAD-7FE0-4940-B1BD-E4F3C9104671},-74,45.5,30.09,15.4,13439
114,13067031101,311.01,ARC 10,41907,57.46,{96733B8E-2E75-4634-B786-E205F6B3B11C},34.6,46.65,29.13,17.52,15240
115,13117130305,1303.05,ARC 20,94188,28.09,{6B2E7FAC-1978-4A6D-A764-345A4EB62454},610.3,56.78,33.11,23.68,21685
116,13117130301,1303.01,ARC 20,66842,2.72,{A0D8C021-F834-44CB-805F-7A5422E02BEF},240.6,53.05,29.96,23.08,21659
117,13117130405,1304.05,ARC 20,81048,0.51,{1F8DEF8E-B977-45DF-8136-E7EEC74C084D},542.1,54.68,31.47,23.2,20815
118,13117130504,1305.04,ARC 20,66572,0.99,{3AA21BE9-EE89-4B92-A509-1C590CD08005},64.7,50.88,28.54,22.34,20231
119,13117130505,1305.05,ARC 20,74000,3.66,{EC6131E5-13E4-4786-81EC-FF5024894869},74.6,54.56,30.9,23.66,21881
120,13117130503,1305.03,ARC 20,82670,0,{5FFB3DB1-7117-4724-A639-E44E929F812E},70.7,54.76,31.15,23.61,21528
121,13117130102,1301.02,ARC 20,59929,0.53,{D1BCBA7E-8C29-4ECD-8780-7E9C9C6D14A8},207.4,54.98,31.03,23.95,22556
122,13117130103,1301.03,ARC 20,53941,0,{94A61E44-5915-4135-B399-3D5877A27A7E},190.1,51.65,28.36,23.29,22007
123,13117130303,1303.03,ARC 20,85750,10.45,{E74BB826-C69B-4448-8B19-6D4086C27681},111.4,56.02,31.92,24.1,22628
124,13117130201,1302.01,ARC 20,82137,0,{CF9C1510-1DF4-433E-9CA5-2178A1D8965F},221.6,57.81,33.57,24.24,22608
125,13067030232,302.32,ARC 10,89649,15.92,{EE7F82F7-7D8A-4136-94D1-BE3980A3F150},231.8,56.06,33.75,22.31,19756
126,13067030222,302.22,ARC 10,73438,18.67,{E1DCD43E-2262-47AE-9957-96B4F97B90DA},-31.1,55.64,34.17,21.47,18794
127,13067031118,311.18,ARC 10,67149,55.37,{3E7C4B79-CF54-4958-88BE-8F103BE4F9B6},133,49.06,30.56,18.51,16185
128,13067031117,311.17,ARC 10,110870,19.67,{5449FEEA-AB8B-43A4-86C6-D81318D0F85A},-182.5,54.91,34.3,20.61,18161
129,13067031507,315.07,ARC 10,44830,36.05,{57024C93-B27A-44AA-80D8-198E4227F9FF},-124.7,50.9,30.13,20.77,18969
130,13067031004,310.04,ARC 10,38137,70.03,{0D81D423-AF09-481E-8547-DF7B0A3C52FE},-449.4,46.46,28.78,17.68,15676
131,13067030103,301.03,ARC 10,71569,0,{E939863C-3FD4-43A4-A3D6-11213C1F66F1},498.9,53.97,32.15,21.83,19617
132,13067031404,314.04,ARC 10,63426,9.6,{C76D05E6-9B8F-4C1F-B523-362B3DB75F9B},117.9,52.36,31.75,20.61,18297
133,13067031306,313.06,ARC 10,47992,6.33,{60898AB4-2DA4-4353-9E4B-7DABDE122C03},107.7,48.5,28.9,19.61,17081
134,13067030101,301.01,ARC 10,73603,0,{450CB439-69A9-49AF-9192-2D1BF37B7702},100.7,54.13,31.42,22.71,20458
135,13067030104,301.04,ARC 10,51140,14.71,{CC34C917-CD16-46B6-99C4-6E33DC52973F},150.7,50.18,29.66,20.52,18797
136,13117130613,1306.13,ARC 20,95217,5.16,{338CFA76-145E-42FA-AA0D-8E48FB35C4DA},474.2,61.99,40.26,21.72,19454
137,13117130408,1304.08,ARC 20,53333,16.91,{58E9444D-8BE4-488F-B2EC-0C4CBAB872C9},320.7,52.39,31.05,21.34,19279
138,13117130612,1306.12,ARC 20,141802,32.38,{373C5918-B051-437D-8C0F-0BE146354721},734.3,72.06,49.72,22.33,19394
139,13117130608,1306.08,ARC 20,124531,19.23,{830F222A-C471-4428-9887-C0117346A986},972.4,79.01,56.85,22.15,19498
140,13117130307,1303.07,ARC 20,85833,8.43,{2B1AD7B5-7799-48DB-A002-22802EDE9E2A},246,55.67,32.58,23.09,21171
141,13117130302,1303.02,ARC 20,99464,11.79,{1084A7AE-5609-48DB-AABB-F21492279106},482.6,58.88,35.93,22.94,20782
142,13117130304,1303.04,ARC 20,103438,2.32,{AD2EB939-81CD-4858-9CB2-C55C7E7E9C92},138.3,56.34,33.02,23.32,20491
143,13117130404,1304.04,ARC 20,102384,15.67,{D9CD27D0-19D0-45A9-A291-A476FECD61CF},1065.2,64.9,42.13,22.77,20033
144,13117130306,1303.06,ARC 20,103947,25.37,{04043364-35F7-4E4C-B8AA-1304541FF363},544.7,58.37,35.87,22.49,20392
145,13117130601,1306.01,ARC 20,85497,13.11,{61FA7284-0F40-432C-BF2E-27B3735414A6},281.9,54.92,33.8,21.12,19308
146,13117130510,1305.10,ARC 20,99531,13.97,{3B8D291A-D853-44E6-9E1E-D1FB999412F5},473.7,61.95,39.56,22.39,19682
147,13117130406,1304.06,ARC 20,70261,29.61,{4B635CA6-5BA1-4B73-8916-996E98F7F09D},1310,54.41,33.25,21.16,18924
148,13117130410,1304.10,ARC 20,46816,39.95,{D338D071-4757-4DFE-BC1C-67EEC9ECD846},703.1,50.66,32.11,18.55,16842
149,13117130203,1302.03,ARC 20,74100,0,{BC5D109A-36F2-4E43-A77C-40D8CC6B79BF},91.5,60.63,36.2,24.43,22116
150,13117130204,1302.04,ARC 20,63125,2.92,{E1A2C83A-516B-4642-882C-7829B3FF5366},470,54.71,30.83,23.89,22483
151,13117130202,1302.02,ARC 20,94821,20.62,{A5FAFC69-FBC7-4E57-B9C8-C96CEF5F34AA},402.2,61.2,37.05,24.14,22012
152,13117130509,1305.09,ARC 20,66284,0,{6FA9F664-C56C-40AF-B676-7EFC29A35A4F},-2.4,55.9,33.71,22.2,19381
153,13117130403,1304.03,ARC 20,68456,9.85,{39912BF6-0DDE-4186-9613-89497CE6BFE4},154.5,54.32,31.41,22.91,21642
154,13067031506,315.06,ARC 10,53906,3.22,{4755AEFA-DF71-437A-88F2-CC2E9726BFE1},92.2,51.57,29.75,21.82,19777
155,13067031508,315.08,ARC 10,70882,0.26,{F8099CA5-7F94-4440-BE83-3A5A99E2DA5B},257.7,55.17,32.52,22.66,20246
156,13067031116,311.16,ARC 10,39228,104.08,{0AFE42A7-2FD8-4D99-92B7-551A4A8C0952},-264.5,44.79,28.07,16.72,14860
157,13067031115,311.15,ARC 10,57560,34.75,{B8A29F07-1D55-4929-8972-E2959408FE3A},425,49.84,30.42,19.42,17004
