X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Pop_PovertyStatus_Determined,Population_in_poverty,Percent_Population_in_poverty,Pop_under18_PovStatusDetermined,Pop_under18_in_Poverty,Pct_Pop_under18_in_Poverty,Pop_18_64_PovStatus_Determined,Pop_18_64_Years_in_Poverty,Pct_Pop_18_64_Years_in_Poverty,Pop_65older_PovStatusDetermined,Pop_65older_in_Poverty,Pct_Pop_65older_in_Poverty,GlobalID,last_edited_date
-80.852778971307117,32.010018949734139,86,Tybee Island,2053.33007813,3.20833993, , ,2931,452,15.4,278,125,45,1809,310,17.1,844,17,2,{B404DC25-9DEE-4B91-9CAB-231F181701EA},
-81.049586116291195,32.033174380329946,87,Thunderbolt,899.36102295,1.40524995, , ,2427,368,15.2,422,101,23.9,1658,215,13,347,52,15,{E0932613-FCB6-449C-A2D2-A2B927FD3F17},
-81.178255534221705,32.028224458930346,88,Savannah,69709.703125,108.92099762, , ,132491,34596,26.1,30309,11822,39,85683,20824,24.3,16499,1950,11.8,{130695CF-38FE-4A37-B2CA-359ECA88E73D},
-81.198328655242406,32.194365742802972,89,Port Wentworth,10640.09960938,16.62520027, , ,6081,776,12.8,1672,221,13.2,3910,511,13.1,499,44,8.8,{CD16E34C-612B-4856-9584-B06975784DFA},
-81.253897095028421,32.102409919306545,90,Pooler,19459.30078125,30.40509987, , ,20332,1883,9.3,5400,894,16.6,13070,785,6,1862,204,11,{0D3DAD76-2B0D-40D6-9FBE-A924A9A64CBB},
-81.177157968028965,32.086671167898487,91,Garden City,9184.11035156,14.3501997, , ,8803,2783,31.6,2465,1174,47.6,5261,1436,27.3,1077,173,16.1,{453858E1-EE43-4FB6-B25D-9C43FB92D2FC},
-81.307663150559549,32.12489244690741,92,Bloomingdale,8984.69042969,14.03859997, , ,2716,340,12.5,643,106,16.5,1708,207,12.1,365,27,7.4,{92BE34C5-893A-4BDE-B2C0-F2AE3E61223D},
-83.695802497193469,33.516367769159054,93,Newborn,1033.2800293,1.61451006,yes, ,736,110,14.9,191,45,23.6,445,58,13,100,7,7,{BF1A804A-9289-4527-A350-E76F681D93BD},
-83.63838358992588,34.307756096357537,94,Gillsville,914.12799072,1.42832994,yes, ,267,37,13.9,88,16,18.2,130,11,8.5,49,10,20.4,{545B3B33-55AF-4A24-8AA7-25A826A344A2},
-84.562808664293755,33.594006148436002,95,Union City,12493,19.52029991,yes,yes,20132,5454,27.1,6307,2421,38.4,11790,2707,23,2035,326,16,{2A17F828-A91D-4AFC-B1C8-F6051BA74FC3},
-83.712728704233101,33.648894824575045,96,Social Circle,9967.28027344,15.57390022,yes, ,4184,396,9.5,948,167,17.6,2638,216,8.2,598,13,2.2,{E6970784-7FD0-4E10-AFAA-108722F5194D},
-83.89429144103498,33.574105752991564,97,Porterdale,1506.30004883,2.35360003,yes, ,1701,377,22.2,372,71,19.1,1113,283,25.4,216,23,10.6,{17A19128-15BA-42C5-8868-58586FA07CD4},
-83.847468925782053,33.603878618746634,98,Covington,9906.98046875,15.47970009,yes, ,12664,3140,24.8,2839,992,34.9,8101,1785,22,1724,363,21.1,{52233BB7-CF65-40D7-BC7E-A9F04CA6CFE0},
-83.872093950453106,33.62766358476398,99,Oxford,1399.19995117,2.18624997,yes, ,1715,345,20.1,401,158,39.4,1061,185,17.4,253,2,0.8,{637917BF-FAB3-4BB2-A9DF-0E4FE2958B0D},
-84.617918674447708,34.026419056064995,100,Kennesaw,6117.60986328,9.55875969,yes,yes,30865,4129,13.4,7874,1576,20,20390,2294,11.3,2601,259,10,{D38FAB2A-025A-41C6-83ED-EE773AC8B7F9},
-83.881360342278498,32.552256055579115,101,Fort Valley,4802.75976563,7.50432014, , ,8055,3565,44.3,2158,1209,56,4988,2141,42.9,909,215,23.7,{77D7F77B-F5DF-499C-BFEB-70A0F57B5927},
-83.653035106582635,32.598513789283729,102,Warner Robins,22624.40039063,35.3506012, , ,70954,16246,22.9,20367,7001,34.4,43903,8508,19.4,6684,737,11,{314C45D0-98E8-4DE6-8C57-D74B1F891FD1},
-83.992357022596877,34.118269267392279,103,Buford,10750.70019531,16.79800034,yes,yes,12755,3019,23.7,3831,1491,38.9,7655,1382,18.1,1269,146,11.5,{C0FE7828-1367-4335-AC62-2E79AE01EAD2},
-84.591190658373947,33.549817738609327,104,Fairburn,10900,17.03120041,yes,yes,13424,2013,15,4336,772,17.8,8248,1158,14,840,83,9.9,{963D744E-0A0F-493A-9A33-20F1173D327B},
-83.728315279879411,32.47115358352076,105,Perry,16831.69921875,26.29949951, , ,13867,2781,20.1,3582,837,23.4,8572,1773,20.7,1713,171,10,{4A935037-FAEB-4E7D-AD81-B0D0CA3B1CAF},
-83.753886908511703,32.647663080999557,106,Byron,5537.50976563,8.65235996, , ,4655,420,9,1129,199,17.6,2749,195,7.1,777,26,3.3,{5D8BC9E5-850A-40DD-A907-54E6E10C7BE7},
-81.93045413500856,32.153590449696289,107,Hagan,1379.86999512,2.15604997, , ,867,258,29.8,218,102,46.8,561,136,24.2,88,20,22.7,{800B7B0D-92BB-4838-A008-13CDDB744220},
-81.835592961870034,32.151149802265479,108,Daisy,593.68902588,0.92763901, , ,119,33,27.7,21,13,61.9,77,15,19.5,21,5,23.8,{FD24C7F1-9A56-4A26-ADA0-BED90B1D1B04},
-81.909360384194969,32.161346305911557,109,Claxton,1123.06994629,1.75479996, , ,2055,673,32.7,558,265,47.5,1122,356,31.7,375,52,13.9,{340A4177-8B36-4C83-A26F-E4CCDDF4FBF4},
-81.974357214127508,32.152563899449291,110,Bellville,647.90002441,1.01233995, , ,247,15,6.1,61,0,0,145,7,4.8,41,8,19.5,{C766E70D-35C8-4CD9-812F-8944E70752FF},
-82.014594215918066,33.091118108378325,111,Waynesboro,3503.2800293,5.4738698, , ,5724,2209,38.6,1877,932,49.7,3225,1161,36,622,116,18.6,{C295CC33-45DD-4204-8D8B-B687C48980A0},
-82.247441425225574,33.037592339327702,112,Vidette,623.63897705,0.97443599, , ,117,5,4.3,30,0,0,68,0,0,19,5,26.3,{40E4FCB7-3045-42BA-8448-6EF168ED1637},
-81.762127186534386,32.975587677956774,113,Sardis,1000.64001465,1.56350005, , ,1058,381,36,347,183,52.7,610,185,30.3,101,13,12.9,{84111843-2221-4902-873C-DC2BBF18E75D},
-82.234609047061682,32.821756865793134,114,Midville,1278.72998047,1.99802005, , ,222,31,14,41,7,17.1,115,12,10.4,66,12,18.2,{5AB14B4E-53F6-471A-B2BD-BCCB7ABF55FB},
-82.228946156355477,33.237439468747873,115,Keysville,689.13800049,1.07677996, , ,292,59,20.2,67,22,32.8,191,27,14.1,34,10,29.4,{53FA56C2-7144-4143-81A0-3017F3A23ACA},
-82.403340633454278,32.213365122020335,116,Vidalia,11290,17.6406002, , ,10338,2748,26.6,3086,1085,35.2,5897,1309,22.2,1355,354,26.1,{57D9E7F7-7ED3-4767-BF08-EF6106D26C46},
-82.32973262805676,32.171267229557742,117,Santa Claus,118.60299683,0.18531699, , ,237,33,13.9,69,11,15.9,104,12,11.5,64,10,15.6,{5F75DBF7-C737-4121-81FD-9DF1793244F4},
-82.321484843021011,32.205265647399585,118,Lyons,5373.89013672,8.3967104, , ,4259,1675,39.3,1375,712,51.8,2440,800,32.8,444,163,36.7,{B65D1548-5ABE-4695-A5DF-64201D5A9C21},
-83.937953525309595,33.034741581115348,119,Forsyth,3772.26000977,5.89415979, , ,3803,1600,42.1,1115,585,52.5,2248,878,39.1,440,137,31.1,{0574B4B0-DFC9-4D97-A117-CABADF477754},
-84.09397346096101,32.863195841485776,120,Culloden,508.3460083,0.79429102, , ,272,69,25.4,68,27,39.7,167,40,24,37,2,5.4,{8C683FD6-69A7-4B4B-9074-C91455A7B3BE},
-82.741963171387042,31.038584958368478,121,Homerville,2244.97998047,3.50779009, , ,2454,1183,48.2,765,466,60.9,1345,600,44.6,344,117,34,{0B635887-5A92-4FAD-9C76-FA6A57EF9138},
-82.572059374556972,30.688080067283366,122,Fargo,1765.01000977,2.7578299, , ,314,91,29,77,35,45.5,180,43,23.9,57,13,22.8,{9B172C24-AA24-40D7-A6D5-66EE2995D595},
-82.648878952020098,31.073219627348145,123,Argyle,1100.81994629,1.72002995, , ,240,93,38.7,33,2,6.1,186,87,46.8,21,4,19,{98BB0353-D6D9-48DB-B274-D58A1B2C436D},
-81.712179355767532,33.039956847216352,124,Girard,2050.07006836,3.20323992, , ,134,47,35.1,24,6,25,77,26,33.8,33,15,45.5,{343E555A-FAC4-4772-99B4-EA4D222F8169},
-82.202659241743433,33.301141015763186,125,Blythe,1811.68005371,2.83074999, , ,691,153,22.1,127,58,45.7,416,84,20.2,148,11,7.4,{7C86EB40-4018-4D29-A91A-FBBD639C8DC2},
