OBJECTID,FeatureID,Name,DevType,Acres,SchoolES,SchoolMS,SchoolHS,YearBuilt,Gated,Private,TotalPop2015,TotalPop2015_MaritalStatus,TotalPop2015_NeverMarried,TotalPop2015_Married,TotalPop2015_Divorced,MedianAge2015,TotalHH2015,MedianHHIncome2015,Ed25Older2015_onlyHS,Ed25Older2015_uptoBachelors,Ed25Older2015_uptoGradDegree,MedianHomeValue2015,VehiclesPerHouse2015,AvgTravelTimeToWorkRelative,DiversityIndex2015,TotalPop2015_NeverMarried_PerOf,TotalPop2015_Married_PerOfTotal,TotalPop2015_Divorced_PerOfTota,TotalPop2015_NeverMarried_Per_1,TotalPop2015_Married_PerOfTot_1,TotalPop2015_Divorced_PerOfTo_1,TotalPop2015_PerOfTotalCity,Ed25Older2015_TotalPop,Ed25Older2015_onlyHS_PerOfTotal,Ed25Older2015_uptoBachelors_Per,Ed25Older2015_uptoGradDegree_Pe,Ed25Older2015_onlyHS_PerOfTot_1,Ed25Older2015_uptoBachelors_P_1,Ed25Older2015_uptoGradDegree__1,MedianHHIncome2015_AmtFromMedia,MedianHHIncome2015_PerFromMedia,Score_MedianAge,Score_TotalHH2015,Score_MedianHHIncome2015,Score_MedianHomeValue2015,Score_VehiclesPerHouse2015,Score_DiversityIndex,Score_NeverMarriedPercentOfCity,Score_MarriedPercentOfCity,Score_DivorcedPercentOfCity,Score_Education_onlyHS,Score_Education_upToBachelors,Score_Education_upToGradDegree,Shape_Length,Shape_Area
21,SA100311,Bridgestone,Subdivision,41.63840571,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,159,127,27,93,7,37.8,51,100000,10,38,23,525000,3,3,63.7,21.2598,73.2283,5.5118,0.053819,0.185377,0.013953,0.2384,71,14.0845,53.5211,32.3943,0.265322,0.22366,0.224609,-15875.395683,-13.7004025655544,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,6273.57886449118,1813646.60236555
22,SA100312,Bridgewater,Subdivision,34.08951686,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,138,98,18,71,9,40.5,44,120788,5,45,14,431250,3,0,49.9,18.3673,72.4489,9.1836,0.035879,0.141524,0.017939,0.2069,64,7.8125,70.3125,21.875,0.132661,0.264861,0.136718,4912.604317,4.2395577491182,2 - Average,1 - Low,2 - Average,2 - Average,3 - High,2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5132.14693656861,1484939.33586376
23,SA100489,Brookhaven,Mixed,49.39289816,Shakerag Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,89,67,16,48,3,38,39,141955,3,23,15,500000,0,0,60.7,23.8805,71.6417,4.4776,0.031892,0.095678,0.005979,0.1334,41,7.317,56.0975,36.5853,0.079596,0.135373,0.146484,26079.604317,22.5065935380673,2 - Average,1 - Low,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,6947.58277621281,2161717.53449577
24,SA100313,Brookhollow,Subdivision,39.26372518,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,230,163,52,97,14,35.6,78,102494,19,59,18,300000,3,0,70.7,31.9018,59.5092,8.5889,0.103651,0.19335,0.027906,0.3449,96,19.7916,61.4583,18.75,0.504112,0.347263,0.175781,-13381.395683,-11.5480906055393,2 - Average,2 - Average,2 - Average,1 - Low,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,6303.73057553964,1710280.2583907
25,SA100421,Cambridge,Subdivision,169.59779157,Findley Oaks Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,828,569,110,447,12,36.2,223,131893,9,207,170,664000,0,0,46.9,19.3321,78.5588,2.1089,0.219263,0.891006,0.023919,1.2418,386,2.3316,53.6269,44.0414,0.23879,1.218363,1.660156,16017.60432,13.8231280442134,2 - Average,2 - Average,2 - Average,3 - High,(no data),2 - Average,1 - Low,2 - Average,1 - Low,1 - Low,1 - Low,2 - Average,13573.3463329422,7387505.88822823
26,SA100297,Camden River,Apartments,45.52887378,Medlock Bridge Elementary School,Autrey Mill Middle School,Johns Creek High School,,Yes,Yes,2229,1824,395,1300,129,39.6,884,112793,116,673,361,819268,2,2,63.8,21.6557,71.2719,7.0723,0.787354,2.591293,0.257136,3.3429,1150,10.0869,58.5217,31.3913,3.077739,3.961153,3.52539,-3082.395683,-2.66009506576573,2 - Average,3 - High,2 - Average,3 - High,2 - Average,3 - High,2 - Average,3 - High,2 - Average,3 - High,3 - High,2 - Average,7967.98808359319,1823842.90218416
27,SA100379,Cameron Crest Farms,Subdivision,358.57574639,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,203,163,35,119,9,37.7,76,98635,13,48,30,508333,3,3,63.6,21.4723,73.0061,5.5214,0.069765,0.237202,0.017939,0.3044,91,14.2857,52.7472,32.967,0.344919,0.282519,0.292968,-17240.39568,-14.8783920705345,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,18217.3878631044,15625542.9528126
28,SA100380,Cameron Forest,Subdivision,169.18046832,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,2005,No,No,476,361,119,217,25,39.7,160,108282,55,98,51,380357,3,3,64.4,32.9639,60.1108,6.9252,0.237202,0.432546,0.049832,0.7138,204,26.9607,48.0392,25,1.459273,0.576809,0.498046,-7593.39568,-6.55306990603357,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,2 - Average,1 - Low,1 - Low,18158.6853749762,7369388.02170036
29,SA100499,Carriage Homes at River Farm,Mixed,31.07568432,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,Yes,274,209,51,146,12,48.3,109,104298,32,64,61,559375,0,0,52.2,24.4019,69.8564,5.7416,0.101658,0.291022,0.023919,0.4109,157,20.3821,40.7643,38.8535,0.849031,0.376692,0.595703,-11577.395683,-9.99124586782188,2 - Average,2 - Average,2 - Average,3 - High,(no data),2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5249.66225452953,1353653.73877647
30,SA100381,Carriage Park,Subdivision,34.59532341,Findley Oaks Elementary School,River Trail Middle School,Northview High School,,No,No,228,159,33,110,16,35.3,74,108444,6,58,36,366667,3,3,67.2,20.7547,69.1823,10.0628,0.065778,0.219263,0.031892,0.3419,100,6,58,36,0.159193,0.341377,0.351562,-7431.39568,-6.41326455818977,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5326.11991260422,1506907.93991834
