X,Y,OBJECTID,EXIT_,INTERSTATE,GlobalID,last_edited_date
-84.231830758411434,33.752591946122052,89,43,I285,{B03FF319-035E-4701-828D-4F22F58B7DAA},
-84.240945470255539,33.71472812186893,90,66A/B,I20,{76403187-D7EA-431A-8EC6-A37FA7E3FF87},
-84.240489523799809,33.715305804029363,91,46A/B,I285,{1E9A8619-398D-4140-9934-ACCF3B0FB9EA},
-81.134949459142931,32.071246722137587,92,5,I516,{A6F3D799-18E6-4F22-9BE3-062FEE9028D9},
-81.132403901328587,32.078064118399439,93,6,I516,{4A2DB46E-8D50-473E-84D4-163D828D4838},
-81.127370303786918,32.089500144947962,94,7B,I516,{BD02A3BF-8587-4E40-9006-CA04B7706C46},
-81.128454821279021,32.087133039912104,95,7A,I516,{2E50448C-E3DE-4D08-A0CD-289D9187C2AD},
-82.058456811124984,33.423721471850293,96,5A/B,I520,{00B90555-9180-41F3-BC63-645536ACA8EF},
-81.115130369752492,32.030100841604437,97,1,I516,{02A48C02-063A-488F-880C-DC018CD80945},
-84.392669139866641,33.729849005101649,98,245,I75,{3C60E4B8-4F86-4081-94C3-E835DD7420E4},
-84.384122375628209,33.764360091566267,99,249A,I75,{F642C0F6-F803-4E33-BEC0-863BC680561E},
-84.413272825616801,33.805277236329495,100,252,I75,{0DCFE694-8BB9-44B4-A9AB-6823B47267BF},
-81.127868332620565,32.091021357676262,101,7,I516,{971C0911-DF5D-47B3-A24F-479E93FDA5DF},
-81.145398251555562,32.100763154060282,102,8,I516,{1A62D692-7DE1-449A-AD36-B21F99FECF01},
-82.08413337369376,33.493124791088874,103,1A/B,I520,{C82A4172-E6C8-4F25-BCF2-542C8257210D},
-84.480312075073797,34.225950661219905,104,17,I575,{F31051FC-0EB6-409F-9159-5056C8117002},
-84.268770060496678,33.55318320471131,105,1,I675,{6855ED8D-BAB5-437F-83EA-0E663C1EA952},
-81.931683970867965,33.452985986333573,106,16,I520,{878B30E9-D72B-49EC-BE18-38773457DEE9},
-84.558859960718436,34.014037059035211,107,1,I575,{A97AE3C1-CE60-440F-B3C9-405378FB0800},
-84.562487034475126,34.037724123385416,108,3,I575,{68BE1C48-7438-43FD-86EC-63303F049035},
-84.556187877227586,34.052305088280761,109,4,I575,{B3809837-0339-4286-B4C8-BC92B5536EB9},
-84.465982029581895,34.238238955987363,110,19,I575,{303BC5C0-B583-4D5D-87D8-EF95F6DE6600},
