OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Total_housing_units,Occupied_housing_units,Percent_Occupied_housing_units,Vacant_housing_units,Percent_Vacant_housing_units,Homeowner_vacancy_rate,Rental_vacancy_rate,One_unit_detatched_housing_unit,Housing_units_built_since_2000,Owner_occupied_housing_units,Renter_occupied_housing_units,GlobalID,Pop_Chng_per_SqMi_2000_2010,Percent_1Unit_Detached,Pct_Units_Built_Since_2000,Units_Built_1980_to_1999,Units_Built_1979_or_Earlier,Pct_Units_Built_1979_or_Earlier,Pct_Owner_Occ_HousUnits,Pct_Renter_Occ_Units
84,030220,13067030220,302.20,ARC 10,2015-05-21T19:06:00.000Z,593,593,100,0,0,0,0,593,0,438,155,{98E8C6FE-3037-4691-AF62-7F15E2957D7F},-44.3,100,0,458,135,22.8,73.9,26.1
85,030905,13067030905,309.05,ARC 10,2015-05-21T19:06:00.000Z,2015,1802,89.4,213,10.6,7.1,0,1449,296,1343,459,{0880FB2F-CF48-42CE-8557-A06F71005E20},398.3,71.9,14.7,1224,495,24.6,74.5,25.5
86,030502,13067030502,305.02,ARC 10,2015-05-21T19:06:00.000Z,2783,2517,90.4,266,9.6,2.4,20.6,2282,532,2047,470,{4406465E-4A3C-41DC-B0AA-7DFFF1B8FADA},114.1,82,19.1,1022,1229,44.2,81.3,18.7
87,030209,13067030209,302.09,ARC 10,2015-05-21T19:06:00.000Z,2527,2362,93.5,165,6.5,3.6,0,2486,559,2270,92,{83700FDF-CBB2-45DE-8722-D281190293F9},253.6,98.4,22.1,1380,588,23.3,96.1,3.9
88,030326,13067030326,303.26,ARC 10,2015-05-21T19:06:00.000Z,1480,1426,96.4,54,3.6,1.8,27,1474,132,1345,81,{9E580C7D-378C-4968-876F-2801C5BD757F},-70.4,99.6,8.9,1232,116,7.8,94.3,5.7
89,031108,13067031108,311.08,ARC 10,2015-05-21T19:06:00.000Z,2948,2614,88.7,334,11.3,0,5.8,759,237,1105,1509,{BB0212D2-EE4E-4A4B-B973-93A78696FE48},-380.8,25.7,8,1620,1091,37,42.3,57.7
90,130105,13117130105,1301.05,ARC 20,2015-05-21T19:06:00.000Z,872,664,76.1,208,23.9,17.4,12.4,651,287,352,312,{367816AC-F2F2-4AC3-B6CB-D582A808C2DA},106.5,74.7,32.9,365,220,25.2,53,47
91,130205,13117130205,1302.05,ARC 20,2015-05-21T19:06:00.000Z,823,631,76.7,192,23.3,20.6,26.8,740,538,500,131,{AE83DDE3-3DF7-410D-BC91-1F2ACA93A0B1},113.9,89.9,65.4,162,123,14.9,79.2,20.8
92,130603,13117130603,1306.03,ARC 20,2015-05-21T19:06:00.000Z,1392,1209,86.9,183,13.1,12.4,0,1099,857,1085,124,{2609BE2B-28E3-4BE1-A09A-5A0C4DD30139},391.4,79,61.6,506,29,2.1,89.7,10.3
93,130610,13117130610,1306.10,ARC 20,2015-05-21T19:06:00.000Z,1420,1357,95.6,63,4.4,4.8,0,1385,339,1263,94,{B8FB9DAB-0D07-47D0-BA02-F72F72B5C691},125.9,97.5,23.9,1050,31,2.2,93.1,6.9
94,130606,13117130606,1306.06,ARC 20,2015-05-21T19:06:00.000Z,1497,1464,97.8,33,2.2,1.8,4,1239,284,1173,291,{301BBFD7-56BA-4AE8-9DBB-C1BB01274473},263.5,82.8,19,1213,0,0,80.1,19.9
95,130604,13117130604,1306.04,ARC 20,2015-05-21T19:06:00.000Z,1645,1625,98.8,20,1.2,0,0,1509,760,1532,93,{3AB60665-713B-4EAA-BF03-C26F005EF236},693.6,91.7,46.2,839,46,2.8,94.3,5.7
96,130611,13117130611,1306.11,ARC 20,2015-05-21T19:06:00.000Z,1205,1022,84.8,183,15.2,7.6,0,1129,493,1005,17,{D1EFF4D1-79DC-4F4A-AFB4-B4ECA359D135},633.3,93.7,40.9,693,19,1.6,98.3,1.7
97,130609,13117130609,1306.09,ARC 20,2015-05-21T19:06:00.000Z,1334,1313,98.4,21,1.6,0,35,1313,857,1274,39,{A0BE1968-293B-44E0-BF85-10FBB4C264ED},1147.7,98.4,64.2,327,150,11.2,97,3
98,130607,13117130607,1306.07,ARC 20,2015-05-21T19:06:00.000Z,1601,1544,96.4,57,3.6,1.4,0,1419,1264,1454,90,{495EB88F-EEDE-4B19-A9DA-026B23A28CBC},1206.3,88.6,79,330,7,0.4,94.2,5.8
99,130605,13117130605,1306.05,ARC 20,2015-05-21T19:06:00.000Z,1456,1345,92.4,111,7.6,5.9,29.6,1439,868,1269,76,{9F8716E4-2E4D-47ED-8464-1AA70DF93100},684.5,98.8,59.6,484,104,7.1,94.3,5.7
