OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Total_housing_units,Occupied_housing_units,Percent_Occupied_housing_units,Vacant_housing_units,Percent_Vacant_housing_units,Homeowner_vacancy_rate,Rental_vacancy_rate,One_unit_detatched_housing_unit,Housing_units_built_since_2000,Owner_occupied_housing_units,Renter_occupied_housing_units,GlobalID,Pop_Chng_per_SqMi_2000_2010,Percent_1Unit_Detached,Pct_Units_Built_Since_2000,Units_Built_1980_to_1999,Units_Built_1979_or_Earlier,Pct_Units_Built_1979_or_Earlier,Pct_Owner_Occ_HousUnits,Pct_Renter_Occ_Units
126,030222,13067030222,302.22,ARC 10,2015-05-21T19:06:00.000Z,1990,1932,97.1,58,2.9,1.3,0,1930,47,1623,309,{03A7C935-F45E-40F3-907C-672A1B10D4A1},-31.1,97,2.4,1682,261,13.1,84,16
127,031118,13067031118,311.18,ARC 10,2015-05-21T19:06:00.000Z,2480,2322,93.6,158,6.4,5.2,7.8,1583,296,1540,782,{6514CD51-8702-4037-A092-AF67DA184C1E},133,63.8,11.9,1252,932,37.6,66.3,33.7
128,031117,13067031117,311.17,ARC 10,2015-05-21T19:06:00.000Z,2284,1962,85.9,322,14.1,0,47.1,2062,245,1835,127,{0F722A9B-DBC4-439B-94D2-7BDF9F06937F},-182.5,90.3,10.7,563,1476,64.6,93.5,6.5
129,031507,13067031507,315.07,ARC 10,2015-05-21T19:06:00.000Z,1151,1081,93.9,70,6.1,0,13.6,927,185,834,247,{DC142796-B328-483E-B830-37FDC87F5F5E},-124.7,80.5,16.1,849,117,10.2,77.2,22.8
130,031004,13067031004,310.04,ARC 10,2015-05-21T19:06:00.000Z,2954,2398,81.2,556,18.8,7.2,17.9,1508,356,1023,1375,{813CA3F2-1CBE-4DC4-9A77-AA78A583EFE7},-449.4,51,12.1,438,2160,73.1,42.7,57.3
131,030103,13067030103,301.03,ARC 10,2015-05-21T19:06:00.000Z,3485,3017,86.6,468,13.4,8.8,4.5,3270,1229,2442,575,{46EBA351-80EA-4182-9E6E-789D72EE300B},498.9,93.8,35.3,1445,811,23.3,80.9,19.1
132,031404,13067031404,314.04,ARC 10,2015-05-21T19:06:00.000Z,2304,2110,91.6,194,8.4,0,36.2,2162,537,1856,254,{8F47E7A6-7235-43DD-9B9F-E9D3B8F769A2},117.9,93.8,23.3,543,1224,53.1,88,12
133,031306,13067031306,313.06,ARC 10,2015-05-21T19:06:00.000Z,1515,1505,99.3,10,0.7,1,0,1224,130,1038,467,{B7A63A4F-0C2C-43E3-8BE3-B8271E3436F4},107.7,80.8,8.6,418,967,63.8,69,31
134,030101,13067030101,301.01,ARC 10,2015-05-21T19:06:00.000Z,2800,2623,93.7,177,6.3,2,17.5,2546,714,2204,419,{013B6BE5-C1D1-483A-BAE8-7841666B8F44},100.7,90.9,25.5,1255,831,29.7,84,16
135,030104,13067030104,301.04,ARC 10,2015-05-21T19:06:00.000Z,1618,1425,88.1,193,11.9,4.8,23,1249,337,1081,344,{E041EC14-A4E0-441F-842E-DF4D8E68DC09},150.7,77.2,20.8,847,434,26.8,75.9,24.1
136,130613,13117130613,1306.13,ARC 20,2015-05-21T19:06:00.000Z,1040,970,93.3,70,6.7,0,0,767,702,806,164,{8304A889-89AA-4CBC-9714-618A29824D76},474.2,73.8,67.5,249,89,8.6,83.1,16.9
137,130408,13117130408,1304.08,ARC 20,2015-05-21T19:06:00.000Z,1373,1298,94.5,75,5.5,0,7.2,1001,380,936,362,{5FF62E83-8F68-4D13-9AC6-6A392FC59216},320.7,72.9,27.7,558,435,31.7,72.1,27.9
138,130612,13117130612,1306.12,ARC 20,2015-05-21T19:06:00.000Z,1877,1836,97.8,41,2.2,1.8,0,1803,666,1694,142,{2DA4D62B-5D3F-4C42-A517-51A52157A47E},734.3,96.1,35.5,1130,81,4.3,92.3,7.7
139,130608,13117130608,1306.08,ARC 20,2015-05-21T19:06:00.000Z,1590,1328,83.5,262,16.5,14.3,25.5,1517,1267,1208,120,{D4A88D69-91F0-423F-B526-F0F8DEA76565},972.4,95.4,79.7,323,0,0,91,9
140,130307,13117130307,1303.07,ARC 20,2015-05-21T19:06:00.000Z,1126,984,87.4,142,12.6,4.9,0,998,541,919,65,{6C192E59-190D-464E-80BC-C36DC0C739D1},246,88.6,48,521,64,5.7,93.4,6.6
141,130302,13117130302,1303.02,ARC 20,2015-05-21T19:06:00.000Z,1804,1629,90.3,175,9.7,5.2,0,1771,871,1484,145,{1520CDA6-E96B-47C1-9D9F-3BD7CB2C6A31},482.6,98.2,48.3,828,105,5.8,91.1,8.9
142,130304,13117130304,1303.04,ARC 20,2015-05-21T19:06:00.000Z,1347,1260,93.5,87,6.5,6.2,0,1222,369,1112,148,{5CCD88EF-8E43-4D33-A55E-A37B5BA07FCF},138.3,90.7,27.4,850,128,9.5,88.3,11.7
143,130404,13117130404,1304.04,ARC 20,2015-05-21T19:06:00.000Z,1343,1309,97.5,34,2.5,2.3,0,1292,984,1148,161,{9C532A59-A66B-4DD6-B638-8C5B9CCF5042},1065.2,96.2,73.3,351,8,0.6,87.7,12.3
144,130306,13117130306,1303.06,ARC 20,2015-05-21T19:06:00.000Z,1521,1292,84.9,229,15.1,9.5,36.8,1265,812,1218,74,{6F2EF7EB-8D81-49E9-A141-F874B798937A},544.7,83.2,53.4,704,5,0.3,94.3,5.7
145,130601,13117130601,1306.01,ARC 20,2015-05-21T19:06:00.000Z,1429,1277,89.4,152,10.6,4,30.4,687,855,1050,227,{21773C95-C805-4B13-A66B-D81EC1929E9B},281.9,48.1,59.8,424,150,10.5,82.2,17.8
146,130510,13117130510,1305.10,ARC 20,2015-05-21T19:06:00.000Z,2071,1953,94.3,118,5.7,5.9,5.2,1551,1059,1404,549,{C2D90558-C7FA-4BF5-82C5-69E7D7B00113},473.7,74.9,51.1,889,123,5.9,71.9,28.1
147,130406,13117130406,1304.06,ARC 20,2015-05-21T19:06:00.000Z,2154,1850,85.9,304,14.1,7,28.2,1788,1586,1405,445,{82E48177-365D-45D6-A1EB-4C676D9F76A2},1310,83,73.6,462,106,4.9,75.9,24.1
148,130410,13117130410,1304.10,ARC 20,2015-05-21T19:06:00.000Z,1757,1615,91.9,142,8.1,5.4,6.6,589,964,768,847,{C272EE7F-5753-4605-B464-32FEB7C524DD},703.1,33.5,54.9,556,237,13.5,47.6,52.4
149,130203,13117130203,1302.03,ARC 20,2015-05-21T19:06:00.000Z,1685,1478,87.7,207,12.3,7.8,0,1537,549,1201,277,{451EB852-74F4-4459-80B3-C358D5D89597},91.5,91.2,32.6,970,166,9.9,81.3,18.7
150,130204,13117130204,1302.04,ARC 20,2015-05-21T19:06:00.000Z,1501,1187,79.1,314,20.9,17.9,0,1318,1027,971,216,{28F33B97-DE88-4B82-91D2-2D9728FD716C},470,87.8,68.4,457,17,1.1,81.8,18.2
151,130202,13117130202,1302.02,ARC 20,2015-05-21T19:06:00.000Z,1401,1264,90.2,137,9.8,5.7,28.5,1353,751,1205,59,{24ECDEAC-D58C-4B0D-B529-46CE80E06B52},402.2,96.6,53.6,591,59,4.2,95.3,4.7
152,130509,13117130509,1305.09,ARC 20,2015-05-21T19:06:00.000Z,1273,1034,81.2,239,18.8,5.4,31.6,1233,28,818,216,{B1B3BD01-E74C-4F8B-B32F-B4299556AA48},-2.4,96.9,2.2,930,315,24.7,79.1,20.9
153,130403,13117130403,1304.03,ARC 20,2015-05-21T19:06:00.000Z,2053,1899,92.5,154,7.5,0,46.1,1675,843,1775,124,{5B0E5C9C-756D-487F-A9AD-18A6542E8540},154.5,81.6,41.1,806,404,19.7,93.5,6.5
154,031506,13067031506,315.06,ARC 10,2015-05-21T19:06:00.000Z,1846,1723,93.3,123,6.7,4.8,0,1681,472,1309,414,{6BF78F67-99F9-4DF6-8566-7F1AB12BA19D},92.2,91.1,25.6,711,663,35.9,76,24
155,031508,13067031508,315.08,ARC 10,2015-05-21T19:06:00.000Z,1731,1662,96,69,4,2.9,0,1669,524,1438,224,{EE7FF0D1-7B5D-4E03-B723-391CE850AE26},257.7,96.4,30.3,905,302,17.4,86.5,13.5
156,031116,13067031116,311.16,ARC 10,2015-05-21T19:06:00.000Z,1797,1472,81.9,325,18.1,2.4,24.6,674,72,706,766,{99FF3577-5341-4CD1-98FC-135ECFE7BEBC},-264.5,37.5,4,744,981,54.6,48,52
157,031115,13067031115,311.15,ARC 10,2015-05-21T19:06:00.000Z,1847,1588,86,259,14,9.2,9.2,1435,326,1066,522,{EA815BC1-4E9A-49FC-BE8C-9C9944912EC5},425,77.7,17.7,588,933,50.5,67.1,32.9
158,030223,13067030223,302.23,ARC 10,2015-05-21T19:06:00.000Z,2460,2199,89.4,261,10.6,3.3,11.4,1697,646,1337,862,{52B74C12-0A2A-41F7-89E6-7642E7148894},661.2,69,26.3,1564,250,10.2,60.8,39.2
159,031312,13067031312,313.12,ARC 10,2015-05-21T19:06:00.000Z,3695,3372,91.3,323,8.7,3,0,2545,2058,2796,576,{2597AB9D-500B-4111-89D7-838CA0D88CDA},689.6,68.9,55.7,755,882,23.9,82.9,17.1
160,031313,13067031313,313.13,ARC 10,2015-05-21T19:06:00.000Z,3843,3698,96.2,145,3.8,1.8,4.6,2954,2328,3034,664,{B4DFEAB4-711D-4E03-987B-B5D1D51E1703},975,76.9,60.6,1152,363,9.4,82,18
161,031309,13067031309,313.09,ARC 10,2015-05-21T19:06:00.000Z,2913,2616,89.8,297,10.2,2,0,2544,404,2108,508,{589EDFA8-29FA-43AF-AF16-07B675F7E29E},307.1,87.3,13.9,1347,1162,39.9,80.6,19.4
162,130101,13117130101,1301.01,ARC 20,2015-05-21T19:06:00.000Z,1380,1261,91.4,119,8.6,8.7,0,1208,707,1065,196,{6249DC8F-E89B-4A68-92C3-7A7B37E288B1},148.6,87.5,51.2,528,145,10.5,84.5,15.5
163,130104,13117130104,1301.04,ARC 20,2015-05-21T19:06:00.000Z,1735,1414,81.5,321,18.5,10,0,1637,752,1292,122,{878224FA-A03D-4798-A83C-D7A2FF1EEACF},147.6,94.4,43.3,592,391,22.5,91.4,8.6
164,130506,13117130506,1305.06,ARC 20,2015-05-21T19:06:00.000Z,1265,1131,89.4,134,10.6,10.9,0,1031,420,840,291,{11CBC035-0A40-432E-9290-A6E4DC9BD92F},309,81.5,33.2,721,124,9.8,74.3,25.7
165,031509,13067031509,315.09,ARC 10,2015-05-21T19:06:00.000Z,3572,3032,84.9,540,15.1,7,17.8,3378,1446,2615,417,{26565D15-6AC4-4164-9DD5-108983F2B2A3},435.1,94.6,40.5,1355,771,21.6,86.2,13.8
166,031113,13067031113,311.13,ARC 10,2015-05-21T19:06:00.000Z,635,487,76.7,148,23.3,0,16.6,15,79,19,468,{CBE08DDE-8109-4DC8-BCE1-F62CD683ED39},-757.5,2.4,12.4,225,331,52.1,3.9,96.1
167,031114,13067031114,311.14,ARC 10,2015-05-21T19:06:00.000Z,3884,3703,95.3,181,4.7,6.2,2.3,417,90,532,3171,{C15D3F90-6B68-48EF-920D-82FFC4A6E161},1146.4,10.7,2.3,2601,1193,30.7,14.4,85.6
168,030345,13067030345,303.45,ARC 10,2015-05-21T19:06:00.000Z,2599,2302,88.6,297,11.4,0,7.6,77,207,260,2042,{8BE89182-6126-45EC-851B-3895CE811FCF},491.8,3,8,1675,717,27.6,11.3,88.7
169,030344,13067030344,303.44,ARC 10,2015-05-21T19:06:00.000Z,2191,1763,80.5,428,19.5,9.3,14.3,72,341,205,1558,{A42C51DD-93F0-42C7-8215-ECFD95FD311F},-662.2,3.3,15.6,1251,599,27.3,11.6,88.4
170,030411,13067030411,304.11,ARC 10,2015-05-21T19:06:00.000Z,2113,1531,72.5,582,27.5,0,18.9,253,68,133,1398,{DC31DF2C-9625-4549-B899-953994A86AB3},-593.8,12,3.2,950,1095,51.8,8.7,91.3
171,030412,13067030412,304.12,ARC 10,2015-05-21T19:06:00.000Z,2031,1473,72.5,558,27.5,0,22.3,82,0,222,1251,{E81CD4C8-3221-43CE-804C-4EFC509B3922},-1303.8,4,0,1195,836,41.2,15.1,84.9
172,030414,13067030414,304.14,ARC 10,2015-05-21T19:06:00.000Z,1502,1089,72.5,413,27.5,0,14.4,46,0,0,1089,{188E5D13-449C-4B7E-9577-6C44C9273A57},-659,3.1,0,730,772,51.4,0,100
173,030413,13067030413,304.13,ARC 10,2015-05-21T19:06:00.000Z,2819,2261,80.2,558,19.8,7.9,17.8,79,252,305,1956,{033FADC5-03B6-4E4C-9AC0-7EAECF259D73},-1313.3,2.8,8.9,1621,946,33.6,13.5,86.5
174,030239,13067030239,302.39,ARC 10,2015-05-21T19:06:00.000Z,2695,2519,93.5,176,6.5,0,21.1,2628,913,2373,146,{F0118161-F265-4BFC-8877-88F12DE1F3C6},228.4,97.5,33.9,1473,309,11.5,94.2,5.8
175,030238,13067030238,302.38,ARC 10,2015-05-21T19:06:00.000Z,2179,2123,97.4,56,2.6,2.7,0,2155,659,2042,81,{3AC4A2B7-3A83-4698-A2B6-50B30D165C1B},350.9,98.9,30.2,1457,63,2.9,96.2,3.8
176,030236,13067030236,302.36,ARC 10,2015-05-21T19:06:00.000Z,1476,1380,93.5,96,6.5,0,0,1476,416,1335,45,{7E0F8475-4A2C-4715-9FCF-3C5D885E034C},370.5,100,28.2,977,83,5.6,96.7,3.3
177,030407,13067030407,304.07,ARC 10,2015-05-21T19:06:00.000Z,2152,2007,93.3,145,6.7,0,2.3,1771,0,1626,381,{91B08989-37C3-454D-A26D-53C19E94F412},-70.6,82.3,0,788,1364,63.4,81,19
178,030408,13067030408,304.08,ARC 10,2015-05-21T19:06:00.000Z,1560,1298,83.2,262,16.8,1.4,22.3,906,82,786,512,{92930F52-5157-4F55-8B00-A059EBF7C1DA},7.8,58.1,5.3,588,890,57.1,60.6,39.4
179,030410,13067030410,304.10,ARC 10,2015-05-21T19:06:00.000Z,2332,2257,96.8,75,3.2,8.5,0,950,353,809,1448,{30BB4025-2827-435D-934F-5674C6AF287F},-34.1,40.7,15.1,914,1065,45.7,35.8,64.2
180,030409,13067030409,304.09,ARC 10,2015-05-21T19:06:00.000Z,1293,1245,96.3,48,3.7,0,0,1253,187,1107,138,{F8DFED9B-2640-427C-9BF6-330DFE850F00},198.6,96.9,14.5,627,479,37,88.9,11.1
181,030343,13067030343,303.43,ARC 10,2015-05-21T19:06:00.000Z,1620,1620,100,0,0,0,0,1620,194,1585,35,{B761C156-9398-4518-AE87-A6D6D278D87F},71.7,100,12,1313,113,7,97.8,2.2
182,030342,13067030342,303.42,ARC 10,2015-05-21T19:06:00.000Z,1722,1661,96.5,61,3.5,2.4,0,1722,229,1526,135,{C7048429-883A-4146-836D-8A1B6CCA9569},62.1,100,13.3,1103,390,22.6,91.9,8.1
183,030340,13067030340,303.40,ARC 10,2015-05-21T19:06:00.000Z,1278,1278,100,0,0,0,0,1268,68,1171,107,{79CE9389-84D2-4A5D-8124-018DF228F92B},-179.4,99.2,5.3,1176,34,2.7,91.6,8.4
184,030341,13067030341,303.41,ARC 10,2015-05-21T19:06:00.000Z,1579,1543,97.7,36,2.3,0,15.9,1560,88,1400,143,{1B8A5B85-C95E-490C-A0CD-F0CF1A0767B8},30.6,98.8,5.6,1329,162,10.3,90.7,9.3
185,031409,13067031409,314.09,ARC 10,2015-05-21T19:06:00.000Z,2232,1903,85.3,329,14.7,3.1,0,2059,386,1443,460,{17C3CD5E-AE93-4B40-BBAC-4006687176C6},14,92.2,17.3,1111,735,32.9,75.8,24.2
186,031408,13067031408,314.08,ARC 10,2015-05-21T19:06:00.000Z,2295,2129,92.8,166,7.2,0,5.2,2059,781,1375,754,{DD87531C-CC2F-4680-9D67-1197CC3BCACC},211.3,89.7,34,583,931,40.6,64.6,35.4
187,030107,13067030107,301.07,ARC 10,2015-05-21T19:06:00.000Z,1704,1627,95.5,77,4.5,1.8,0,1590,457,1368,259,{9CBBB7BB-16E2-4F0E-AFD5-C127B718B73B},725.6,93.3,26.8,1045,202,11.9,84.1,15.9
188,030106,13067030106,301.06,ARC 10,2015-05-21T19:06:00.000Z,2999,2567,85.6,432,14.4,3.6,13.9,1938,663,1451,1116,{B00EA190-C201-4F20-B20A-5CEE9DD0FE95},1167.9,64.6,22.1,2070,266,8.9,56.5,43.5
189,030505,13067030505,305.05,ARC 10,2015-05-21T19:06:00.000Z,3126,2818,90.1,308,9.9,5,6.8,611,149,516,2302,{547EA79D-7167-4114-9829-318A4DC65734},395.5,19.5,4.8,1887,1090,34.9,18.3,81.7
190,030800,13067030800,308,ARC 10,2015-05-21T19:06:00.000Z,1722,1468,85.2,254,14.8,4.3,5.6,560,386,446,1022,{6EBA5AB2-7B0A-47A3-8A9C-F590176C18CE},-498,32.5,22.4,234,1102,64,30.4,69.6
191,030902,13067030902,309.02,ARC 10,2015-05-21T19:06:00.000Z,2708,2305,85.1,403,14.9,8.1,10.3,933,108,1084,1221,{EE8E27D9-CF70-4429-815F-33714D99F717},-704.5,34.5,4,778,1822,67.3,47,53
192,031311,13067031311,313.11,ARC 10,2015-05-21T19:06:00.000Z,4174,3412,81.7,762,18.3,3.5,17.1,1629,1107,1398,2014,{44179750-D446-4425-8492-462EF50BCD9A},592.5,39,26.5,1415,1652,39.6,41,59
193,031406,13067031406,314.06,ARC 10,2015-05-21T19:06:00.000Z,3334,2859,85.8,475,14.2,2.6,17.4,1084,852,1088,1771,{B564F2F8-1D8D-404F-8DBC-D148390D907F},892.1,32.5,25.6,1758,724,21.7,38.1,61.9
194,031405,13067031405,314.05,ARC 10,2015-05-21T19:06:00.000Z,3125,2896,92.7,229,7.3,0,14.4,2721,445,2218,678,{2B954F40-BDB4-4F4D-A5DC-9FBAE63F8A16},5.1,87.1,14.2,1648,1032,33,76.6,23.4
195,030320,13067030320,303.20,ARC 10,2015-05-21T19:06:00.000Z,4033,3473,86.1,560,13.9,7,7.1,1477,1137,2089,1384,{41B379BA-9AD9-4295-9998-1CBB9CEB2C8C},357.5,36.6,28.2,2396,500,12.4,60.1,39.9
196,030318,13067030318,303.18,ARC 10,2015-05-21T19:06:00.000Z,2843,2796,98.3,47,1.7,1.3,0,2759,411,2610,186,{35A92491-FD72-45E2-B062-73958F1044A7},67.4,97,14.5,1270,1162,40.9,93.3,6.7
197,031005,13067031005,310.05,ARC 10,2015-05-21T19:06:00.000Z,1772,1639,92.5,133,7.5,4.7,0,1704,352,1285,354,{223FD2AB-4F77-4138-9235-F08E7C8597CE},445,96.2,19.9,478,942,53.2,78.4,21.6
198,031002,13067031002,310.02,ARC 10,2015-05-21T19:06:00.000Z,3393,3003,88.5,390,11.5,3.7,9.6,1402,1062,819,2184,{59F28BAD-F483-4FD4-8971-737799294E57},579.4,41.3,31.3,610,1721,50.7,27.3,72.7
199,030904,13067030904,309.04,ARC 10,2015-05-21T19:06:00.000Z,2603,2209,84.9,394,15.1,9.4,10.9,651,362,1019,1190,{3A7A6CCF-5535-4BFA-8B5D-F6F636AA564C},-38.5,25,13.9,1097,1144,43.9,46.1,53.9
200,030901,13067030901,309.01,ARC 10,2015-05-21T19:06:00.000Z,3405,3175,93.2,230,6.8,1.8,8.4,2205,129,2361,814,{B4D60304-C16E-490D-A66B-6C8DABF95066},-19.3,64.8,3.8,2208,1068,31.4,74.4,25.6
201,031503,13067031503,315.03,ARC 10,2015-05-21T19:06:00.000Z,3109,2768,89,341,11,5.1,16.5,2814,525,2175,593,{6A439AD7-7419-40FB-8976-6DA4FE991E29},78.4,90.5,16.9,1949,635,20.4,78.6,21.4
202,031307,13067031307,313.07,ARC 10,2015-05-21T19:06:00.000Z,2406,2104,87.4,302,12.6,10.4,0,2255,181,1690,414,{C327B967-52BF-4131-BF83-48CFB7CB256D},28.5,93.7,7.5,1099,1126,46.8,80.3,19.7
203,031308,13067031308,313.08,ARC 10,2015-05-21T19:06:00.000Z,1919,1716,89.4,203,10.6,4.7,9.1,1613,129,1084,632,{A24A4E4B-557A-4567-9BB0-55AF65B86FD9},114.8,84.1,6.7,460,1330,69.3,63.2,36.8
204,030319,13067030319,303.19,ARC 10,2015-05-21T19:06:00.000Z,1690,1623,96,67,4,0,0,1115,93,1480,143,{B9A6ED50-D740-4987-8F15-A2F8F8FE23F0},-9.3,66,5.5,993,604,35.7,91.2,8.8
205,030333,13067030333,303.33,ARC 10,2015-05-21T19:06:00.000Z,2266,2175,96,91,4,3.9,0,2188,216,1968,207,{62EC492E-D27E-4E8A-BBE9-759C9A78EEFF},28.3,96.6,9.5,585,1465,64.7,90.5,9.5
206,030332,13067030332,303.32,ARC 10,2015-05-21T19:06:00.000Z,1148,1148,100,0,0,0,0,1095,60,1051,97,{2BC04CBB-F6EE-4C76-BF22-8922D5E6B6A1},-35.7,95.4,5.2,592,496,43.2,91.6,8.4
207,030335,13067030335,303.35,ARC 10,2015-05-21T19:06:00.000Z,1722,1603,93.1,119,6.9,7.3,0,1689,46,1507,96,{D4758851-2163-4C43-8307-D614BF311FB8},-173,98.1,2.7,910,766,44.5,94,6
208,031106,13067031106,311.06,ARC 10,2015-05-21T19:06:00.000Z,3202,2879,89.9,323,10.1,5.5,5.8,2476,560,2156,723,{A2DF2970-7298-4EAB-81B5-8FA9B4092204},258.6,77.3,17.5,1683,959,30,74.9,25.1
209,030331,13067030331,303.31,ARC 10,2015-05-21T19:06:00.000Z,2044,1969,96.3,75,3.7,0.7,0,2044,112,1879,90,{0D326B78-C9C5-4AEB-82D0-FFF4C9A13784},-73.6,100,5.5,1062,870,42.6,95.4,4.6
210,030322,13067030322,303.22,ARC 10,2015-05-21T19:06:00.000Z,1209,1160,95.9,49,4.1,0,6,1200,112,1025,135,{986C0C3D-881C-4530-BFB4-A26A0C58E593},-15.7,99.3,9.3,656,441,36.5,88.4,11.6
211,031112,13067031112,311.12,ARC 10,2015-05-21T19:06:00.000Z,2301,2184,94.9,117,5.1,4.1,0,1519,466,1429,755,{7FB97CD9-23B5-4A82-B39F-1417F70073B5},10,66,20.3,714,1121,48.7,65.4,34.6
212,030504,13067030504,305.04,ARC 10,2015-05-21T19:06:00.000Z,2602,2400,92.2,202,7.8,0,21.8,1728,360,1898,502,{3A1C47FB-F7EE-4B3E-898B-17BDE18C8B0F},189.2,66.4,13.8,1503,739,28.4,79.1,20.9
213,030327,13067030327,303.27,ARC 10,2015-05-21T19:06:00.000Z,1605,1466,91.3,139,8.7,1.3,0,1605,147,1282,184,{91A33CF7-AA28-4DBE-9A92-9B421DD4AF6E},18.4,100,9.2,523,935,58.3,87.4,12.6
214,030329,13067030329,303.29,ARC 10,2015-05-21T19:06:00.000Z,1702,1679,98.6,23,1.4,1.5,0,1695,89,1461,218,{ABE5BD6E-F364-4121-8A71-8DB84A68F520},-97.6,99.6,5.2,1185,428,25.1,87,13
215,030339,13067030339,303.39,ARC 10,2015-05-21T19:06:00.000Z,3337,3000,89.9,337,10.1,0,9.9,69,423,453,2547,{489CE429-3D78-431A-BA1F-9E9059EA9537},607.2,2.1,12.7,1397,1517,45.5,15.1,84.9
216,030314,13067030314,303.14,ARC 10,2015-05-21T19:06:00.000Z,2865,2591,90.4,274,9.6,2.1,26.8,2819,483,2345,246,{62EA5C4B-1DDA-4753-AA71-CDE4D4D0CA5F},271.6,98.4,16.9,1379,1003,35,90.5,9.5
217,030336,13067030336,303.36,ARC 10,2015-05-21T19:06:00.000Z,2519,2479,98.4,40,1.6,0,0,2506,123,2332,147,{1A7E4EE9-26DA-4B3F-AC07-459DD19C1420},-159.3,99.5,4.9,1973,423,16.8,94.1,5.9
218,040411,13063040411,404.11,ARC 10,2015-05-21T19:06:00.000Z,4538,4120,90.8,418,9.2,3.6,0,4203,2355,3401,719,{B5476E78-87B6-4C6E-93DF-ED031745B7B3},679.1,92.6,51.9,1398,785,17.3,82.5,17.5
219,040512,13063040512,405.12,ARC 10,2015-05-21T19:06:00.000Z,2235,1793,80.2,442,19.8,3.5,17.8,1264,452,899,894,{7AA16BB7-944B-4AB4-8B71-E7B6E1CDB7C6},360,56.6,20.2,635,1148,51.4,50.1,49.9
220,040608,13063040608,406.08,ARC 10,2015-05-21T19:06:00.000Z,4188,3568,85.2,620,14.8,6.2,6.5,3610,2395,2659,909,{7DF1C708-5BCA-4410-8B28-DE47555F5F87},339.3,86.2,57.2,1566,227,5.4,74.5,25.5
221,040614,13063040614,406.14,ARC 10,2015-05-21T19:06:00.000Z,2101,1876,89.3,225,10.7,1.1,22.4,1817,378,1406,470,{DB0E642B-28F8-48E4-861C-F43891974450},-135.2,86.5,18,1150,573,27.3,74.9,25.1
222,040606,13063040606,406.06,ARC 10,2015-05-21T19:06:00.000Z,1113,958,86.1,155,13.9,3.6,21.8,610,577,667,291,{962532E2-9608-4740-AEC6-205BBEA107FC},22.7,54.8,51.8,349,187,16.8,69.6,30.4
223,040612,13063040612,406.12,ARC 10,2015-05-21T19:06:00.000Z,2028,1798,88.7,230,11.3,0,17.5,1539,350,942,856,{ED09F76F-3A4E-483F-8CBE-8962161BB95B},969.3,75.9,17.3,596,1082,53.4,52.4,47.6
224,040609,13063040609,406.09,ARC 10,2015-05-21T19:06:00.000Z,2515,2253,89.6,262,10.4,2.9,9,1679,680,1362,891,{D3ADC9FF-C63B-4A60-ACDE-113D67C448B0},362.2,66.8,27,1148,687,27.3,60.5,39.5
225,040412,13063040412,404.12,ARC 10,2015-05-21T19:06:00.000Z,3299,2768,83.9,531,16.1,2.5,24.5,1613,641,1378,1390,{9BEF211B-4E95-46CC-B18D-A642DE2E4171},142.9,48.9,19.4,1114,1544,46.8,49.8,50.2
226,040413,13063040413,404.13,ARC 10,2015-05-21T19:06:00.000Z,2715,2541,93.6,174,6.4,0,7.3,2207,659,1770,771,{9D3039ED-582D-49A1-A3D9-7C505B2F9319},569.5,81.3,24.3,1085,971,35.8,69.7,30.3
227,040613,13063040613,406.13,ARC 10,2015-05-21T19:06:00.000Z,2954,2562,86.7,392,13.3,4,15,2729,958,1940,622,{8CF0718F-D0D3-4D10-AB8E-EB241BF15A08},264.7,92.4,32.4,1082,914,30.9,75.7,24.3
228,040408,13063040408,404.08,ARC 10,2015-05-21T19:06:00.000Z,3080,2482,80.6,598,19.4,1.5,24.8,1422,481,978,1504,{501A4A11-6E7B-4050-894B-CB784D4B894C},80.8,46.2,15.6,700,1899,61.7,39.4,60.6
229,040409,13063040409,404.09,ARC 10,2015-05-21T19:06:00.000Z,2023,1748,86.4,275,13.6,4.9,7.2,1626,381,1121,627,{E530BACD-3E5B-48A1-BF30-1F41943F8D80},170,80.4,18.8,473,1169,57.8,64.1,35.9
230,040410,13063040410,404.10,ARC 10,2015-05-21T19:06:00.000Z,2602,2254,86.6,348,13.4,0,18.9,2015,936,1609,645,{2663431B-6FBD-4D44-80A1-36BDEA448578},150.5,77.4,36,264,1402,53.9,71.4,28.6
231,040303,13063040303,403.03,ARC 10,2015-05-21T19:06:00.000Z,2763,2040,73.8,723,26.2,8.5,24.5,1809,412,1187,853,{176D51EB-5B78-4284-A1F8-9C56E12AC425},-348.3,65.5,14.9,464,1887,68.3,58.2,41.8
232,040302,13063040302,403.02,ARC 10,2015-05-21T19:06:00.000Z,2029,1477,72.8,552,27.2,3,23.6,1164,141,607,870,{BD45F190-912B-49A5-974E-8CBAD9ABA3CC},-646.8,57.4,6.9,179,1709,84.2,41.1,58.9
233,040611,13063040611,406.11,ARC 10,2015-05-21T19:06:00.000Z,2936,2326,79.2,610,20.8,1.4,19.5,973,525,783,1543,{32229DD3-09E3-4B62-B67F-1DD83C497581},155,33.1,17.9,1151,1260,42.9,33.7,66.3
234,040407,13063040407,404.07,ARC 10,2015-05-21T19:06:00.000Z,1416,1130,79.8,286,20.2,10.4,11,1145,371,748,382,{AF2E171D-08E8-4492-80B3-88A54CCD119D},94,80.9,26.2,240,805,56.9,66.2,33.8
