OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Percent_BA_or_Higher,Median_household_income,Under_5_population__2010,GlobalID,Pop_Change_per_SqMi_2000_2010,Pct_Population_under_5_2010
72,13067031207,312.07,ARC 10,2015-05-19T14:22:24.000Z,77.5,52945,131,{280B970C-1378-42C6-97D5-DB6BC3E60CCA},176.4,4.04
73,13067030226,302.26,ARC 10,2015-05-19T14:22:24.000Z,37.5,70357,792,{B8F84544-D590-4551-BDF2-C9D4946DC6F2},1151.9,8.21
74,13067031505,315.05,ARC 10,2015-05-19T14:22:24.000Z,37.3,62903,381,{84CE87E5-967D-4954-96AC-F1D7F83B50F6},-27.4,6.36
75,13067030313,303.13,ARC 10,2015-05-19T14:22:24.000Z,42.6,77872,486,{3DB051AC-B76D-4333-BFA6-7AEBC32C7BB0},201.1,6.1
76,13067031310,313.10,ARC 10,2015-05-19T14:22:24.000Z,14.3,27802,666,{BEC825E3-2B01-4713-842C-1B9DBB87558F},244.1,10.57
77,13067030214,302.14,ARC 10,2015-05-19T14:22:24.000Z,36.7,74347,422,{8B584122-3D57-4C6E-AAEF-76044527B293},299,5.15
78,13067031212,312.12,ARC 10,2015-05-19T14:22:24.000Z,75.9,125000,88,{2C6AE181-BFBE-462A-AC86-09340EF016A5},-71.3,3.79
79,13067031211,312.11,ARC 10,2015-05-19T14:22:24.000Z,54.4,53891,172,{19BB865A-0C95-4D44-B683-3E8113188025},-73.3,4.76
80,13067031209,312.09,ARC 10,2015-05-19T14:22:24.000Z,64.4,120987,356,{4260A857-E4EB-4EC6-940A-14568931F5FF},600.8,9.39
81,13067030224,302.24,ARC 10,2015-05-19T14:22:24.000Z,46.4,69803,505,{AE286723-2770-457B-8A34-5A66DCB76A9D},1697.2,8.07
82,13067031205,312.05,ARC 10,2015-05-19T14:22:24.000Z,75.3,83000,415,{BCC417C5-BEA6-4E53-A6E3-7965672A1CBE},688.6,7.82
83,13067031206,312.06,ARC 10,2015-05-19T14:22:24.000Z,54.4,78214,712,{9A1F06C8-6228-40AD-8D7E-3FDAE77E3D52},1112.2,8.17
84,13067030220,302.20,ARC 10,2015-05-19T14:22:24.000Z,32.5,63523,96,{B0C12CC6-BB63-43A9-AC81-EAA6088B8698},-44.3,5.77
85,13067030905,309.05,ARC 10,2015-05-19T14:22:24.000Z,19.6,52669,466,{EC7B9C50-1BBA-40DB-AC34-CB8A8F8E843C},398.3,5.93
86,13067030502,305.02,ARC 10,2015-05-19T14:22:24.000Z,47.8,83229,489,{5FDDD5BE-DCCE-49C5-8260-AA689032B844},114.1,7.63
87,13067030209,302.09,ARC 10,2015-05-19T14:22:24.000Z,49.9,82328,456,{0D05C19F-08B0-4D2D-BDBC-76E4119C4DE7},253.6,6.75
88,13067030326,303.26,ARC 10,2015-05-19T14:22:24.000Z,61.3,122371,125,{A5A0DBE3-6D4D-4C8D-A931-67E311EA0E2E},-70.4,3.08
89,13067031108,311.08,ARC 10,2015-05-19T14:22:24.000Z,37.7,35563,355,{06FDE8B6-E457-4A86-919A-4708F90C23A3},-380.8,7.23
90,13117130105,1301.05,ARC 20,2015-05-19T14:22:24.000Z,16.4,38306,181,{59603612-717D-4791-A6F3-8FE87F076AA7},106.5,8.02
91,13117130205,1302.05,ARC 20,2015-05-19T14:22:24.000Z,25.1,65795,171,{A05CC703-6782-4BE4-8DAD-1A7FBD29956C},113.9,7.95
92,13117130603,1306.03,ARC 20,2015-05-19T14:22:24.000Z,62.6,118902,385,{3EE26618-CBB4-4728-BEF0-596394DFAAFA},391.4,10.01
93,13117130610,1306.10,ARC 20,2015-05-19T14:22:24.000Z,67.3,120685,236,{27F15D29-8FA2-4ADF-9DB2-50DB50F0C9D4},125.9,5.58
94,13117130606,1306.06,ARC 20,2015-05-19T14:22:24.000Z,63.5,116714,288,{57605203-2EFE-41CD-AEC9-C6329D8F097D},263.5,7.16
95,13117130604,1306.04,ARC 20,2015-05-19T14:22:24.000Z,60.2,126058,424,{06BDA088-09D6-4608-9CE2-BE209733F22C},693.6,9.27
96,13117130611,1306.11,ARC 20,2015-05-19T14:22:24.000Z,47.7,127304,192,{C24061B9-5107-4418-B262-8730A3D20CAC},633.3,5.43
97,13117130609,1306.09,ARC 20,2015-05-19T14:22:24.000Z,75.1,125688,438,{C29F8868-32BF-4158-BD61-D5B1BABB52F7},1147.7,10.09
98,13117130607,1306.07,ARC 20,2015-05-19T14:22:24.000Z,59.7,120000,421,{EB330146-5599-41BC-AA82-A8279FF40CD7},1206.3,9.14
99,13117130605,1306.05,ARC 20,2015-05-19T14:22:24.000Z,60.2,99028,252,{E4F3DFAB-748F-4F8E-A21F-028A6C8601ED},684.5,6.64
100,13117130602,1306.02,ARC 20,2015-05-19T14:22:24.000Z,52.4,83445,494,{44FFD884-F11F-49F4-AE99-20A9765A66AA},810.9,11.1
101,13117130508,1305.08,ARC 20,2015-05-19T14:22:24.000Z,56.8,104912,295,{A36FAAED-5523-400F-95B9-C446FE98C2B6},491.8,5.91
