OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Percent_BA_or_Higher,Median_household_income,Square_Miles,Total_Jobs__2015,Total_Jobs__2020,Total_Jobs__2030,Total_Jobs__2035,Total_Jobs__2040,Change_in_Jobs__2015_2040,GlobalID,Pop_Change_per_SqMi_2000_2010,Chng_in_jobs_per_SqMi_2015_2040
67,13067030602,306.02,ARC 10,2015-05-19T13:59:09.000Z,53,61891,6.2,14306,13262,15868,17803,19401,7319,{C7D3248F-49FD-4E29-B9E5-CA93D6C590D4},61,1180.5
68,13067030506,305.06,ARC 10,2015-05-19T13:59:09.000Z,27.3,51922,3.1,10766,9387,11676,13250,14649,6392,{01DB76C1-920C-4011-9483-08E621939CD6},267.1,2061.9
69,13067030507,305.07,ARC 10,2015-05-19T13:59:09.000Z,39.7,61017,2.4,1619,1430,1822,2046,2228,1045,{AB8FADB1-29F2-4395-BBF9-D64F969B434B},51.3,435.4
70,13067030229,302.29,ARC 10,2015-05-19T13:59:09.000Z,31.4,51905,5.1,22202,21630,22791,23695,23984,3605,{FD48922C-BB78-49B7-B591-9A6BA4CFF466},409.8,706.9
71,13067031208,312.08,ARC 10,2015-05-19T13:59:09.000Z,69.8,63125,1.4,7747,7529,8006,8348,8501,1469,{FF7A3E35-992D-4BE3-906B-10309FB598C9},960.7,1049.3
72,13067031207,312.07,ARC 10,2015-05-19T13:59:09.000Z,77.5,52945,1.1,16029,15291,16886,17853,18450,4433,{8BC0F9C8-D66F-493D-BEE7-B099122AC794},176.4,4030
73,13067030226,302.26,ARC 10,2015-05-19T13:59:09.000Z,37.5,70357,2.7,2873,2713,3027,3185,3287,795,{759A6BD8-FB0E-442C-A085-EDC6D9F79ABF},1151.9,294.4
74,13067031505,315.05,ARC 10,2015-05-19T13:59:09.000Z,37.3,62903,3.9,2207,1983,2423,2681,2879,1184,{E49588BC-FE9B-4E25-9B80-071FC5F712B8},-27.4,303.6
75,13067030313,303.13,ARC 10,2015-05-19T13:59:09.000Z,42.6,77872,3.7,2176,2039,2329,2513,2620,753,{B3E2453E-DCDF-4ACB-8DA5-B568FAB9DED0},201.1,203.5
76,13067031310,313.10,ARC 10,2015-05-19T13:59:09.000Z,14.3,27802,4.6,6991,6388,7714,8509,9037,3517,{9835C834-0008-49F9-96EB-17925E906838},244.1,764.6
77,13067030214,302.14,ARC 10,2015-05-19T13:59:09.000Z,36.7,74347,4.1,1036,1009,1063,1087,1082,114,{958E11DA-FCDB-47EF-8B7A-3FA38B636A70},299,27.8
78,13067031212,312.12,ARC 10,2015-05-19T13:59:09.000Z,75.9,125000,1.6,689,674,701,719,718,57,{9B2190EC-5A88-42D3-AF5C-1D04750F6F63},-71.3,35.6
79,13067031211,312.11,ARC 10,2015-05-19T13:59:09.000Z,54.4,53891,0.6,2333,2284,2384,2442,2453,220,{469B5CA7-A4EF-4848-B164-8A2747B86645},-73.3,366.7
80,13067031209,312.09,ARC 10,2015-05-19T13:59:09.000Z,64.4,120987,1.3,1424,1404,1432,1437,1412,29,{1A64A828-4C74-4628-9992-0294795F74A0},600.8,22.3
81,13067030224,302.24,ARC 10,2015-05-19T13:59:09.000Z,46.4,69803,1.8,625,606,643,664,660,86,{DE6DF889-F636-461B-BA0D-2AF4966ACB28},1697.2,47.8
82,13067031205,312.05,ARC 10,2015-05-19T13:59:09.000Z,75.3,83000,2.9,5981,5395,6866,7582,8177,3689,{63C7A2EA-2ADC-45A6-A92A-48A11DEDF825},688.6,1272.1
83,13067031206,312.06,ARC 10,2015-05-19T13:59:09.000Z,54.4,78214,3.6,14001,13099,14977,15997,16726,4951,{315F1745-4BA3-4603-BAD1-308F041E2BB4},1112.2,1375.3
84,13067030220,302.20,ARC 10,2015-05-19T13:59:09.000Z,32.5,63523,0.7,208,197,214,222,227,40,{F28FE3C3-302A-4A3E-82AD-03A2606C28DC},-44.3,57.1
85,13067030905,309.05,ARC 10,2015-05-19T13:59:09.000Z,19.6,52669,2.4,1822,1751,1895,1961,2010,342,{AEDA53C7-67B9-4E93-835D-69176296E46F},398.3,142.5
86,13067030502,305.02,ARC 10,2015-05-19T13:59:09.000Z,47.8,83229,3.7,10046,9414,10770,11573,12091,3724,{5905218E-0B9A-4A2F-83E7-C80184421FB7},114.1,1006.5
87,13067030209,302.09,ARC 10,2015-05-19T13:59:09.000Z,49.9,82328,5.3,1865,1745,1983,2135,2251,933,{C3200517-7626-411D-8C25-AEA8CB97AC93},253.6,176
88,13067030326,303.26,ARC 10,2015-05-19T13:59:09.000Z,61.3,122371,2.8,551,534,565,580,579,57,{F882F321-364C-4AF6-8CF6-31B4E0E5F9D6},-70.4,20.4
89,13067031108,311.08,ARC 10,2015-05-19T13:59:09.000Z,37.7,35563,1.3,1087,1023,1153,1233,1287,348,{B23FC41E-0362-410B-ABF7-D06CE8712807},-380.8,267.7
90,13117130105,1301.05,ARC 20,2015-05-19T13:59:09.000Z,16.4,38306,4,1222,1122,1514,1751,1928,1056,{90470155-0788-4219-8808-21CB6CB880CA},106.5,264
91,13117130205,1302.05,ARC 20,2015-05-19T13:59:09.000Z,25.1,65795,6.6,2614,2129,3198,3841,4406,2952,{B91035F3-2F70-4666-B55A-4F6FC8CF38C7},113.9,447.3
92,13117130603,1306.03,ARC 20,2015-05-19T13:59:09.000Z,62.6,118902,5.9,13859,13824,15586,16549,16902,4580,{C721B7FF-8D9A-4D9C-A0D7-06C146363BA6},391.4,776.3
93,13117130610,1306.10,ARC 20,2015-05-19T13:59:09.000Z,67.3,120685,4.1,335,310,367,400,422,142,{C6A7CCA0-EE45-4C79-A118-637BBA198239},125.9,34.6
94,13117130606,1306.06,ARC 20,2015-05-19T13:59:09.000Z,63.5,116714,1.7,1658,1591,1840,2189,2374,984,{25BC6528-26EE-476F-82FA-130AD789CC19},263.5,578.8
95,13117130604,1306.04,ARC 20,2015-05-19T13:59:09.000Z,60.2,126058,2.5,2455,2290,2645,2854,2994,964,{5C6DE54F-6E8F-4733-A310-13BDC83DAF3E},693.6,385.6
96,13117130611,1306.11,ARC 20,2015-05-19T13:59:09.000Z,47.7,127304,2.4,340,315,374,405,424,152,{7A90826A-B9AE-44EA-8283-4AC72C8F0C40},633.3,63.3
97,13117130609,1306.09,ARC 20,2015-05-19T13:59:09.000Z,75.1,125688,2.6,491,525,663,741,813,364,{C05AE64A-7CE8-435C-B968-FC737C8BDABA},1147.7,140
98,13117130607,1306.07,ARC 20,2015-05-19T13:59:09.000Z,59.7,120000,3,624,570,691,762,814,312,{7A583247-F27E-42EE-97E3-6B8A1C80397E},1206.3,104
99,13117130605,1306.05,ARC 20,2015-05-19T13:59:09.000Z,60.2,99028,2.9,772,706,855,946,1010,389,{A5832992-B063-45C4-BA0C-9E76922DEACB},684.5,134.1
100,13117130602,1306.02,ARC 20,2015-05-19T13:59:09.000Z,52.4,83445,2.2,2906,2623,3203,3507,3741,1530,{A4E44D32-9692-4C62-8CA1-0A337B7B9F7F},810.9,695.5
