X,Y,OBJECTID_1,Name,County,Address_Li,City,ZIP,Source,GlobalID,last_edited_date,Subtype,Type
-84.636492258999624,33.840972973000532,28,COOPER MIDDLE SCHOOL,Cobb,4605 EWING RD,AUSTELL,30106,Captain Planet Foundation_ Project Learning Garden,{2EB08A45-9BCF-4290-A424-D63EFDF004BD},2015-01-30T21:10:09.000Z,School,Garden
-84.4791054574751,33.789050070293399,29,CORETTA SCOTT KING YOUNG WOMEN'S ACADEMY MIDDLE SC,Fulton,1190 Northwest Dr.,Atlanta,30318,Captain Planet Foundation_ Project Learning Garden,{BC408B79-49A3-4BA8-A911-2799A87C1582},2015-07-14T17:35:40.000Z,School,Garden
-84.394887407999647,33.667778032000456,30,Crawford W. Long Middle School,Fulton,3200 Latona Drive,Atlanta,30354,Captain Planet Foundation_ Project Learning Garden,{2B916683-2E5F-4825-B6F0-987741427ED1},2015-01-30T21:10:09.000Z,School,Garden
-84.38309076799959,33.727959838000459,31,D. H. STANTON ELEMENTARY SCHOOL,Fulton,970 MARTIN ST SE,ATLANTA,30315,Captain Planet Foundation_ Project Learning Garden,{F082F442-2B01-446A-BA3E-E42CA5C5F739},2015-01-30T21:10:09.000Z,School,Garden
-84.514297945999544,33.67118783500041,32,DEERWOOD ACADEMY SCHOOL,Fulton,3070 FAIRBURN RD SW,ATLANTA,30331,Captain Planet Foundation_ Project Learning Garden,{2B326291-4168-4B7A-B8D9-1FC9A54B7F46},2015-01-30T21:10:09.000Z,School,Garden
-84.372506568999597,33.699599901000397,33,DOBBS ELEMENTARY SCHOOL,Fulton,2025 JONESBORO RD SE,ATLANTA,30315,Captain Planet Foundation_ Project Learning Garden,{077AFF6A-D47D-40E9-AE7B-E7D7C5D18565},2015-01-30T21:10:09.000Z,School,Garden
-84.272309602999542,33.81861491400042,34,DRUID HILLS MIDDLE SCHOOL,Dekalb,3100 MOUNT OLIVE DR,DECATUR,30033,Captain Planet Foundation_ Project Learning Garden,{294C872A-D376-46CA-8AF7-CCB6E8AFEF0B},2015-01-30T21:10:09.000Z,School,Garden
-84.401537816999678,33.74116368200049,35,DUNBAR ELEMENTARY SCHOOL,Fulton,500 Whitehall Terrace SW,ATLANTA,30312,Captain Planet Foundation_ Project Learning Garden,{FAFB5B31-223C-40CA-B951-E54D9C58E053},2015-01-30T21:10:09.000Z,School,Garden
-84.542514444999597,33.916428367000549,36,FAIR OAKS ELEMENTARY SCHOOL,Cobb,407 BARBER RD SE,MARIETTA,30060,Captain Planet Foundation_ Project Learning Garden,{74B1F990-9821-43E6-B73B-BBC5B6E76E3F},2015-01-30T21:10:09.000Z,School,Garden
-84.514168844999688,33.696646984000438,37,FICKETT ELEMENTARY SCHOOL,Fulton,3935 RUX RD SW,ATLANTA,30331,Captain Planet Foundation_ Project Learning Garden,{79838230-00EF-4243-BB98-50180612F753},2015-01-30T21:10:09.000Z,School,Garden
-84.714927229456066,33.987050013749752,38,FORD ELEMENTARY SCHOOL,Cobb,1345 MARS HILL RD NW,ACWORTH,30101,Captain Planet Foundation_ Project Learning Garden,{C3A117EF-5625-41A1-9CA7-271D989393FA},2015-01-30T21:10:09.000Z,School,Garden
-84.378745003999654,33.831794755000544,39,GARDEN HILLS ELEMENTARY SCHOOL,Fulton,"285 Sheridan Drive, NE",Atlanta,30305,Captain Planet Foundation_ Project Learning Garden,{E8803A06-96BE-4D8C-8955-9F9059CE85DC},2015-01-30T21:10:09.000Z,School,Garden
-84.433198918999665,34.049459760000559,40,GARRISON MILL ELEMENTARY,Cobb,4111 WESLEY CHAPEL RD,MARIETTA,30062,Captain Planet Foundation_ Project Learning Garden,{2691ED80-2CF4-4207-80EA-E3BDFA3DCA51},2015-01-30T21:10:09.000Z,School,Garden
-84.504328093999675,33.775623717000599,41,George Alexander Towns Elementary,Fulton,760 Bolton Road,Atlanta,30331,Captain Planet Foundation_ Project Learning Garden,{DDAC3CF4-314C-45CC-8B06-553FFFEB888D},2015-01-30T21:10:09.000Z,School,Garden
-84.405129981999607,33.730606818000467,42,GIDEONS ELEMENTARY SCHOOL,Fulton,897 WELCH ST SW,ATLANTA,30310,Captain Planet Foundation_ Project Learning Garden,{EAA470CC-D19F-478B-B338-C4964893B9B1},2015-01-30T21:10:09.000Z,School,Garden
-84.205872838999653,33.811487329000556,44,Hambrick Elementary School,Dekalb,1101 Hambrick Road,Stone Mountain,30083,Captain Planet Foundation_ Project Learning Garden,{C60BD4D9-8977-4451-9572-E3FEBF85F763},2015-01-30T21:10:09.000Z,School,Garden
-84.379037943999663,33.659650001000557,45,HERITAGE ACADEMY ELEMENTARY,Fulton,3500 VILLA CIR SE,ATLANTA,30354,Captain Planet Foundation_ Project Learning Garden,{E91F9930-62AC-42A8-9B42-7D5C87C47F0F},2015-01-30T21:10:09.000Z,School,Garden
-84.473902873999634,34.171357037000462,46,HOLLY SPRINGS ELEMENTARY SCHOOL,Cherokee,1965 HICKORY RD,CANTON,30115,Captain Planet Foundation_ Project Learning Garden,{729FA1D7-FBAC-4D7E-87C3-B3B0E46AA630},2015-01-30T21:10:09.000Z,School,Garden
,,47,FINCH ELEMENTARY,Fulton,111 AVON AVENUE. S.W.,ATLANTA,30310,Captain Planet Foundation_ Project Learning Garden,{622B3180-FAD2-4D59-9CA8-B3A456325882},2015-01-30T21:10:09.000Z,School,Garden
-84.000433422999663,33.927861058000531,48,HOLT ELEMENTARY SCHOOL,Gwinnett,588 OLD SNELLVILLE HWY,LAWRENCEVILLE,30046,Captain Planet Foundation_ Project Learning Garden,{9E67CA39-E9CC-4BD5-A11A-36555AEB88AE},2015-01-30T21:10:09.000Z,School,Garden
-84.372267653999643,33.757480056000475,49,HOPE HILL ELEMENTARY SCHOOL,Fulton,112 BOULEVARD NE,ATLANTA,30312,Captain Planet Foundation_ Project Learning Garden,{F785712D-4504-4E22-B210-15032EBD5F0F},2015-01-30T21:10:09.000Z,School,Garden
-84.37661918499964,33.672823709000397,50,HUMPHRIES ELEMENTARY SCHOOL,Fulton,3029 HUMPHRIES DR SE,ATLANTA,30354,Captain Planet Foundation_ Project Learning Garden,{0CCFAF50-BDE5-4977-AF57-AA238F4AD873},2015-01-30T21:10:09.000Z,School,Garden
-84.410208090999674,33.681173694000563,51,HUTCHINSON ELEMENTARY SCHOOL,Fulton,650 CLEVELAND AVE SW,ATLANTA,30315,Captain Planet Foundation_ Project Learning Garden,{EA8A2302-9799-4BB8-95AC-8464CC93156F},2015-01-30T21:10:09.000Z,School,Garden
-84.289534631999686,33.801940577000607,52,INTERNATIONAL COMMUNITY SCHOOL,Dekalb,2418 Wood Trail Lane,DECATUR,30033,Captain Planet Foundation_ Project Learning Garden,{C0CC3D2C-397D-49A5-91D9-3221DB684035},2015-01-30T21:10:09.000Z,School,Garden
