OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,COUNTY_NM,PLNG_REGIO,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,SD10,SD_Name,Total_Households__2015,Total_Population__2015,Total_Households__2020,Total_Population__2020,Total_Households__2030,Total_Population__2030,Total_Households__2040,Total_Population__2040,Density__Population_per_Sq_Mile,Density__Population_per_Sq_Mi_1,Change__Population_per_Sq_Mile_,Change__Households__2015_2040,Change__Population__2015_2040,last_edited_date,GlobalID
847,13,121,010513,13121010513,Fulton,ARC 10,7141.490234,87.108101,7228.600098,11.1586,0.136106,11.2947,12,Shannon,5107,14071,5502,14941,6282,16813,6915,18195,1245.2,,365,1808,4124,2016-06-22T20:22:26.000Z,{03E77990-5091-424D-B926-CDA1FF05FCA2}
848,13,121,010304,13121010304,Fulton,ARC 10,9748.290039,28.9827,9777.269531,15.2317,0.045285,15.277,10,S Fulton,5020,13346,5361,13971,5893,15125,6216,15695,872.3,,153.5,1196,2349,2016-06-22T20:22:26.000Z,{7E01FC26-A184-4D12-9837-310EB3F3AC87}
849,13,121,010303,13121010303,Fulton,ARC 10,8494.379883,157.755005,8652.139648,13.2725,0.246492,13.519,10,S Fulton,3684,9756,3963,10083,4643,11740,5251,13110,722.7,,248.4,1567,3354,2016-06-22T20:22:26.000Z,{CBCE6ACD-7B64-4627-B155-595546195A45}
850,13,121,010514,13121010514,Fulton,ARC 10,11607.599609,165.712006,11773.299805,18.1369,0.258925,18.3958,12,Shannon,4809,13031,5171,13794,5881,15472,6354,16476,708.2,,187.2,1545,3445,2016-06-22T20:22:26.000Z,{E7AE77C7-4930-4CEF-9922-2CC33A35DB02}
851,13,121,010301,13121010301,Fulton,ARC 10,21133.900391,290.842987,21424.699219,33.021702,0.454442,33.476101,10,S Fulton,6391,16020,6990,17233,8503,20457,9336,22312,478.2,666,187.8,2945,6292,2016-06-22T20:22:26.000Z,{E4315F39-824A-40A6-8DD4-519AED421E88}
852,13,121,010400,13121010400,Fulton,ARC 10,45015.300781,738.268982,45753.601562,70.336403,1.15355,71.489998,10,S Fulton,3936,10599,4434,11670,5940,15419,7273,19186,148.2,,120.1,3337,8587,2016-06-22T20:22:26.000Z,{548D2A9A-C42A-4AEF-A33F-88D6F4463AD1}
853,13,121,011421,13121011421,Fulton,ARC 10,959.508972,13.9864,973.495972,1.49923,0.021854,1.52109,2,Roswell,1722,4517,1787,4633,1926,4920,2046,5114,3011.3,,398,324,597,2016-06-22T20:22:26.000Z,{DB2FD83E-45D1-4397-B38C-E5FA3A9B234E}
854,13,121,011416,13121011416,Fulton,ARC 10,1634.72998,10.1185,1644.849976,2.55427,0.01581,2.57008,2,Roswell,2175,5568,2229,5653,2331,5811,2373,5840,2141.5,,104.6,198,272,2016-06-22T20:22:27.000Z,{44677590-0E65-45FE-A52D-B0E3A97009DC}
855,13,121,011506,13121011506,Fulton,ARC 10,2731.090088,88.127403,2819.209961,4.26733,0.137699,4.40502,1,N Fulton,2252,6362,2289,6482,2369,6673,2486,6890,1445.9,,120,234,528,2016-06-22T20:22:27.000Z,{6EA94047-DFC7-45F7-987E-0AC7913E685E}
856,13,121,011417,13121011417,Fulton,ARC 10,1858.77002,24.3377,1883.099976,2.90433,0.038028,2.94234,2,Roswell,2107,4870,2176,4975,2311,5223,2372,5329,1679.3,,158.3,265,459,2016-06-22T20:22:27.000Z,{996FB41F-7F6E-4863-949E-7054A005E2BF}
857,13,121,007001,13121007001,Fulton,ARC 10,1127.199951,0.29875,1127.5,1.76125,0.000467,1.76172,9,SE Atlanta,1409,3851,1455,3934,1775,4744,2128,5582,2139.4,,961.7,719,1731,2016-06-22T20:22:27.000Z,{ADAC8498-EDE8-4A9B-BA59-41575B4FAA91}
858,13,121,006700,13121006700,Fulton,ARC 10,835.565979,7.52757,843.093018,1.30557,0.011762,1.31733,9,SE Atlanta,1598,3866,1739,4176,2006,4760,2387,5583,2973.8,,1320.8,789,1717,2016-06-22T20:22:27.000Z,{FE4CD650-F401-4E24-ADB2-143078CEBA51}
859,13,121,006300,13121006300,Fulton,ARC 10,327.604004,0,327.604004,0.511881,0,0.511881,9,SE Atlanta,770,1730,823,1829,949,2112,1022,2230,3460,4460,1000,252,500,2016-06-22T20:22:27.000Z,{5615F358-0648-4FBF-B826-86B635903557}
