OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_2__Annual_Transit_Trips,GlobalID,last_edited_date,Pop_Chng_per_SqMi_2000_2010,Tp2_HousTranspCosts_Pct_Income,Tp2_HousCosts_Pct_Income,Tp2_TranspCosts_Pct_Income,Tp2_AnnualVehMilesTrav
109,13067030337,303.37,ARC 10,125556,72.08,{6596691C-A106-4A6E-B14F-E6F73090579A},2015-06-02T12:14:52.000Z,6.1,207.98,145.49,62.5,17523
110,13067030334,303.34,ARC 10,96214,41.35,{791FFD07-0AA8-4211-B594-6A71395A7B86},2015-06-02T12:14:52.000Z,-140,168.71,106.79,61.92,16910
111,13067031111,311.11,ARC 10,78706,165.77,{F113598C-53A5-4AC5-B324-5B372D6730EF},2015-06-02T12:14:52.000Z,-353.8,149.86,103.02,46.85,14417
112,13067031110,311.10,ARC 10,56472,79.67,{EBFFB197-6618-4D8E-9528-10D3A809D684},2015-06-02T12:14:52.000Z,-166,134.65,82.67,51.98,14735
113,13067030405,304.05,ARC 10,39492,152.22,{4CEF3B79-066B-4E88-9CBD-F245D4BD2164},2015-06-02T12:14:52.000Z,-74,129.05,85.07,43.98,13058
114,13067031101,311.01,ARC 10,41907,84.95,{7D9F10B5-F81B-4C0C-82BB-4CBD902F3EEA},2015-06-02T12:14:52.000Z,34.6,127.09,76.41,50.67,14613
115,13117130305,1303.05,ARC 20,94188,57.52,{262D309B-9CC3-4FDE-9201-2392F27A251F},2015-06-02T12:14:52.000Z,610.3,189.54,117.63,71.9,21151
116,13117130301,1303.01,ARC 20,66842,14.99,{EDDA562E-652E-4913-9EAA-3C56B54A1762},2015-06-02T12:14:52.000Z,240.6,161.32,92.06,69.26,20758
117,13117130405,1304.05,ARC 20,81048,10.2,{DE34B2EC-70C4-475D-984D-E69DE1B63190},2015-06-02T12:14:52.000Z,542.1,159.41,89.65,69.76,20113
118,13117130504,1305.04,ARC 20,66572,4.47,{BA281092-2B5F-4FE3-AAFA-8DD780BC495F},2015-06-02T12:14:52.000Z,64.7,146.99,79.98,67,19575
119,13117130505,1305.05,ARC 20,74000,22.97,{B79B88BC-7BB8-43E0-97BC-63AB2B46040E},2015-06-02T12:14:52.000Z,74.6,149.76,78.43,71.32,21108
120,13117130503,1305.03,ARC 20,82670,2.74,{95C07775-6B4C-43E7-953E-1EBFA4DBA4F8},2015-06-02T12:14:52.000Z,70.7,165.38,94.68,70.7,20571
121,13117130102,1301.02,ARC 20,59929,10.65,{DE660FCB-B4AA-4512-933E-60D12C90B694},2015-06-02T12:14:52.000Z,207.4,162.61,90.13,72.48,21764
122,13117130103,1301.03,ARC 20,53941,0,{3AEADAEB-A21E-4270-9286-6066D13768D3},2015-06-02T12:14:52.000Z,190.1,147.06,77.3,69.76,20966
123,13117130303,1303.03,ARC 20,85750,24.9,{498A073A-8015-4A37-B6D5-6AD4734B7FA0},2015-06-02T12:14:52.000Z,111.4,184.08,111.31,72.77,21752
124,13117130201,1302.01,ARC 20,82137,8.63,{48602154-F104-42A6-834B-45A4D2CFFD54},2015-06-02T12:14:52.000Z,221.6,180.06,107.17,72.89,21636
125,13067030232,302.32,ARC 10,89649,42.47,{EBBD05FC-D5EE-46CD-9461-592590AEEA34},2015-06-02T12:14:52.000Z,231.8,184.53,117.34,67.19,19278
