X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Pop_wHealth_Insurance,Pct_Pop_wHealth_Ins,Pop_wPriv_Health_Ins,Pct_Pop_wPriv_Health_Ins,Population_with_public_coverage,Pct_Pop_with_public_coverage,Pop_wNo_Health_Ins,Pct_Pop_wNo_Health_Ins,Pop_u18_wNo_Health_Ins,Pct_Pop_u18_wNo_Health_Ins,Pop_18to64_Employed,Pop_18to64_Empl_wNo_Health_Ins,Pct_Pop_18to64_Emp_wNo_Hlth_Ins,Pop_18to64_Unemployed,Pop_18to64_Unemp_wNo_Health_Ins,Pct_Pop_18to64_Unemp_No_HlthIns,Pop_18to64_Not_in_Labor_Force,Pop_18to64_Not_LabFor_NoHlthIns,PctPop_18to64_NotLFor_NoHlthIns,GlobalID,last_edited_date
-82.206478711341262,33.449473541795562,63,Grovetown,3095.32006836,4.83644009, , ,9659,82.8,7241,62.1,3340,28.6,2000,17.2,188,4.9,4737,1155,24.4,636,154,24.2,1741,467,26.8,{0515A564-00C6-45CA-9CEA-F8F0B1C98046},
-83.241225717631522,33.087538974197045,64,Milledgeville,13158.90039063,20.56080055, , ,14245,85.4,11270,67.6,4704,28.2,2432,14.6,279,9.2,6042,1013,16.8,733,406,55.4,5080,734,14.4,{C9F00BF2-3245-497D-8436-D283639FC466},
-85.289752828786519,34.974753474803975,65,Rossville,1157.32995605,1.80832005, , ,2989,75.9,1788,45.4,1787,45.4,949,24.1,103,10.7,1160,435,37.5,376,282,75,881,129,14.6,{4AB1ADA4-E7E8-4CCB-B53E-19A7FC2C83FA},
-85.362199190103738,34.966418683353282,66,Lookout Mountain,1701.83996582,2.6591301, , ,1676,95.4,1566,89.2,275,15.7,80,4.6,5,0.9,728,59,8.1,23,8,34.8,214,5,2.3,{EC5FE6F7-73FD-43B6-81AD-43102B3F0D5E},
-85.281534059918798,34.708660576835079,67,LaFayette,5229.18017578,8.1705904, , ,5780,86.1,3588,53.5,2956,44,931,13.9,53,3.4,2144,444,20.7,279,139,49.8,1451,295,20.3,{BEAF028E-C40D-4E64-BDE7-0F725FEF2A9B},
-85.289012626203217,34.874407602839703,68,Chickamauga,1651.41003418,2.5803299, , ,2652,84.9,2250,72,734,23.5,473,15.1,27,3.6,1455,229,15.7,172,95,55.2,420,122,29,{00DF4991-8727-4EB5-B60F-F234B201D024},
-85.246035984125697,34.931844056290018,69,Fort Oglethorpe,8891.26953125,13.89260006, , ,7805,86.4,5647,62.5,3440,38.1,1229,13.6,68,3.3,3835,592,15.4,450,307,68.2,1081,262,24.2,{36D3D1A1-DB76-4BF2-A56B-D20E08E811A8},
-82.157518895736871,32.58293764316759,70,Twin City,2314.06005859,3.61572003, , ,1196,73.6,590,36.3,785,48.3,428,26.4,43,10,392,123,31.4,76,55,72.4,494,207,41.9,{9518FFEC-E02E-4529-A711-9455B5FCCED3},
-82.334487487435808,32.586606118926412,71,Swainsboro,8288.45019531,12.95069981, , ,5239,72.3,2330,32.2,3332,46,2003,27.7,104,4.5,2467,924,37.5,515,331,64.3,1216,644,53,{BF6D0CEA-1C98-4126-88F5-15C6F0CEB7DF},
-82.276372834278533,32.745799922683538,72,Summertown,506.34899902,0.79117, , ,158,66.7,78,32.9,95,40.1,79,33.3,17,22.4,81,39,48.1,15,3,20,47,20,42.6,{1D5B000E-9607-4853-B2B8-061F98998FC8},
