OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_user,Percent_BA_or_Higher,Median_household_income,Change_in_Total_Jobs__2015_2040,GlobalID,Pop_Chng_per_SqMi_2000_2010,Chng_AgForFshHnt_jobs_2015_2040,Change_Mining_jobs_2015_2040,Chng_Util_Sect_jobs_2015_2040,Chng_Const_jobs_2015_2040,Chng_Manuf_jobs_2015_2040,Chng_Whlsl_Trade_jobs_2015_2040,Chng_Retail_Trad_jobs_2015_2040,Chng_Trans_Wareh_jobs_2015_2040,Chng_Info_jobs_2015_2040,Chng_Finance_jobs_2015_2040,Chng_RealEs_Rent_jobs_2015_2040,Chng_ProSciTech_jobs_2015_2040,Chng_Mgmt_Comps_jobs_2015_2040,Chng_Ad_Wst_Mgmt_jobs_2015_2040,Chng_Educ_Svcs_jobs_2015_2040,Chng_HealthSocAs_jobs_2015_2040,Chng_ArtsEntRec_jobs_2015_2040,Chng_AccFoodSvcs_jobs_2015_2040,Chg_OthrNotPubAd_jobs_2015_2040,Chng_PubAdmin_jobs_2015_2040,Chg_Pct_AgFoFiHu_jobs_2015_2040,Chng_Pct_Mining_jobs_2015_2040,Chg_Pct_Util_Sec_jobs_2015_2040,Chng_Pct_Const_jobs_2015_2040,Chng_Pct_Manuf_jobs_2015_2040,Chng_Pct_WhlslTr_jobs_2015_2040,Chg_Pct_RetailTr_jobs_2015_2040,Chg_Pct_TranspWH_jobs_2015_2040,Chng_Pct_Info_jobs_2015_2040,Chng_Pct_Finance_jobs_2015_2040,ChgPct_RlEs_Rent_jobs_2015_2040,ChgPct_ProSciTec_jobs_2015_2040,ChgPct_MgmtComps_jobs_2015_2040,ChgPct_AdWstMgmt_jobs_2015_2040,ChgPct_EducSvcs_jobs_2015_2040,ChgPct_HlthSocAs_jobs_2015_2040,ChgPct_ArtEntRec_jobs_2015_2040,ChgPct_AcFoodSvc_jobs_2015_2040,ChPct_OthNotPubAd_job_2015_2040,ChgPct_PubAdmin_jobs_2015_2040
469,13121980000,9800,ARC 10,SDE,,,636,{8267C2CF-055A-4B36-BBC2-B9039FC2D2C2},,0,0,0,111,-2,8,-1,554,0,-1,0,-13,0,212,11,1,1,95,33,-373,0,0,0,0.5,0,0,0,0.8,0,0,0,-0.2,0,0.8,0.1,0,0,0.3,0.1,-2.4
470,13121004300,43,ARC 10,SDE,42.6,31607,1220,{6DA28DDE-1B03-45F0-99F1-9C1100290661},-1745,0,0,0,1,0,0,0,0,0,1,4,0,0,39,1165,0,0,8,2,0,0,0,0,0.1,0,-0.1,-0.4,0,0,-0.1,-2.2,0,-1,-1.7,6.2,0,0,-0.6,0.1,0
471,13121008904,89.04,ARC 10,SDE,75.3,70787,424,{B10BECA2-BDD7-4F88-AD87-43B008076CE1},266.7,0,0,0,121,-175,97,-1,5,-1,7,63,86,-11,133,0,44,6,39,1,10,0,0,0,3.4,-10.2,1.5,-0.2,-0.1,-0.1,0.2,1.1,1.9,-1.1,1.7,0,1.4,0,0.5,0,-0.2
472,13121008903,89.03,ARC 10,SDE,48.7,66635,190,{C66F43C6-71A4-40DA-9C47-6697B195348F},-1160,0,0,0,27,-4,8,-1,8,0,2,18,9,0,27,0,58,0,25,4,9,0,0,0,2.4,-1.3,-0.2,-3.9,-0.5,0,0.3,0.2,0.3,0,-0.6,0,6.4,0,-1,0.1,-2.2
473,13121001001,10.01,ARC 10,SDE,87.9,64583,5209,{115C0CF4-03CD-42B8-8B91-BE96C1100556},1765,0,0,-21,410,-8,25,-6,38,-258,15,389,2235,6,337,76,551,-2,235,788,399,0,0,-0.4,1.5,-0.2,0,-0.7,-0.1,-7.5,-0.9,0.7,4.4,-0.5,0.4,0.2,2.7,-0.4,-1,0.9,0.8
474,13121009101,91.01,ARC 10,SDE,74.4,71691,1175,{8FE4A2DB-2A3B-4BB1-AC29-86CDF15B803A},-212.9,0,0,0,-5,-41,-30,-49,0,0,1,69,-1,-2,68,30,1156,-1,33,2,-55,0,0,0,-0.1,-0.4,-0.4,-0.7,0,0,-0.2,0.1,-0.3,-0.1,-0.1,0.2,3,0,-0.4,-0.1,-0.6
475,13121001201,12.01,ARC 10,SDE,68,53623,29,{1EBAD9BC-39A7-4E3C-AC6B-3D276C1DD6C8},5035,0,0,-1,1,-1,5,-1,0,-3,0,-4,-2,0,6,0,16,0,25,3,-15,0,0,-0.2,0.1,-0.2,0.6,-0.2,0,-0.5,0,-0.8,-0.5,0,0.5,0,1.7,0,1.7,-0.1,-2.2
476,13121001202,12.02,ARC 10,SDE,86.7,65255,3085,{277257EF-5549-44FB-9D63-E7D5897A9704},11070,0,0,97,205,-4,256,-1,2,-11,135,62,1149,-61,479,0,935,30,-53,-129,-6,0,0,-1,0.9,-0.1,1,-0.1,0,-6,-0.7,0,4.2,-0.5,1.6,0,5.3,-0.2,-2.1,-1.2,-1.1
477,13121009102,91.02,ARC 10,SDE,67.3,44089,3581,{46BC63CC-131A-401A-96FB-C8AC9FA7F5B8},1405,0,0,0,155,-50,65,-5,5,-3,1,-6,3,0,19,186,3093,0,16,3,99,0,0,0,-4,-8.4,-7,-2.7,-4,-1.4,-0.1,-2.4,-2.5,0,-4.2,3,39.7,-0.1,-5.6,-2,1.7
478,13121010108,101.08,ARC 10,SDE,78.6,166094,1033,{DB622C69-A3F8-44FF-990B-59A0F0083C62},-7.5,0,0,0,94,0,34,61,12,12,84,43,135,0,62,45,95,4,60,40,252,0,0,0,2.4,0,-5.2,-1.5,0,-2,-0.4,0.1,-3.2,-0.2,-1.5,-1.6,2.1,0.2,-0.5,0,11.3
479,13121007500,75,ARC 10,SDE,12.9,17545,670,{DA57922E-79F1-412A-8E22-4427DC19E9B7},-168.5,0,0,0,0,-4,76,20,5,0,2,19,5,0,161,32,72,40,50,149,43,0,0,0,0,-1,-4,-3.5,-0.4,-0.1,-0.2,0.1,0.2,0,4.7,0.3,3,-1.2,-1.7,4.2,-0.3
