OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_1__Annual_Transit_Trips,GlobalID,Pop_Chng_per_SqMi_2000_2010,Tp1_HousTranCsts_Pct_Income,Tp1_HousCosts_Pct_Income,Tp1_TranspCosts_Pct_Income,Tp1_AnnVehicleMilesTraveled
162,13117130101,1301.01,ARC 20,80040,20.12,{1DFF978E-D8EB-4927-89B7-D8C12B86A040},148.6,53.88,31.67,22.21,25944
163,13117130104,1301.04,ARC 20,71382,21.61,{EDDC93A5-F9A9-44DB-9CEA-692BB9DAF982},147.6,52.64,30.32,22.32,26158
164,13117130506,1305.06,ARC 20,70313,24.3,{A4284CCA-72F6-44DB-AD5B-0957CBDB7D66},309,51.44,30.52,20.92,24435
165,13067031509,315.09,ARC 10,68125,48.45,{F70D5B2E-E674-4053-BF55-08B9D22710BC},435.1,53.21,31.86,21.36,24598
166,13067031113,311.13,ARC 10,29523,172.37,{2F65751F-BD2C-409A-9F00-AA309326E639},-757.5,32.32,18.61,13.71,15332
167,13067031114,311.14,ARC 10,41880,257.39,{DC4AEE19-7FFF-4455-AE2F-D33F6D6092F1},1146.4,39.1,25.93,13.17,14157
168,13067030345,303.45,ARC 10,50553,150.21,{0420F827-05C2-4669-8ADD-F77B2EE415B4},491.8,39.82,26.38,13.44,14398
169,13067030344,303.44,ARC 10,43037,218.9,{D95D62E3-590D-4234-B198-705DB815B608},-662.2,40.97,27.67,13.3,14316
170,13067030411,304.11,ARC 10,27417,257.5,{9DE27931-65D1-4879-B646-8977FBDD5F0C},-593.8,34.59,21.46,13.13,14479
171,13067030412,304.12,ARC 10,37917,247.86,{ECDADB80-9863-4A7E-AE32-0893D69D4604},-1303.8,38.01,24.24,13.77,14939
172,13067030414,304.14,ARC 10,27681,238.8,{27FE92D3-60E7-42F9-8482-868088E5C956},-659,40.88,27.72,13.16,14042
173,13067030413,304.13,ARC 10,34180,309.37,{4C808B45-B17B-4E5A-B7D3-3E7A84761DF5},-1313.3,38.49,25.79,12.7,13528
174,13067030239,302.39,ARC 10,107622,56.94,{67686B6B-17C0-4DFF-901A-DE44E006ED72},228.4,56.72,34.93,21.79,24695
175,13067030238,302.38,ARC 10,101607,85.22,{0C6D14A9-20A9-49D3-A6D7-8CB7FA9E0914},350.9,56.07,34.25,21.82,25047
176,13067030236,302.36,ARC 10,130867,103.44,{86083BA0-5C8D-467A-B7B9-6CB21381C549},370.5,56.31,34.61,21.7,24858
177,13067030407,304.07,ARC 10,67138,106.35,{059D66E0-5A3A-4E29-9439-36965F7735D2},-70.6,50.71,32.23,18.48,20301
178,13067030408,304.08,ARC 10,65682,131.29,{4EC79D5D-B67F-42BC-8971-31D1E68D47A5},7.8,47.37,30.52,16.85,18359
179,13067030410,304.10,ARC 10,43352,123.9,{C3C7417B-E051-4D13-B439-72A8D6F5789F},-34.1,46.47,30.03,16.43,17843
180,13067030409,304.09,ARC 10,110494,112.72,{F685BCC0-CB1E-48D9-8263-3E3B21E64CD7},198.6,55.51,35.71,19.8,21463
181,13067030343,303.43,ARC 10,114712,114.51,{E58C46AC-1C08-420F-A65B-12FA4D699B62},71.7,56.13,35.61,20.52,22395
182,13067030342,303.42,ARC 10,113075,80.74,{3A809B6E-3B43-4D60-B1AA-9340D5D82A96},62.1,56.12,35.26,20.86,22856
183,13067030340,303.40,ARC 10,130263,80.91,{EC90CD4D-9435-4A2D-BAEA-6D548230A76D},-179.4,55.81,35,20.81,22763
184,13067030341,303.41,ARC 10,95469,95.69,{1AAD5617-6A9F-4FF7-B6EA-818D711B90E3},30.6,53.53,33.03,20.5,23102
185,13067031409,314.09,ARC 10,46234,14.95,{4AA5EDF8-C800-40D9-A2FF-5AF1DA261D46},14,50.96,30.85,20.11,23192
