OBJECTID,Acres,LCI_Name,Year,Name,yr_gf,Study_Type,GlobalID,last_edited_date
237,1918,Norcross Activity Center,2008,Norcross Activity Center,2008,Activity Center,{6188540F-6F98-45CD-A9C4-B355F1F6B9C5},2015-09-01T14:09:51.000Z
238,2320,Perimeter,2001,Perimeter,2001,Activity Center,{C18AA9AC-B1C7-4E8C-8E86-517AEAA655C2},2015-09-01T14:09:51.000Z
239,1411,Upper Westside,2004,Upper Westside,2004,Activity Center,{C09FAC3C-2D36-4DD7-BF9A-4E94DD70E535},2015-09-01T14:09:51.000Z
240,2433,Smyrna,2003,Smyrna,2003,Town Center,{997EC0E7-C792-4F95-8021-7424FBDF5FE7},2015-09-01T14:09:51.000Z
241,1583,Brookhaven,2005,Brookhaven,2005,Activity Center,{7714EE67-606D-4879-9536-85CBD26FE761},2015-09-01T14:09:51.000Z
242,292,Chamblee,2013,Chamblee,2013,Town Center,{D2C3DFC2-1A2C-419F-9EBE-A94B5888D37B},2015-09-01T14:09:51.000Z
243,879,Downtown Lawrenceville,2006,Downtown Lawrenceville,GF,Town Center,{17FD063F-1121-46EC-BD3F-596C2BEAE182},2015-09-01T14:09:51.000Z
244,1837,Austell Rd,2006,Austell Rd,2006,Corridor,{25FE7584-6726-40D6-8A9E-04F4B9041643},2015-09-01T14:09:51.000Z
245,1435,Peachtree Corners,2014,Peachtree Corners,2014,Regional Center,{D4118916-7FAD-4387-8C5C-8395CFFE8D71},2015-09-01T14:09:51.000Z
246,914,West Griffin,2009,West Griffin,2009,Activity Center,{C722425A-6DF9-4F57-8978-D60877450A23},2015-09-01T14:09:51.000Z
