X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
-84.373325,33.730161,19301,116132,116132,ATLANTA AVE @ CHEROKEE AVE,,,,,,,
-84.348179,33.740123,19302,117002,117002,GLENWOOD AVE SE @ BROWNWOOD AVE SE,,,,,,,
-84.349709,33.726524,19303,117004,117004,MORELAND AVE SE@BURNS ST SE,,,,,,,
-84.349426,33.727564,19304,117006,117006,MORELAND AVE SE@LYNDALE DR SE,,,,,,,
-84.349415,33.729077,19305,117007,117007,MORELAND AVE SE@STONEYBROOK DR,,,,,,,
-84.349405,33.730133,19306,117008,117008,MORELAND AVE SE@EDEN AVE SE,,,,,,,
-84.349394,33.731905,19307,117010,117010,MORELAND AVE SE@DELAWARE AVE SE,,,,,,,
-84.349384,33.732863,19308,117012,117012,MORELAND AVE SE@GRACEWOOD AVE SE,,,,,,,
-84.349373,33.734098,19309,117014,117014,MORELAND AVE SE@ORMEWOOD AVE SE,,,,,,,
-84.349363,33.73502,19310,117016,117016,MORELAND AVE SE@HALL ST SE,,,,,,,
-84.34933,33.736041,19311,117018,117018,MORELAND AVE SE@BERNE ST SE,,,,,,,
-84.34932,33.737589,19312,117020,117020,MORELAND AVE SE@WOODLAND AVE SE,,,,,,,
-84.349321,33.7392,19313,117022,117022,MORELAND AVE SE@PORTLAND AVE SE,,,,,,,
-84.351166,33.74049,19314,117024,117024,GLENWOOD AVE SE@HEMLOCK CIR SE,,,,,,,
-84.354172,33.740005,19315,117026,117026,GLENWOOD AVE SE@STOVALL ST SE,,,,,,,
-84.35508,33.739857,19316,117028,117028,GLENWOOD AVE SE@GLENWOOD PL SE,,,,,,,
-84.358125,33.739789,19317,117030,117030,GLENWOOD AVE SE @ BILL KENNEDY WAY SE,,,,,,,
-84.356321,33.739709,19318,117034,117034,GLENWOOD AVE SE@HAMILTON ST SE,,,,,,,
-84.355043,33.739717,19319,117036,117036,GLENWOOD AVE SE@GLENWOOD PL SE,,,,,,,
-84.354234,33.739888,19320,117038,117038,GLENWOOD AVE SE@STOVALL ST SE,,,,,,,
-84.351332,33.74039,19321,117040,117040,GLENWOOD AVE SE@HEMLOCK CIR SE,,,,,,,
-84.348364,33.740208,19322,117042,117042,GLENWOOD AVE SE @ BROWNWOOD AVE,,,,,,,
-84.349386,33.740337,19323,117044,117044,GLENWOOD AVE SE @ MORELAND AVE SE,,,,,,,
-84.349319,33.726089,19324,117098,117098,MORELAND AVE SE@BEECHVIEW DR SE,,,,,,,
-84.349319,33.72731,19325,117100,117100,MORELAND AVE SE@LYNDALE DR SE,,,,,,,
-84.349297,33.731851,19326,117102,117102,MORELAND AVE SE@DELAWARE AVE SE,,,,,,,
-84.349281,33.732777,19327,117104,117104,MORELAND AVE SE@GRACEWOOD AVE SE,,,,,,,
-84.349243,33.733803,19328,117106,117106,MORELAND AVE SE@ORMEWOOD AVE SE,,,,,,,
-84.349236,33.734894,19329,117108,117108,MORELAND AVE SE@HALL ST SE,,,,,,,
-84.349254,33.736067,19330,117110,117110,MORELAND AVE SE@BERNE ST SE,,,,,,,
-84.349244,33.737527,19331,117112,117112,MORELAND AVE SE@WOODLAND AVE SE,,,,,,,
-84.349197,33.738838,19332,117114,117114,MORELAND AVE SE@PORTLAND AVE,,,,,,,
-84.349152,33.739948,19333,117116,117116,MORELAND AVE SE@GLENWOOD AVE SE,,,,,,,
