OBJECTID,ZipCode,FeatureID,PrefCity,SHAPESTArea,SHAPESTLength
29,30045,LZC0000029,,1066227698.34692,191478.71087774
30,30132,LZC0000084,,13321850.5932617,22489.6370808591
49,30039,LZC0000024,,267337303.783936,118567.369874713
50,30126,LZC0000081,,572518798.702881,115217.231372933
51,30033,LZC0000020,,242556876.329102,86766.0361210144
52,30083,LZC0000053,,440458848.44751,151077.636719443
53,30058,LZC0000037,,1408750096.06201,267871.421947503
54,30021,LZC0000014,,97854070.8024902,50148.4071583901
55,30168,LZC0000100,,334573931.926758,99087.4878282833
56,30122,LZC0000080,,721880618.287598,126349.219275102
57,30072,LZC0000046,,6232070.16357422,10949.4526671284
58,30088,LZC0000056,,224098557.012695,69017.9230612528
59,30032,LZC0000019,,379912880.134766,97034.3084445252
60,30035,LZC0000022,,232081788.463379,80015.4465214874
61,30249,LZC0000131,,71072150.3735352,37345.3079531493
62,30187,LZC0000111,,1023472320.15015,204144.943286809
63,30013,LZC0000009,,766753572.959473,156214.818096795
64,30034,LZC0000021,,481905451.549316,110736.618166105
65,30038,LZC0000023,,801149960.621094,146480.186545616
66,30094,LZC0000059,,1151255960.02393,183801.111285461
67,30294,LZC0000151,,866246107.700684,200316.796211236
83,30269,LZC0000139,,715669683.583252,134343.596839762
84,30248,LZC0000129,,1587386365.34277,245169.718405795
85,30233,LZC0000125,,76782986.2727051,44664.9632920569
86,30234,LZC0000126,,4895244.38916016,9746.79253417666
87,30205,LZC0000115,,610163270.642578,121363.33800453
88,30276,LZC0000142,,91961082.9316406,53932.2885529815
89,30340,LZC0000187,,2926275454.10596,264236.265074156
90,30506,LZC0000198,,756878954.005371,123022.735826469
91,30534,LZC0000203,,286390746.834717,103924.390117674
92,30265,LZC0000136,,1222071288.13623,168020.864731691
93,30277,LZC0000145,,1307520937.53809,227436.746599092
94,30276,LZC0000144,,2032028973.4375,198363.624625802
95,30259,LZC0000134,,1126940897.35229,152914.977614301
96,30276,LZC0000143,,149693412.380371,58776.251768356
97,30220,LZC0000119,,812389317.993408,158711.084355831
98,30116,LZC0000075,,2946134412.57397,314669.363615464
99,30117,LZC0000076,,2998180304.1123,286029.12852865
100,30170,LZC0000101,,800702358.131592,146374.553647046
101,30108,LZC0000071,,2814346914.66626,290889.681865198
102,30182,LZC0000107,,530512373.684082,162179.733282305
103,30110,LZC0000072,,239982257.268311,76445.4388366774
104,30171,LZC0000102,,1126453969.05811,214220.88279152
153,30185,LZC0000110,,7237653704.13525,521088.411606188
154,30135,LZC0000087,,2344941573.28418,270619.914353774
155,30080,LZC0000051,,396918109.919434,112945.982480287
156,30041,LZC0000026,,1870890923.19727,262116.155355136
157,30180,LZC0000106,,2146303895.87573,285239.130133752
158,30179,LZC0000105,,1751486001.7876,247367.958926965
159,30101,LZC0000064,,1232013093.771,219901.712226851
160,30120,LZC0000077,,3312907387.7522,355189.15930587
161,30102,LZC0000065,,877490778.331055,167799.948858826
162,30184,LZC0000109,,2326459517.00854,354308.337034928
163,30139,LZC0000089,,1093211510.1167,216171.901545388
164,30143,LZC0000091,,3999245367.61694,367883.215439864
165,30107,LZC0000070,,3143107436.53735,289179.596942327
166,30052,LZC0000032,,2407216340.01196,226995.153863711
167,30012,LZC0000008,,1145225613.98193,191088.164643471
168,30014,LZC0000010,,3027662340.51709,418738.481405671
169,30025,LZC0000017,,1867874214.74707,232121.047072291
170,30097,LZC0000062,Duluth,628942456.715576,182116.863108575
171,30022,LZC0000015,Alpharetta,675048504.895508,169684.349898368
185,30354,LZC0000195,Atlanta,315874978.705811,105064.722500596
186,30310,LZC0000161,Atlanta,239459554.803467,90421.2010206643
187,30303,LZC0000154,Atlanta,33285070.6044922,38379.8797424107
188,30315,LZC0000166,Atlanta,318167584.393311,113739.31841473
189,30317,LZC0000168,Atlanta,102097378.99707,63576.1782449897
190,30307,LZC0000158,Atlanta,126700551.931641,70419.0756816403
191,30314,LZC0000165,Atlanta,128489055.618408,69947.6656606461
192,30306,LZC0000157,Atlanta,124720318.249268,61665.0810902587
193,30324,LZC0000174,Atlanta,144774652.679199,84278.7366512047
194,30326,LZC0000175,Atlanta,17641391.0046387,27103.03583322
195,30311,LZC0000162,Atlanta,348366806.250732,91709.3859909213
196,30082,LZC0000052,,308146435.091309,107161.994114992
197,30309,LZC0000160,Atlanta,99591357.7734375,63384.3221108054
198,30318,LZC0000170,Atlanta,571556596.642334,159790.893679227
199,30363,LZC0000197,Atlanta,6892247.29711914,12907.3810004478
200,30334,LZC0000181,Atlanta,1282156.04443359,8687.08173982149
214,30349,LZC0000193,Atlanta,1306662622.89233,286600.592337632
215,30009,LZC0000005,Alpharetta,258270345.747803,122068.762414041
216,30075,LZC0000047,Roswell,857696356.151123,161909.2479003
