OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_8__Annual_Transit_Trips,GlobalID,last_edited_date,Pop_Chng_per_SqMi_2000_2010,Tp8_HousTranspCosts_Pct_Income,Tp8_HousingCosts_Pct_Income,Tp8_TransportCosts_Pct_Income,Tp8_AnnualVehMilesTraveled
87,13067030209,302.09,ARC 10,82328,58.21,{49E0E32F-155B-4955-93A2-09CE09B66C68},2015-06-02T14:23:56.000Z,253.6,51.27,29.41,21.86,30175
88,13067030326,303.26,ARC 10,122371,74.07,{1A964841-3FDD-41FE-874F-5F6C7F4D889F},2015-06-02T14:23:56.000Z,-70.4,52.05,29.92,22.12,30351
89,13067031108,311.08,ARC 10,35563,183.05,{0FE13934-4FCB-418E-A465-84264E1D042A},2015-06-02T14:23:56.000Z,-380.8,39.45,23.03,16.42,21883
90,13117130105,1301.05,ARC 20,38306,0,{EA41A159-C025-4902-B57F-4FBB37471C9D},2015-06-02T14:23:56.000Z,106.5,44.9,23.32,21.58,30993
91,13117130205,1302.05,ARC 20,65795,18,{BF1EFBFC-0BCF-4AED-837C-FE97A30B88AE},2015-06-02T14:23:56.000Z,113.9,48.24,25.7,22.54,32128
92,13117130603,1306.03,ARC 20,118902,98.36,{6DE2D510-C0D0-4D8E-8F23-71DB58892AA0},2015-06-02T14:23:56.000Z,391.4,50.67,29.25,21.43,29813
93,13117130610,1306.10,ARC 20,120685,84.71,{EB1FC72A-FE25-4AA5-A535-7710D4ECA2CD},2015-06-02T14:23:56.000Z,125.9,52.83,30.5,22.33,30719
94,13117130606,1306.06,ARC 20,116714,100.66,{2FB005AF-B475-4F73-9FB0-958993D48E04},2015-06-02T14:23:56.000Z,263.5,51.67,30.58,21.09,28448
95,13117130604,1306.04,ARC 20,126058,99.62,{3999EA25-9938-4DB8-8787-37247264A102},2015-06-02T14:23:56.000Z,693.6,52.66,30.85,21.81,29539
96,13117130611,1306.11,ARC 20,127304,99.5,{64176C61-1615-4571-A010-1F13367557B9},2015-06-02T14:23:56.000Z,633.3,52.76,30.43,22.33,30802
97,13117130609,1306.09,ARC 20,125688,78.16,{14CB6D3B-705D-40F5-ABDF-F7932AD67114},2015-06-02T14:23:56.000Z,1147.7,52.24,29.87,22.38,30717
98,13117130607,1306.07,ARC 20,120000,83.89,{10C22871-C86E-4C69-A896-BF843139C9C6},2015-06-02T14:23:56.000Z,1206.3,51.55,29.65,21.9,30616
99,13117130605,1306.05,ARC 20,99028,86.18,{E7772CF8-6883-4B29-80FF-A3D7E0157E43},2015-06-02T14:23:56.000Z,684.5,52.93,30.58,22.35,30663
100,13117130602,1306.02,ARC 20,83445,111.12,{7539B397-01C6-47A1-A6B6-FAB04ED4F657},2015-06-02T14:23:56.000Z,810.9,48.13,27.48,20.66,28661
101,13117130508,1305.08,ARC 20,104912,79.08,{D1801D40-FC9E-4F1D-A631-DEBFD6794D17},2015-06-02T14:23:56.000Z,491.8,52.6,30.08,22.52,31364
102,13117130507,1305.07,ARC 20,71765,41.19,{B005B60A-7B7D-4889-A08D-5E3230E0FF8E},2015-06-02T14:23:56.000Z,80,48.9,27.12,21.78,30803
103,13117130409,1304.09,ARC 20,60962,35.79,{2520B50E-C8CF-4FCE-A7A8-253A1B4B307F},2015-06-02T14:23:56.000Z,201.7,46.12,25.17,20.95,29880
104,13067030218,302.18,ARC 10,114718,87.29,{F5ABA6C5-C249-4226-B22F-5A5252176CF0},2015-06-02T14:23:56.000Z,455.4,52.36,30.25,22.12,30637
105,13067030219,302.19,ARC 10,118279,77.87,{D6898D4A-358F-4130-88AF-9ACC0CABB162},2015-06-02T14:23:56.000Z,572.9,52.89,30.31,22.58,31453
106,13067030235,302.35,ARC 10,98782,43.4,{5C0F6F91-5EED-44C3-8DB6-6454486770A2},2015-06-02T14:23:56.000Z,120.8,51.43,29.05,22.38,30857
107,13067030234,302.34,ARC 10,96625,58.07,{0FCF8796-7164-42D6-8F44-4D03C27F7EF8},2015-06-02T14:23:56.000Z,376.7,51.89,29.42,22.48,31324
108,13067030233,302.33,ARC 10,97778,80.69,{CE606EAE-AE2B-4326-A2F6-78FBF7999809},2015-06-02T14:23:56.000Z,-1.1,51.92,30,21.91,30456
109,13067030337,303.37,ARC 10,125556,110.71,{0E85AA94-6D2A-4D90-B282-302484D26459},2015-06-02T14:23:56.000Z,6.1,52.33,31.34,20.99,27992
110,13067030334,303.34,ARC 10,96214,77.27,{D44C38C7-5DF3-4BA4-A7A6-1C0F98AF126F},2015-06-02T14:23:56.000Z,-140,51.21,30.36,20.85,27445
111,13067031111,311.11,ARC 10,78706,193.07,{0CA9F50A-1ADE-460E-AA5F-AAC6ED20B4B6},2015-06-02T14:23:56.000Z,-353.8,45.49,28.22,17.27,22901
112,13067031110,311.10,ARC 10,56472,98.99,{0442D0EC-D521-4142-87E6-613723B984C1},2015-06-02T14:23:56.000Z,-166,44.43,25.95,18.48,24693
113,13067030405,304.05,ARC 10,39492,170.68,{6C99A630-6BBC-48FE-9E2B-C742AEE53526},2015-06-02T14:23:56.000Z,-74,41.67,24.99,16.69,22036
114,13067031101,311.01,ARC 10,41907,100.08,{3409A458-036C-4C46-87FC-AC2CA504B031},2015-06-02T14:23:56.000Z,34.6,43.86,25.72,18.13,24535
115,13117130305,1303.05,ARC 20,94188,95.35,{52FB5541-CC3E-4271-840C-03495FFB9120},2015-06-02T14:23:56.000Z,610.3,51.73,28.86,22.88,32486
116,13117130301,1303.01,ARC 20,66842,46.54,{33F9F433-315C-410F-B200-F65D66D9DC9F},2015-06-02T14:23:56.000Z,240.6,48.83,26.57,22.25,32052
117,13117130405,1304.05,ARC 20,81048,43.52,{01E07D19-ED0C-4855-A9ED-21DAFA556DE7},2015-06-02T14:23:56.000Z,542.1,50.49,28.06,22.43,31397
118,13117130504,1305.04,ARC 20,66572,15.78,{C2000E45-0993-40D6-8E8F-122E91F47FF9},2015-06-02T14:23:56.000Z,64.7,46.41,24.6,21.81,30966
119,13117130505,1305.05,ARC 20,74000,47.61,{8D0A6438-FEF9-439C-97C1-C580BAD458F4},2015-06-02T14:23:56.000Z,74.6,49.41,26.63,22.78,32723
120,13117130503,1305.03,ARC 20,82670,24.7,{6E621142-080A-4902-9B36-130651CD4A7F},2015-06-02T14:23:56.000Z,70.7,48.97,26.41,22.57,32171
121,13117130102,1301.02,ARC 20,59929,48.64,{DA856261-FD51-41F6-9A33-53E713FE3F72},2015-06-02T14:23:56.000Z,207.4,50.18,27.2,22.98,33305
122,13117130103,1301.03,ARC 20,53941,14.79,{0060ACEE-892E-41E9-9083-E9D0ABFDADB9},2015-06-02T14:23:56.000Z,190.1,47.61,25.23,22.38,32620
123,13117130303,1303.03,ARC 20,85750,60.64,{282227C1-F4CD-409F-BCC9-637FEC44AAFC},2015-06-02T14:23:56.000Z,111.4,50.86,27.75,23.11,33530
124,13117130201,1302.01,ARC 20,82137,44.28,{1EE69573-A364-4E42-B06F-B534E16D0E09},2015-06-02T14:23:56.000Z,221.6,50.2,26.97,23.23,33581
125,13067030232,302.32,ARC 10,89649,78.37,{370C3DE4-2D3C-4737-968E-F7F88F76E081},2015-06-02T14:23:56.000Z,231.8,51.23,29.32,21.91,30304
126,13067030222,302.22,ARC 10,73438,79.16,{8869D328-7BA4-4959-87C9-A590DD1B5764},2015-06-02T14:23:56.000Z,-31.1,50.4,29.14,21.26,29152
127,13067031118,311.18,ARC 10,67149,110.29,{4BBF06C1-2EBA-495B-8A72-F1506196F15E},2015-06-02T14:23:56.000Z,133,46.38,27.29,19.09,25794
128,13067031117,311.17,ARC 10,110870,78.93,{A3CFF613-B823-42F6-AE44-9C2DFE38C700},2015-06-02T14:23:56.000Z,-182.5,48.9,28.16,20.74,28428
129,13067031507,315.07,ARC 10,44830,86.45,{1E495E2E-78A4-414C-AAF5-A416D47E3CD9},2015-06-02T14:23:56.000Z,-124.7,47.27,26.57,20.7,28949
130,13067031004,310.04,ARC 10,38137,110.69,{4E25264C-EF7A-4E1A-BA55-ACD644CDA411},2015-06-02T14:23:56.000Z,-449.4,42.58,24.36,18.22,24935
131,13067030103,301.03,ARC 10,71569,44.44,{E9A5E22D-59AE-4CC1-99AF-F0FB8FACFE22},2015-06-02T14:23:56.000Z,498.9,50.05,28.55,21.5,29842
132,13067031404,314.04,ARC 10,63426,58.75,{53E43DD2-0FF4-48CA-A576-3567A685ACFD},2015-06-02T14:23:56.000Z,117.9,47.84,27.22,20.63,28385
133,13067031306,313.06,ARC 10,47992,29.35,{AD015114-0B9C-454E-82D9-393C0ED69749},2015-06-02T14:23:56.000Z,107.7,46.04,26.31,19.73,27009
134,13067030101,301.01,ARC 10,73603,11.8,{9D62EF9F-D4C2-45AB-A908-94C0D6D13CF6},2015-06-02T14:23:56.000Z,100.7,49.15,27.1,22.05,31062
135,13067030104,301.04,ARC 10,51140,67.68,{35DD2980-EFE0-4F61-97F9-3A7FA2413A0E},2015-06-02T14:23:56.000Z,150.7,46.12,25.67,20.45,28613
