OBJECTID,NAME,TYPE,LCI_NAME,LCI_YEAR,Major_Act_,last_edited_date,GlobalID
151,Braselton,Town Center,Not an LCI Center,N/A,,,{50799942-73F2-4D2A-833A-3366475DC093}
152,Walnut Grove,Town Center,Not an LCI Center,N/A,,,{A34F91F9-4D41-42B6-8616-25E4C00278B0}
153,Good Hope,Town Center,Not an LCI Center,N/A,,,{237B5729-A96E-421A-9D28-F87BAF216139}
154,Kingston,Town Center,Not an LCI Center,N/A,,,{A52A2FC4-1851-4FD3-917F-6D65D06B07E4}
155,Euharlee,Town Center,Not an LCI Center,N/A,,,{A02B3AD8-F72B-4B67-9A6D-99E7728AD869}
156,Taylorsville,Town Center,Not an LCI Center,N/A,,,{374F2516-F86D-4227-B0B5-AADC1C88D403}
157,Emerson,Town Center,Not an LCI Center,N/A,,,{44AFFDA1-908B-4DE5-9D09-972CA4087D4E}
158,Lula,Town Center,Not an LCI Center,N/A,,,{989E33DE-5DDE-497F-89A4-137357EF3323}
159,Gillsville,Town Center,Not an LCI Center,N/A,,,{D465C07A-55B0-44B5-9702-4B198528DC50}
160,Atlantic Station,Regional Center,Not an LCI Center,N/A,,,{80A0CCAC-04D6-4133-8CFC-24CF66F929B0}
161,Georgia Tech,Regional Center,Not an LCI Center,N/A,,,{4B5B1546-F2B4-4F24-9D97-FF66FD704063}
162,Brasswell,Town Center,Not an LCI Center,N/A,,,{33375D5A-442D-413E-BC61-325B31B1D9B0}
163,Fort Gillem,Regional Center,Not an LCI Center,N/A,,,{DB05BD8B-5E3C-447B-B560-81C4B77AB66A}
164,Fort McPherson,Town Center,Not an LCI Center,N/A,,,{8D35B078-B4C9-4D14-A96E-57180021056F}
165,Doraville,Town Center,Doraville,2005,,,{FD06852E-86FC-49AE-B2E4-F106C7E38F40}
166,Tucker,Town Center,Tucker,2005,,,{E826D3DF-748F-4B2F-8F58-B537CAFC82D1}
167,Hwy 78,Town Center, Hwy 78,2005,,,{64761C45-1E4B-4A51-99A6-52681A5808F4}
168,Bankhead,Station Community,Bankhead,2005,,,{3B109460-67F5-403A-81DD-94D5C40C44E9}
169,Brookhaven,Station Community,Brookhaven,2005,,,{74841A7F-C751-4DFA-9AE5-5A25ED86EB98}
170,Bells Ferry,Town Center,Bells Ferry,2005,,,{B1974F2B-B0FA-4AAA-BDC8-51EDCE4D7AFD}
171,McFarland,Town Center,McFarland,2005,,,{4DD42598-50D8-4D22-93D3-4AADD1DB127D}
172,Hapeville,Town Center,Hapeville,2005,,,{A7876E9B-744D-4F19-B937-33E2F33561C2}
173,Highway 278,Town Center,Highway 278 Covington-Newton,2005,,,{A764D491-3655-4585-99C0-C6DAAC7AC9F3}
174,Porterdale,Town Center,Not an LCI Center,N/A,,,{485919D2-299D-47BC-B964-55BA40898CDF}
