OBJECTID,MAXGISID,FACILITY_ID,LAKENAME,SUBDIVISION_NAME,EST_DEPTH,ACCESSIBLE,ACCESS_REMARKS,INSTALLDATE,ABANDONED,JURISDICTION,LANDDISTRICT,LANDLOT,PLTBKNUM,PLTBKPG,FEMA_ZONE,EPD_REACH_NAME,EPD_CRITERION_VIOLATED,EPD_POTENTIAL_CAUSES,EPD_IMPAIRED_CATEGORY,EPD_IMPAIRED_PRIORITY,EPD_IMPAIRED_NOTES,EPD_305B_303D_LIST,EPD_IMPAIRED_WATERSHED,EPD_IMPAIRED_USE,LOCATIONVERIFIED,MAPDATE,IMAGES,BRE,REMARKS,EDITOR,EDITDATE,COLLECTED_BY,INVENTORY_DATE,SURVEY_METH,INSIDE_COBB_COUNTY,shapearea,shapelen
608033,,PD1900970002,Stillwaters No. 2 Pond,Stillwaters,,,,,,PRIVATE,19,97,,,Zone X,,,,,,,Not on EPA List,,,OTHER,,,,Dam Not Road,YAGADJ,2015-05-11T17:44:06.000Z,,,ORTHO,YES,12984.7397367551,447.88131493008
608034,,PD1900970001,Stillwaters No. 1 Pond,Stillwaters,,,,,,PRIVATE,19,97,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-05-11T17:44:51.000Z,,,ORTHO,YES,18547.8704538099,542.896469792642
608035,,PD1903300001,Wallace Pond,N/A,,,,,,PRIVATE,19,330,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-20T00:00:00.000Z,,,ORTHO,YES,27987.0286946328,646.159770333356
608036,,PD1903300002,Kolb Hill Pond,Kolb Hill,,,,,,PRIVATE,19,330,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-20T00:00:00.000Z,,,ORTHO,YES,5777.09363924275,295.910030059316
608037,,PD1903330001,Cobb County No. 1 Pond,N/A,,YES,,,NO,CCPARKS,19,333,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-05-11T18:08:33.000Z,,,ORTHO,YES,14398.5953306354,509.274059195062
608038,,PD1903330002,Cobb County No. 2 Pond,N/A,,YES,,,NO,CCPARKS,19,333,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-05-11T18:08:35.000Z,,,ORTHO,YES,10490.8721169152,456.133658077526
608039,,LK1901860001,Powder Springs Apartments Lake 1,N/A,,,,,,PRIVATE,19,186,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-20T00:00:00.000Z,,,ORTHO,YES,167402.50656164,1702.32502807853
608040,,LK1700050001,Laurel Springs Lake,Laurel Springs,,,,,,PRIVATE,17,5,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-05-11T17:38:40.000Z,,,ORTHO,YES,68138.0368016591,2030.97798944842
608041,,LK1701410001,Michael R Clotfelter Lake,N/A,,,,,,PRIVATE,17,141,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-21T00:00:00.000Z,,,ORTHO,YES,129988.332048448,1656.97547435725
608042,,PD1701410001,William Quinn Pond,N/A,,,,,,PRIVATE,17,141,,,Zone AE,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-07-13T14:51:58.000Z,,,ORTHO,YES,19093.9657984157,555.787146877496
608043,,PD2003310001,Summerour Pond,N/A,,,,,,PRIVATE,20,331,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-21T00:00:00.000Z,,,ORTHO,YES,17112.9816435377,553.4188408023
608044,,LK2002530001,Marietta Country Club No. 2 Lake,Marietta Country Club,,,,,,PRIVATE,20,253,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-21T00:00:00.000Z,,,ORTHO,YES,69726.7349087253,1800.60694467969
608045,,PD2002510001,Lakes of Stone Gate No. 1 Pond,Lakes of Stone Gate,,,,,,PRIVATE,20,251,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-21T00:00:00.000Z,,,ORTHO,YES,28782.6176337955,881.703120507564
608046,,LK2002510001,Lakes of Stone Gate Lake,Lakes of Stone Gate,,,,,,PRIVATE,20,251,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-21T00:00:00.000Z,,,ORTHO,YES,120689.709417333,1649.72117843791
608047,,PD2002510002,Lakes of Stone Gate No. 2 Pond,Lakes of Stone Gate,,,,,,PRIVATE,20,251,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-21T00:00:00.000Z,,,ORTHO,YES,24118.1153071868,800.449239541158
