X,Y,OBJECTID,NAME,CITY,SPACES,GlobalID,StreetNumber,PostalCode,StreetName,Publish
-82.870847710373752,32.548090058200096,155,SR 26/29 @ SR 31 - EAST DUBLIN,East Dublin,20,{DA22C2E4-9037-48DC-98AC-D4C78DD7129C},106,31027,Savannah Ave,Yes
-84.28125023934507,33.774343434037846,156,MARTA - AVONDALE STATION 85,Decatur,823,{7AABD1DC-36E9-48BD-B4E4-AA4FDE932CD1},915,30030,East Ponce De Leon Ave,Yes
-84.232589483786512,31.624721339952195,157,US 520 & LEDO RD,Leesburg,30,{AEFCF04E-CB18-423E-A800-9AD5F5D4FE6B},3105,31763,Ledo Rd,Yes
-84.831591404662177,33.720027054035938,160,I-20W & POST ROAD,Winston,72,{30D29396-BAA6-497D-80EF-A397ACD8085B},,30187,I-20W & POST ROAD,Yes
-81.286975976362598,32.006550195982442,162,I-95 & SR 204  SOUTH OF SAVANNAH,Savannah,20,{08069608-16C0-4019-A99D-8A994FB61587},,31419,Fort Argyle Rd & Gateway Blvd W,Yes
-84.42678157517193,33.717266851439796,163,MARTA - OAKLAND CITY STATION,Atlanta,337,{D075E3A2-C470-453B-BB3D-C6274412F9A2},1400,30310,Lee St SW,Yes
-84.11040512659963,33.822103460573317,167,Stone Mountain P&R,Stone Mountain,0,{CD65969C-2560-4916-B3AC-8B3BADCDC60B},1475,30087,E Park Pl Blvd,Yes
-81.847632911793539,31.662711578920185,168,SR 23 - NORTH OF JESUP,Jesup,30,{1CC0634A-D93F-4990-A206-33CD5EF3F86D},,31545,Rayonier Rd & SR 23,Yes
-82.91470181813834,32.073672821800606,170,FORSYTH AVE & SR 23,Helena,15,{C2F4F9DE-D668-4EFD-A5C8-D1F4AA67F67C},,31037,Forsyth Ave & SR 23,Yes
-81.195893503341551,32.193225231661231,172,I-95 & SR 21 WEST - NORTH OF SAVANNAH,Port Wentworth,33,{CF76EB3E-1C38-471C-AD6C-D92481D20EC8},,31407,Augusta Rd & Traveler's Way,Yes
-84.430225531352065,33.700213901156289,173,MARTA - LAKEWOOD/FT MCPHERSON STATION,Atlanta,1134,{D2ABD7D5-A1E6-42F6-87F2-CFFB5AD87C4B},2020,30310,Lee Street SW,Yes
-84.014000224418112,33.854002714385281,174,SNELLVILLE BAPTIST CHURCH,Snellville,178,{05482FA9-3FEC-4465-9D96-E333920CF439},,30078,2400 MAIN ST,Yes
