OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_3__Annual_Transit_Trips,GlobalID,Pop_Chng_per_SqMi_2000_2010,Tp3_HousTranspCosts_Pct_Income,Tp3_HousingCosts_Pct_Income,Tp3_TransportCosts_Pct_Income,Tp3_AnnualVehMilesTraveled
217,13067030336,303.36,ARC 10,145483,45.41,{467B98B6-3942-46D2-A7A2-61C980337411},-159.3,131.84,92.88,38.96,17639
218,13063040411,404.11,ARC 10,56258,11.08,{03AFEDD9-0C9E-41E0-8D42-E111A24E1AEA},679.1,94.38,55.09,39.29,19041
219,13063040512,405.12,ARC 10,36655,62.64,{C4100D7D-3E6A-4FF4-A07F-CD802DD426A4},360,85.94,52.15,33.79,16821
220,13063040608,406.08,ARC 10,63848,4.11,{D2E4C92D-1408-470B-B8C7-DE1975DDC80D},339.3,101.62,59.86,41.76,20096
221,13063040614,406.14,ARC 10,65607,2.91,{33680AD1-3312-46AF-8E9F-8C2916781755},-135.2,101.75,61.98,39.76,19022
222,13063040606,406.06,ARC 10,42692,6.9,{8CA90779-EB42-422C-807D-6DB18A36365A},22.7,88.92,49.14,39.78,20002
223,13063040612,406.12,ARC 10,37052,26.04,{7E225AE0-8B79-4713-8A3D-5E9CDCAD67E8},969.3,82.32,47.35,34.97,16633
224,13063040609,406.09,ARC 10,56493,22.31,{88E42DC1-A67F-4B84-B5BA-761A231C640C},362.2,88.24,51.88,36.37,17506
225,13063040412,404.12,ARC 10,46772,38.46,{D426BD96-5E63-4EA0-8CFB-8E16B53C00D4},142.9,80.85,48.01,32.84,15786
226,13063040413,404.13,ARC 10,38835,38.74,{97372CC2-B287-4112-B4E6-8F33FC7908C8},569.5,84.37,46.9,37.47,18251
227,13063040613,406.13,ARC 10,58246,16.46,{8BD5E396-AAE4-490B-A27A-EB0C446794DC},264.7,109.57,69.34,40.23,19340
228,13063040408,404.08,ARC 10,39607,55.46,{377B0EB2-BFDD-4856-9AD2-631002C3F144},80.8,80.51,48.08,32.44,15866
229,13063040409,404.09,ARC 10,45833,34.82,{9551B303-4540-48BD-9D4C-E100F06C238E},170,82.95,46.72,36.23,17589
230,13063040410,404.10,ARC 10,40107,8.95,{B8BA4B3F-D226-49DB-9B60-7B63841CD518},150.5,87.38,50.31,37.07,17684
231,13063040303,403.03,ARC 10,28264,72.07,{0812DFEB-4352-4438-9F7B-B71411C19BE6},-348.3,77.29,44.42,32.87,16044
232,13063040302,403.02,ARC 10,33030,60.25,{FDD96C3D-6414-4787-A6A3-274A68296974},-646.8,74.24,42.55,31.69,15317
233,13063040611,406.11,ARC 10,29464,81.64,{44D4E9F8-3094-446A-A0DC-4FE80845F84F},155,74.04,43.04,31,15640
234,13063040407,404.07,ARC 10,42500,4.35,{C96A8407-6C85-43B9-81E8-624A3D0A4381},94,79.49,43.28,36.2,17119
235,13063040510,405.10,ARC 10,41012,69.03,{4AA07F9E-202E-44CE-A35B-6839110AA392},-286.7,84.88,50.21,34.68,16749
236,13063040514,405.14,ARC 10,41477,97.51,{E1757013-9141-4A58-85C9-F703556FE1BD},988.4,76.94,43.62,33.33,16890
237,13063040307,403.07,ARC 10,34162,24.27,{786BAAB5-84D4-4051-8AFB-533CD64D9660},495,79.64,44.2,35.44,17075
238,13063980000,9800,ARC 10,,,{AAE1AF6E-320F-49FF-8B06-B414562ECCE6},,,,,
239,13063040622,406.22,ARC 10,44246,36.41,{3483E6E5-7E6B-4BC3-BBC9-9378E4D202F8},-87.8,91.27,52.36,38.91,19633
240,13063040621,406.21,ARC 10,56374,22.52,{66B34D10-25C6-4F2C-BEAC-B942756D6904},1229,89.05,47.89,41.16,20433
241,13063040619,406.19,ARC 10,47778,28.55,{B2FCC4E0-0616-498F-ACA9-456C41165ECA},142.9,87.41,49.8,37.62,18346
242,13063040523,405.23,ARC 10,42540,32.75,{BCDEC79C-2205-482F-8496-CE60BDABB0E9},978,83.29,49.12,34.17,16632
243,13063040522,405.22,ARC 10,30298,66.38,{EA22747F-B8E0-4842-B15B-82E75B4CA1D7},-504.7,77.75,45.84,31.91,15287
244,13063040520,405.20,ARC 10,29650,206.16,{F8C0BA5C-6264-4339-8564-A9D8F0B4E618},-523.8,69.63,42.66,26.97,13566
245,13063040519,405.19,ARC 10,24979,248.64,{64FB29CB-2507-4DE4-A6DC-656824BB8497},1263.3,65.51,40.66,24.84,12779
246,13063040417,404.17,ARC 10,23364,104.1,{1FD8291B-FB22-47F3-9318-6ABC77ABA681},12.5,77.42,47.81,29.61,14557
247,13063040203,402.03,ARC 10,36458,145.45,{0313DA4D-76CC-4AA0-90B1-AE0BFBB87516},117.3,70.71,40.91,29.8,14640
248,13063040617,406.17,ARC 10,31227,81.85,{007C754B-F607-4913-B0BA-22E329239495},520,74.23,41.58,32.65,17391
249,13063040615,406.15,ARC 10,41094,2.48,{0693C1C9-92FB-4314-A5A7-75DCC79A4B32},138.5,88.06,47.48,40.59,19157
250,13063040521,405.21,ARC 10,54135,27.73,{7014F51B-642D-4404-8B63-AD50C4E2245E},-113,84.4,49.49,34.92,16962
251,13063040415,404.15,ARC 10,33271,139.56,{A9700C13-E64F-4E1E-A0C5-5890CBAF3F76},-703.1,71.54,42.69,28.85,14471
252,13063040414,404.14,ARC 10,33421,17.83,{D010CE1F-26B7-4536-A207-DB06F3E0172B},403.8,78.54,43.65,34.89,17194
253,13063040204,402.04,ARC 10,35938,161.85,{B4E2EB41-A8D6-49BF-9DD6-E175F3CA39EF},-625.5,77.47,48.29,29.18,14757
254,13063040308,403.08,ARC 10,30893,38.15,{15B8EB7F-340B-4964-8846-81F5C4CCD2FD},-215.3,73.29,41.34,31.95,15479
255,13063040620,406.20,ARC 10,63274,1.85,{33A4B4D9-6EE4-4315-859E-470C932614EA},366.3,95.97,53.88,42.1,20684
256,13063040616,406.16,ARC 10,36671,91.46,{0D6EAD25-A307-414D-A50B-74692D3ED176},613.8,76.54,44.45,32.09,15616
257,13063040526,405.26,ARC 10,43682,28.33,{53CC5B0D-925D-4181-BF57-04E67543CCB3},-89.5,91.86,53.99,37.87,18723
258,13063040525,405.25,ARC 10,42705,44.52,{188010E4-AA75-474E-8357-7AE383FF8B91},-22.2,89.11,49.89,39.23,19567
259,13063040524,405.24,ARC 10,42679,57.05,{F2C32AA3-0646-4881-B7AB-682C567D9DF9},-362.9,78.37,44,34.37,16837
260,13063040416,404.16,ARC 10,36531,9.36,{EA44D9C8-6060-4737-AFBB-3977A8263A92},-444.7,82.48,46.76,35.72,16364
