X,Y,OBJECTID,FACNAME,FACTYPE,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,AREACODE,PHONE,CONTACT,TITLE,FIPS,TYPE,NAME,METHOD,updated,draw,GlobalID,last_edited_date
-84.061440015127289,33.988110691606167,2495,Jackson Elementary School,30,1970 Sever Road, ,Lawrenceville,Georgia,30043,770,682-4200,Chris Emsley,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{6ED6E22B-37F2-46F3-BAC2-6B4C2B9EDF93},
-84.026602140461804,33.97753185364305,2496,McKendree Elementary School,30,1600 Riverside Parkway, ,Lawrenceville,Georgia,30043,678,377-8933,Cindy Antrim,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{3B573B68-428F-4AAC-8EC9-A3E118E72FB3},
-83.995746820281042,34.010424303820713,2498,Taylor Elementary School,30,600 Taylor School Drive, ,Lawrenceville,Georgia,30043,770,338-4680,Jerry Lehner,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{5EA1A040-6122-49F7-BF46-BC9E3C9D2352},
-84.022895884543203,34.017679353358652,2499,Walnut Grove Elementary School,30,75 Taylor Road, ,Suwanee,Georgia,30024,770,513-6892,Bron Gayna Schmit,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{184F4E3B-3AEE-4A1B-AC70-0C7A93453160},
-84.153659945693562,33.892046780640726,2515,Lilburn Elementary School,30,531 Lilburn School Road, ,Lilburn,Georgia,30047,770,921-7707,Jackie Beasley,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{78F27E57-0598-4E2D-8CE9-B749AB9690BF},
-84.129284306979358,33.917173997920138,2517,Minor Elementary School,30,4129 Shady Drive, ,Lilburn,Georgia,30047,770,925-9543,Freddie Williams,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{87E73E06-03BE-45C4-A83C-CFEE0544FEE0},
-83.995098012648455,33.946150626104036,2521,Lawrenceville Elementary School,30,122 Gwinnett Drive, ,Lawrenceville,Georgia,30045,770,963-1813,Dorothy Hines,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{4035640B-10F9-43DA-870B-82F4614C43EE},
-84.114849713703407,33.84039190402541,2522,Mountain Park Elementary School,30,1500 Pounds Road, ,Lilburn,Georgia,30047,770,921-2224,Debbie Allred,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{F28AB040-08DC-4981-BEF4-2DEBD5329BEA},
-84.231197408915946,33.943922812838608,2526,Susan Stripling Elementary School,30,6155 Atlantic Boulevard, ,Norcross,Georgia,30071,770,582-7577,Jane Robertson,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{FF102538-83F8-4E59-A743-26DCE62CD9AA},
-84.166264148922039,33.921569552483845,2528,Meadowcreek Elementary School,30,5025 Georgia Belle Court, ,Norcross,Georgia,30093,770,931-5701,Donna Robertson,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{88804B0E-8D88-41C7-BB9B-83EA425EEE24},
