X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Civilian_nonInstitutional_Pop,Civ_nonInstitution_Pop_wDisabil,Pct_Civ_nonInstitut_Pop_wDisab,Civ_nonInstitut_Pop_under_18yrs,Civ_nonInst_under18_wDisab,Pct_Civ_nonInst_under18_wDisab,Civ_nonInst_Pop_18_to_64,Civ_nonInst_18_to_64_wDisab,Pct_Civ_nonInst_18to64_wDisab,Civ_nonInst_Pop_65years_up,Civ_nonInst_65up_wDisab,Pct_Civ_nonInst_65up_wDisab,GlobalID,last_edited_date
-84.516908734947606,33.864225203010221,495,Smyrna,9733.99023438,15.20940018,yes,yes,52641,4303,8.2,11775,440,3.7,36845,2175,5.9,4021,1688,42,{581C5898-D9F5-42A8-827A-0B2E24B32C87},
-84.275051325311409,33.906742790991956,496,Doraville,2269.69995117,3.54641008,yes,yes,10513,689,6.6,2795,77,2.8,7015,302,4.3,703,310,44.1,{454BF1FE-7F88-4C47-AC97-CD7DBB8996AD},
-84.312237047779547,33.941761616221783,497,Dunwoody,8476.19042969,13.24400043,yes,yes,47136,2223,4.7,11571,155,1.3,29643,836,2.8,5922,1232,20.8,{789668DA-D426-4F4D-9B9A-644A6884F0DF},
-84.842636755119841,33.915224162032786,498,Dallas,4480.72998047,7.00114012,yes, ,11951,1117,9.3,3741,136,3.6,7277,572,7.9,933,409,43.8,{F301F79E-0001-42A5-B963-FA6CC9E3527F},
-85.029312211288186,33.732804805552739,499,Temple,4765.77001953,7.44651985,yes, ,4244,878,20.7,1169,56,4.8,2585,495,19.1,490,327,66.7,{986B16FC-2DEB-43C8-9588-71A1BEEA8704},
-85.253301327658406,33.5397346425083,500,Bowdon,2390.07006836,3.7344799,yes, ,1849,438,23.7,454,22,4.8,1020,251,24.6,375,165,44,{AB77306B-AEB5-405A-BAAE-E5D52AF84DC9},
-84.29669291714923,33.771187231814118,501,Decatur,2767.83007813,4.32473993,yes,yes,19784,1799,9.1,5168,169,3.3,12612,756,6,2004,874,43.6,{6051BFBA-3CFB-47FB-9A1A-D0DAA968BCAE},
-83.709121816291415,33.937503059980436,502,Bethlehem,1471.89001465,2.29982996,yes, ,747,94,12.6,204,0,0,450,61,13.6,93,33,35.5,{A69E7285-8281-440C-87E5-4CC1A49674F5},
-83.720903192575122,33.992463817842072,503,Winder,8141.43017578,12.72099972,yes, ,14298,2251,15.7,4386,345,7.9,8150,1059,13,1762,847,48.1,{F8C1D404-0C9F-4827-88DA-718EAC34493B},
-84.76965549570842,33.286161658521095,504,Moreland,499.70901489,0.78079599,yes, ,428,73,17.1,128,3,2.3,252,40,15.9,48,30,62.5,{8062E2BC-9B79-4F53-A15B-AB036D0B890D},
-84.774649366800546,33.376773447632559,505,Newnan,11933.59960938,18.64629936,yes, ,33878,3500,10.3,10172,389,3.8,20435,1912,9.4,3271,1199,36.7,{6B75405D-5D6A-4DC4-B49C-49246BCFBFA7},
-84.553248491392267,33.309696701262823,506,Senoia,3525.39990234,5.50844002,yes, ,3627,180,5,1023,0,0,2338,113,4.8,266,67,25.2,{1EE5CF4E-E346-4369-AAFD-1B0A6E907196},
-84.648962872260583,33.340864736683635,507,Sharpsburg,343.91500854,0.53736699,yes, ,459,61,13.3,83,1,1.2,352,49,13.9,24,11,45.8,{0203F2FD-E302-4BF3-89B5-3F53C10E7222},
-84.637103793347165,33.325960499099196,508,Turin,815.93597412,1.27489996,yes, ,427,20,4.7,147,0,0,235,0,0,45,20,44.4,{62ED220A-7F81-48B3-9663-3DD9C5C9321E},
-84.003922477213564,33.856105846488163,509,Snellville,6713.37011719,10.48960018,yes,yes,18628,2176,11.7,4581,145,3.2,11528,1011,8.8,2519,1020,40.5,{979B1458-A9FB-4B16-9FAF-49579FCF4C71},
-83.992578039766144,33.952373945459541,510,Lawrenceville,8580.13964844,13.40649986,yes,yes,29098,3100,10.7,8326,237,2.8,17583,1748,9.9,3189,1115,35,{F1600494-0870-4E45-B014-DA422C651007},
-83.893710519324202,33.980852514875849,511,Dacula,3149.36010742,4.92087984,yes,yes,4664,667,14.3,1514,25,1.7,2632,212,8.1,518,430,83,{72925944-9E5D-4497-97C3-2B17AF355C37},
