X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,In_School,In_Pre_School,Pct_In_Pre_School,In_Kindergarten,Pct_In_Kindergarten,In_Elementary,Pct_In_Elementary,In_High_School,Pct_In_High_School,In_College_or_Grad_School,Pct_In_College_or_Grad_School,GlobalID,last_edited_date
-84.240270781375855,33.810495226521617,487,Clarkston,676.57702637,1.05715001,yes,yes,2151,157,7.3,120,5.6,1037,48.2,423,19.7,414,19.2,{861C4457-28F6-417F-8553-00211DECF116},
-84.206110191064099,33.790529890190811,488,Pine Lake,161.09199524,0.251706,yes,yes,107,0,0,4,3.7,33,30.8,20,18.7,50,46.7,{6133E521-38B5-4C8D-88F6-86E27BC4D6FA},
-84.264869669881122,33.769791471424242,489,Avondale Estates,774.64801025,1.21038997,yes,yes,699,38,5.4,60,8.6,397,56.8,62,8.9,142,20.3,{D112E21A-F510-48D3-8E59-B44E728C8C17},
-84.105968683420443,33.712806613180248,490,Lithonia,593.00500488,0.92657101,yes,yes,603,77,12.8,45,7.5,292,48.4,89,14.8,100,16.6,{FA1F5268-1132-4BD6-A4DE-1D00F355A343},
-84.172234049234646,33.803497629854689,491,Stone Mountain,1042.77001953,1.62934005,yes,yes,1584,66,4.2,62,3.9,641,40.5,275,17.4,540,34.1,{51401879-81F9-43C4-8AE9-590812A934A2},
-83.799391837099208,33.717406480381207,492,Jersey,474.91900635,0.74206102,yes, ,5,2,40,0,0,2,40,0,0,1,20,{07D1C0A8-75F2-4900-AF44-B1A0147D22E7},
-83.715411727193711,33.79942368665408,493,Monroe,9681.74023438,15.12769985,yes, ,2884,183,6.3,82,2.8,1346,46.7,788,27.3,485,16.8,{350AD29D-667F-48FB-8F7C-76ECE2771AB4},
-83.851094583476183,33.745226613068333,494,Walnut Grove,1831.68005371,2.86199999,yes, ,478,18,3.8,44,9.2,201,42.1,137,28.7,78,16.3,{0A4309D0-96B5-44FA-B08B-D8387DDECA3C},
-84.516908734947606,33.864225203010221,495,Smyrna,9733.99023438,15.20940018,yes,yes,12092,1133,9.4,1088,9,4817,39.8,1373,11.4,3681,30.4,{581C5898-D9F5-42A8-827A-0B2E24B32C87},
-84.275051325311409,33.906742790991956,496,Doraville,2269.69995117,3.54641008,yes,yes,2240,117,5.2,126,5.6,1039,46.4,529,23.6,429,19.2,{454BF1FE-7F88-4C47-AC97-CD7DBB8996AD},
-84.312237047779547,33.941761616221783,497,Dunwoody,8476.19042969,13.24400043,yes,yes,12101,1163,9.6,993,8.2,5643,46.6,1716,14.2,2586,21.4,{789668DA-D426-4F4D-9B9A-644A6884F0DF},
-84.842636755119841,33.915224162032786,498,Dallas,4480.72998047,7.00114012,yes, ,4014,220,5.5,251,6.3,1716,42.8,617,15.4,1210,30.1,{F301F79E-0001-42A5-B963-FA6CC9E3527F},
-85.029312211288186,33.732804805552739,499,Temple,4765.77001953,7.44651985,yes, ,741,51,6.9,151,20.4,341,46,79,10.7,119,16.1,{986B16FC-2DEB-43C8-9588-71A1BEEA8704},
-85.253301327658406,33.5397346425083,500,Bowdon,2390.07006836,3.7344799,yes, ,456,34,7.5,24,5.3,183,40.1,104,22.8,111,24.3,{AB77306B-AEB5-405A-BAAE-E5D52AF84DC9},
-84.29669291714923,33.771187231814118,501,Decatur,2767.83007813,4.32473993,yes,yes,6148,565,9.2,351,5.7,2509,40.8,571,9.3,2152,35,{6051BFBA-3CFB-47FB-9A1A-D0DAA968BCAE},
-83.709121816291415,33.937503059980436,502,Bethlehem,1471.89001465,2.29982996,yes, ,216,5,2.3,16,7.4,117,54.2,45,20.8,33,15.3,{A69E7285-8281-440C-87E5-4CC1A49674F5},
-83.720903192575122,33.992463817842072,503,Winder,8141.43017578,12.72099972,yes, ,4294,283,6.6,231,5.4,2228,51.9,1005,23.4,547,12.7,{F8C1D404-0C9F-4827-88DA-718EAC34493B},
-84.76965549570842,33.286161658521095,504,Moreland,499.70901489,0.78079599,yes, ,133,4,3,5,3.8,65,48.9,34,25.6,25,18.8,{8062E2BC-9B79-4F53-A15B-AB036D0B890D},
-84.774649366800546,33.376773447632559,505,Newnan,11933.59960938,18.64629936,yes, ,9472,900,9.5,907,9.6,4372,46.2,1498,15.8,1795,19,{6B75405D-5D6A-4DC4-B49C-49246BCFBFA7},
-84.553248491392267,33.309696701262823,506,Senoia,3525.39990234,5.50844002,yes, ,951,92,9.7,61,6.4,460,48.4,218,22.9,120,12.6,{1EE5CF4E-E346-4369-AAFD-1B0A6E907196},
-84.648962872260583,33.340864736683635,507,Sharpsburg,343.91500854,0.53736699,yes, ,71,8,11.3,0,0,30,42.3,17,23.9,16,22.5,{0203F2FD-E302-4BF3-89B5-3F53C10E7222},
