X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Income_Total_households,Household_inc_less_35k,Pct_Household_inc_less_35k,Household_inc_35k_75k,Pct_Household_inc_35k_75k,Household_inc_75k_200k,Pct_Household_inc_75k_200k,Household_inc_200k_more,Pct_Household_inc_200k_more,GlobalID,last_edited_date
-83.059561857371705,32.433080183741964,277,Dexter,502.875,0.785743, , ,193,97,50.3,70,36.3,26,13.5,0,0,{BFEFDD0F-A3B5-4DD4-A9E7-196B188DCB64},
-83.041968759992585,32.339557036578732,278,Cadwell,822.86901855,1.28573, , ,143,82,57.3,40,28,21,14.7,0,0,{C7DD001E-7441-4453-B73F-E446BC697011},
-84.244415090087585,34.875691048785185,279,Morganton,534.23498535,0.83474302, , ,136,63,46.3,41,30.1,32,23.5,0,0,{907628A7-F220-4263-A7B8-081033465CB9},
-84.370511127023818,34.98111022798647,280,McCaysville,1025.81994629,1.60284996, , ,559,392,70.1,130,23.3,37,6.6,0,0,{DEFFA328-3168-4848-A0A5-3C246637BCCB},
-84.337595896881169,31.317246175129092,281,Newton,1929.63000488,3.01504993, , ,308,207,67.2,57,18.5,44,14.3,0,0,{438F70BC-2F91-4C08-8537-0A1B5B5FC564},
-84.32339055998419,34.865804993472736,282,Blue Ridge,1523.60998535,2.38064003, , ,567,318,56.1,133,23.5,116,20.5,0,0,{EC8D061E-C2C1-4C42-894A-BC94B0DAE973},
-84.603242591992085,31.538102727657641,283,Morgan,837.98999023,1.30936003, , ,86,48,55.8,16,18.6,22,25.6,0,0,{BFF40623-9C6E-469F-8A55-1DBF098EF6D4},
-84.51330303497005,31.48473303058163,284,Leary,2056.83007813,3.21379995, , ,256,136,53.1,80,31.3,40,15.6,0,0,{78952143-B38E-4CE3-8D57-ACF00669BA29},
-84.737406130128136,31.560818334835094,285,Edison,1497.56005859,2.33994007, , ,466,355,76.2,99,21.2,12,2.6,0,0,{5132052B-1E02-417E-878D-24D2074258E2},
-82.477657867950398,33.79309814112824,286,Lincolnton,2257.91992188,3.5279901, , ,665,371,55.8,124,18.6,162,24.4,8,1.2,{202E33C2-57FB-4196-9514-39FC2B2892AD},
