X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Under_18_years,Pct_Under_18_years,Num_18_29_years,Pct_18_29_years,Num_30_44_years,Pct_30_44_years,Num_45_64_years,Pct_45_64_years,Num_65_years_and_over,Pct_65_years_and_over,Median_Age,White,Pct_White,Black_African_American,Pct_Black_African_American,Asian,Pct_Asian,Other_two_races,Pct_Other_two_races,Hispanic_Latino_all_races,Pct_Hispanic_Latino_all_races,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-85.289012626203217,34.874407602839703,68,Chickamauga,1651.41003418,2.5803299, , ,736,23.7,519,16.7,802,25.8,715,23,336,10.8,36.2,2843,91.5,62,2,0,0,171,5.5,31,1,{C7F8C822-C237-4E93-8FB2-0B2346D644F9},,,,
-85.246035984125697,34.931844056290018,69,Fort Oglethorpe,8891.26953125,13.89260006, , ,2137,21.8,1333,13.6,1902,19.4,2441,24.9,1990,20.3,41.8,8734,89.1,598,6.1,176,1.8,274,2.8,20,0.2,{9CCA1382-16BF-4F2F-A2EE-7351E440BF07},,,,
-82.157518895736871,32.58293764316759,70,Twin City,2314.06005859,3.61572003, , ,350,20.9,412,24.6,233,13.9,427,25.5,251,15,33.9,693,41.4,959,57.3,3,0.2,12,0.7,5,0.3,{9216D1B8-F42B-41E5-8B08-3C6F464213C0},,,,
-82.334487487435808,32.586606118926412,71,Swainsboro,8288.45019531,12.95069981, , ,2309,30.9,1449,19.4,1292,17.3,1621,21.7,799,10.7,29.9,2592,34.7,4094,54.8,0,0,149,2,635,8.5,{564EBFEC-D2CC-4B8E-8E09-AF68E9B877D2},,,,
-82.276372834278533,32.745799922683538,72,Summertown,506.34899902,0.79117, , ,52,32.1,25,15.6,42,25.7,31,19,12,7.6,30.6,138,84.4,25,15.6,0,0,0,0,0,0,{FBFE84EB-969B-4E6F-BDC8-FF5E6E52CACD},,,,
-82.214473545375114,32.441035494888034,73,Stillmore,2049.13989258,3.20178008, , ,152,28.7,59,11.1,88,16.6,161,30.4,70,13.3,37.5,232,44,279,52.9,0,0,17,3.2,0,0,{C74CC711-1FE3-4E9B-B79F-8D343964C0CC},,,,
-84.483923966221724,34.691330497044504,74,Ellijay,2267.75,3.54335999, , ,321,19.1,301,17.9,265,15.8,492,29.3,301,17.9,43.2,1208,71.9,13,0.8,0,0,24,1.4,437,26,{E2C4B371-27AA-4F31-A4B5-0922F44AC7CC},,,,
-84.47610583230427,34.67592347901715,75,East Ellijay,2177.2199707,3.40191007, , ,222,39.9,104,18.7,87,15.6,81,14.6,62,11.1,23.5,345,62,17,3.1,0,0,5,0.9,189,34,{D6F91C32-2B9D-4823-9738-F6D4D988A438},,,,
-83.249786092788838,31.598645994149308,76,Ocilla,1633.93994141,2.55303001, , ,749,22.1,589,17.4,806,23.8,813,24,430,12.7,35.7,1036,30.6,2290,67.6,7,0.2,7,0.2,47,1.4,{73CA532D-4A30-4505-A4D0-C0BEA95F995E},,,,
-83.251695404596816,31.71386939057345,77,Fitzgerald,5763.47998047,9.00543022, , ,2587,28.7,1442,16,1478,16.4,2199,24.4,1307,14.5,35.6,3939,43.7,4434,49.2,0,0,261,2.9,370,4.1,{ECEA8CB0-95B9-4D90-82EE-8A004AEF1F6D},,,,
-82.665271648342781,33.406733872666322,78,Warrenton,1231.57995605,1.92435002, , ,422,23.3,321,17.7,241,13.3,457,25.2,371,20.5,40.4,424,23.4,1325,73.1,62,3.4,2,0.1,0,0,{ACB91B65-EFC7-4BEE-ACEB-B5C26DF2E92C},,,,
-82.705488203982597,33.462486518761899,79,Norwood,527.9130249,0.82486302, , ,28,12.2,58,25.6,35,15.6,67,29.3,39,17.4,44,48,21.3,178,78.4,0,0,0,0.2,0,0,{D8E4C281-0D56-4EBF-BFB4-FECC37D8EF7B},,,,
-82.646272929126894,33.452639622442945,80,Camak,508.38400269,0.79435003, , ,35,26.9,6,4.5,42,32.1,35,26.9,13,9.6,34.7,31,23.7,86,66,3,2.6,8,5.8,2,1.9,{E81442EF-1EB6-45FF-BCAE-89AA2DBA928B},,,,
-82.871126877313074,34.106317794531584,81,Elberton,3060.77001953,4.7824502, , ,1109,24.9,690,15.5,695,15.6,1082,24.3,877,19.7,38.1,2017,45.3,2017,45.3,0,0,45,1,370,8.3,{BF72A6F2-8C00-4A05-988F-7348AF268DCC},,,,
-83.030876386624442,34.205138307498864,82,Bowman,2009.70996094,3.1401701, , ,159,19.4,81,9.9,189,23.1,216,26.3,175,21.3,43.8,599,73.1,208,25.4,0,0,8,1,4,0.5,{303AB3B6-852F-4B5A-B561-D2D9AC5FDC54},,,,
-81.981443079721174,31.206537394802584,83,Nahunta,1814.88000488,2.8357501, , ,247,23.3,162,15.3,187,17.6,252,23.8,212,20,39.4,879,82.9,162,15.3,3,0.3,13,1.2,3,0.3,{1348E46C-3EF8-4C77-B49B-45B73D49C914},,,,
-82.131279562871057,31.181253683625133,84,Hoboken,2206.23999023,3.44724989, , ,129,24.3,23,4.4,170,32.1,115,21.6,93,17.6,39.3,506,95.2,22,4.1,0,0,0,0,4,0.8,{71F60FCB-3C46-4B33-B435-804E85E4CC0A},,,,
-81.125560987373746,31.963823625571976,85,Vernonburg,262.2130127,0.40970701, , ,20,15.5,7,5.2,27,20.7,43,32.8,34,25.9,54.8,131,100,0,0,0,0,0,0,0,0,{D45F5E82-C707-4548-AA0C-BD828AF29665},,,,
-80.852778971307117,32.010018949734139,86,Tybee Island,2053.33007813,3.20833993, , ,282,9.1,276,8.9,478,15.4,1098,35.4,968,31.2,55.3,2770,89.3,59,1.9,0,0,93,3,180,5.8,{9FD4F361-BB98-4A9A-991A-FFB5F74338A4},,,,
-81.049586116291195,32.033174380329946,87,Thunderbolt,899.36102295,1.40524995, , ,430,16.4,506,19.3,496,18.9,700,26.7,488,18.6,42.3,1500,57.2,593,22.6,79,3,3,0.1,448,17.1,{1163FEFF-5060-4F76-81B4-2636B26DC0BE},,,,
-81.178255534221705,32.028224458930346,88,Savannah,69709.703125,108.92099762, , ,31757,21.8,37438,25.7,26658,18.3,32194,22.1,17627,12.1,31.4,54045,37.1,78810,54.1,3351,2.3,2331,1.6,7138,4.9,{79676EFD-D36D-49E3-916E-9163A3F30DEE},,,,
-81.198328655242406,32.194365742802972,89,Port Wentworth,10640.09960938,16.62520027, , ,2100,27.5,1184,15.5,2123,27.8,1527,20,695,9.1,32,3001,39.3,3521,46.1,0,0,99,1.3,1008,13.2,{74C610D3-7176-4684-9E0A-5B5BD68D375F},,,,
