OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Workers__16_years_and_over,Car_Truck_or_Van_drove_alone,Pct_Car_Truck_Van_drove_alone,Car__truck__or_van___carpooled,Pct_Car_Truck_Van_carpooled,Public_Transport_excluding_Taxi,Pct_Public_Transp_exclude_Taxi,Worked_at_home,Percent_Worked_at_home,Mean_Travel_Time_to_Work_min,GlobalID,last_edited_date
694,170406,13077170406,1704.06,ARC 20,1728,1598,92.5,35,2,0,0,89,5.2,27.3,{D6A5DE0C-EEE3-4A77-91E3-E2CC260676CC},
695,170305,13077170305,1703.05,ARC 20,3965,2806,70.8,967,24.4,9,0.2,94,2.4,25.7,{92D87478-E1DB-4C43-A411-5A5ED14BB295},
696,170601,13077170601,1706.01,ARC 20,2563,1970,76.9,291,11.4,0,0,18,0.7,25.2,{CE25E8BD-5933-4C0A-BBFF-900CE00EA168},
697,170603,13077170603,1706.03,ARC 20,2581,2208,85.5,140,5.4,85,3.3,135,5.2,27.3,{FFC011D0-8E34-438D-A810-DD88ECBB28C4},
698,170502,13077170502,1705.02,ARC 20,3065,2301,75.1,604,19.7,40,1.3,95,3.1,40,{DCADEAEB-07DF-4527-A48A-DCAD1490E055},
699,170405,13077170405,1704.05,ARC 20,3630,3072,84.6,468,12.9,0,0,77,2.1,31.8,{119DFC5F-1C19-4EE5-8AEF-B93836F1D4AD},
700,170404,13077170404,1704.04,ARC 20,3001,2459,81.9,183,6.1,54,1.8,267,8.9,31.2,{54E21859-1ED7-421E-9A4C-940C320F23B2},
701,170403,13077170403,1704.03,ARC 20,2065,1768,85.6,145,7,0,0,137,6.6,34.1,{18CA0440-A0B8-47EC-9197-DF4B2AD78810},
702,170306,13077170306,1703.06,ARC 20,4327,3553,82.1,513,11.9,23,0.5,209,4.8,27.3,{1D02CF88-9DAA-45F7-B21B-EB9CEA86B214},
703,080603,13097080603,806.03,ARC 10,3521,2605,74,688,19.5,51,1.4,163,4.6,28.8,{89DD7209-3D7B-4401-BBB7-95AD98B08D88},
704,080511,13097080511,805.11,ARC 10,4170,3493,83.8,349,8.4,23,0.6,172,4.1,34.9,{12C5E076-68FC-4C3A-81C3-473B0826F55B},
705,080304,13097080304,803.04,ARC 10,2132,1484,69.6,162,7.6,0,0,250,11.7,27,{5C360719-E171-439D-8142-0B8459581DEC},
706,080404,13097080404,804.04,ARC 10,3759,2993,79.6,594,15.8,8,0.2,78,2.1,37.7,{C3D64B6E-422D-4A21-B924-58BA4047932C},
707,080303,13097080303,803.03,ARC 10,1691,1285,76,310,18.3,21,1.2,29,1.7,26.7,{B1570DA9-0DF5-4433-B395-394AD1C32CE9},
708,080403,13097080403,804.03,ARC 10,2290,1613,70.4,273,11.9,29,1.3,337,14.7,28.6,{C6020C32-3DCC-4C90-8A6A-F2E9BB0350D0},
709,080103,13097080103,801.03,ARC 10,3534,2893,81.9,419,11.9,0,0,133,3.8,23.7,{684512B8-BC0E-4C2E-98B7-F8B324BBF330},
710,080604,13097080604,806.04,ARC 10,4031,3344,83,540,13.4,36,0.9,94,2.3,32.2,{DF5B45FE-7FF7-48D0-B90F-868651C9567A},
711,170304,13077170304,1703.04,ARC 20,3135,2705,86.3,192,6.1,11,0.4,154,4.9,31.5,{48886F81-8EA2-4497-8BB9-C2AD6552ADF0},
712,170303,13077170303,1703.03,ARC 20,2528,2061,81.5,260,10.3,6,0.2,140,5.5,35.9,{71AB59BD-C7F1-44E6-827D-9A7198727D10},
713,170802,13077170802,1708.02,ARC 20,1966,1698,86.4,187,9.5,16,0.8,54,2.7,33.8,{E8930194-748E-4EC2-B642-3EAFFE907E06},
714,170801,13077170801,1708.01,ARC 20,2545,1996,78.4,275,10.8,16,0.6,212,8.3,33.3,{5319CB40-C338-4407-ADA0-3665ACCCB0FF},
715,170700,13077170700,1707,ARC 20,2734,2236,81.8,379,13.9,82,3,0,0,24.6,{C04EF1DC-BD63-4A55-AE07-87ACFA02EB40},
716,170402,13077170402,1704.02,ARC 20,4551,3527,77.5,725,15.9,0,0,226,5,30.7,{E7568161-3487-4772-B9A5-0AB848719379},
717,170200,13077170200,1702,ARC 20,2991,2371,79.3,489,16.3,33,1.1,98,3.3,25.1,{865D6499-D5FF-42F5-9A67-D8E7D666D433},
718,170100,13077170100,1701,ARC 20,3544,2916,82.3,377,10.6,0,0,220,6.2,32.7,{1D142793-0F65-4D78-8476-11B6AD095DC4},
719,080201,13097080201,802.01,ARC 10,1943,1403,72.2,304,15.6,52,2.7,46,2.4,32.5,{C1DDD105-C17C-4320-97B1-0D752AA86599},
720,080506,13097080506,805.06,ARC 10,2386,1989,83.4,305,12.8,0,0,44,1.8,29.8,{E4AFDBCB-BE69-4290-A326-E399EDC2450C},
721,080505,13097080505,805.05,ARC 10,2136,1930,90.4,83,3.9,45,2.1,71,3.3,30.5,{4A517074-9638-4FA7-82CC-DEA9C06080E6},
722,080202,13097080202,802.02,ARC 10,4301,3304,76.8,730,17,44,1,73,1.7,32.4,{5992266A-8B44-4C25-A1A2-987C4A9D1BDC},
723,080507,13097080507,805.07,ARC 10,1396,1111,79.6,160,11.5,15,1.1,102,7.3,35.8,{E6C7A692-37D3-4440-9275-8FF56A09BADC},
724,080402,13097080402,804.02,ARC 10,3852,2907,75.5,453,11.8,87,2.3,375,9.7,35.5,{D4B25322-E150-425B-94BA-2E8CE126F13E},
