OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Total_housing_units,Occupied_housing_units,Percent_Occupied_housing_units,Vacant_housing_units,Percent_Vacant_housing_units,Homeowner_vacancy_rate,Rental_vacancy_rate,One_unit_detatched_housing_unit,Percent_1Unit_Detached,Housing_units_built_since_2000,Pct_Units_Built_Since_2000,Units_Built_1980_to_1999,Pct_Units_Built_1980_to_1999,Units_Built_1979_or_Earlier,Pct_Units_Built_1979_or_Earlier,Owner_occupied_housing_units,Pct_Owner_Occ_HousUnits,Renter_occupied_housing_units,Pct_Renter_Occ_Units,GlobalID,last_edited_date
886,110601,13297110601,1106.01,ARC 20,1683,1611,95.7,72,4.3,1.8,20.9,1619,96.2,538,32,1043,62,102,6.1,1509,93.7,102,6.3,{32CBEB74-16A5-4320-9D0C-9CC1C0A1D150},
887,110507,13297110507,1105.07,ARC 20,2592,2527,97.5,65,2.5,0,0,2332,90,1143,44.1,1258,48.5,191,7.4,2093,82.8,434,17.2,{BF79C028-83F1-45A0-8B8B-E20AC0D284EC},
888,110506,13297110506,1105.06,ARC 20,1951,1881,96.4,70,3.6,2.8,0,1857,95.2,624,32,1107,56.7,220,11.3,1577,83.8,304,16.2,{D5C6F9EB-6138-47FD-A4BC-DD0A79BAB04C},
889,110603,13297110603,1106.03,ARC 20,1751,1575,89.9,176,10.1,1.1,4.2,1262,72.1,471,26.9,948,54.1,332,19,1230,78.1,345,21.9,{DDE11705-12D0-4087-9E12-12487C1085BC},
890,110602,13297110602,1106.02,ARC 20,1877,1724,91.8,153,8.2,1.6,0,1765,94,758,40.4,633,33.7,486,25.9,1370,79.5,354,20.5,{EB876474-9A57-48E0-8821-407D1838670B},
891,110504,13297110504,1105.04,ARC 20,1868,1722,92.2,146,7.8,2.7,8.2,1479,79.2,559,29.9,861,46.1,448,24,1063,61.7,659,38.3,{17CC80FB-FEEC-4CFC-B13E-F3AF43B8D57A},
892,110508,13297110508,1105.08,ARC 20,1824,1715,94,109,6,0.7,10.1,1507,82.6,665,36.5,865,47.4,294,16.1,1411,82.3,304,17.7,{0187DF18-C5FF-43A6-B709-78D770593D3C},
893,110503,13297110503,1105.03,ARC 20,1184,1150,97.1,34,2.9,2.4,0,1097,92.7,415,35.1,694,58.6,75,6.3,948,82.4,202,17.6,{6BA351C2-61F7-4CDF-B93E-CB134C6CA9ED},
894,110505,13297110505,1105.05,ARC 20,1382,1342,97.1,40,2.9,0,0,1250,90.4,557,40.3,683,49.4,142,10.3,1162,86.6,180,13.4,{A58DA887-A378-481C-BD18-27DD307B857F},
895,110800,13297110800,1108,ARC 20,2731,2380,87.1,351,12.9,1.9,4.1,2272,83.2,570,20.9,1206,44.2,955,35,1701,71.5,679,28.5,{E4C9772B-5022-43AA-92EA-63AD13918767},
896,110700,13297110700,1107,ARC 20,2925,2399,82,526,18,10.8,5.5,2547,87.1,1141,39,848,29,936,32,1375,57.3,1024,42.7,{208182AA-8F90-49CF-B275-C154040B4CC0},
897,110400,13297110400,1104,ARC 20,2677,2320,86.7,357,13.3,0,6.8,1697,63.4,458,17.1,1513,56.5,706,26.4,1186,51.1,1134,48.9,{F4958688-0E10-4607-9708-74F9AF208A3B},
898,110300,13297110300,1103,ARC 20,2887,2464,85.3,423,14.7,2.1,6.9,1573,54.5,572,19.8,972,33.7,1343,46.5,986,40,1478,60,{AB523EC9-CF2C-4215-8216-EC4A402D7D38},
899,110200,13297110200,1102,ARC 20,1829,1599,87.4,230,12.6,1.5,14.7,1472,80.5,470,25.7,895,48.9,464,25.4,1281,80.1,318,19.9,{499B97BB-E892-49B6-BA0C-84DA0560D818},
900,110100,13297110100,1101,ARC 20,3341,3258,97.5,83,2.5,0,0,3103,92.9,1547,46.3,1205,36.1,589,17.6,2813,86.3,445,13.7,{5BBDE8DF-4ED5-4E85-8284-028C7CF42394},
901,091005,13057091005,910.05,ARC 10,2757,2709,98.3,48,1.7,0,4.2,1757,63.7,529,19.2,1594,57.8,634,23,1608,59.4,1101,40.6,{33BC5EE2-1B51-4E42-9AF5-D0F7DBEFEA39},
902,091006,13057091006,910.06,ARC 10,1827,1784,97.6,43,2.4,0,9.4,1704,93.3,222,12.2,1501,82.2,104,5.7,1544,86.5,240,13.5,{8E89688C-E58F-45B0-B58D-F5AEE41D3606},
903,090400,13057090400,904,ARC 10,3916,3561,90.9,355,9.1,9.6,6.2,1858,47.4,1964,50.2,810,20.7,1142,29.2,1322,37.1,2239,62.9,{FE2698D0-6AAC-402F-B731-1B8EE2E5769C},
904,090601,13057090601,906.01,ARC 10,2558,2231,87.2,327,12.8,0,10.5,1614,63.1,718,28.1,1170,45.7,670,26.2,1125,50.4,1106,49.6,{2DB7D3FC-D6FF-4E2A-8148-4C3B908CF24B},
905,090901,13057090901,909.01,ARC 10,2891,2660,92,231,8,1.6,9.3,2715,93.9,651,22.5,1853,64.1,387,13.4,2288,86,372,14,{056B06BD-2C75-4304-850E-C28EBA556911},
906,090602,13057090602,906.02,ARC 10,3049,2793,91.6,256,8.4,1.8,0,2545,83.5,1076,35.3,1095,35.9,878,28.8,2159,77.3,634,22.7,{467A2283-447C-4F09-9423-D1BB7EBF7316},
907,090200,13057090200,902,ARC 10,3075,2720,88.5,355,11.5,2.9,1,2674,87,1199,39,1352,44,524,17,2326,85.5,394,14.5,{68604FE6-C77F-4365-8F3D-3DBCA9C93852},
908,090702,13057090702,907.02,ARC 10,2868,2828,98.6,40,1.4,0,0,2384,83.1,737,25.7,1487,51.8,644,22.5,2088,73.8,740,26.2,{089B2837-7BCF-4B28-94DF-A1619315322E},
909,090502,13057090502,905.02,ARC 10,4707,4341,92.2,366,7.8,3.5,20,4574,97.2,2550,54.2,1458,31,699,14.9,4005,92.3,336,7.7,{3CA23688-A4ED-41FC-9394-8CBF142A7D2D},
910,090100,13057090100,901,ARC 10,3561,3195,89.7,366,10.3,5.8,9.4,3068,86.2,1465,41.1,1370,38.5,726,20.4,2578,80.7,617,19.3,{29896E86-69CF-40CE-BE03-71AA4CCB252F},
911,090300,13057090300,903,ARC 10,4476,4272,95.4,204,4.6,1.9,0,3898,87.1,3380,75.5,833,18.6,263,5.9,3563,83.4,709,16.6,{B81EEBA1-45C2-48F7-AA5D-D611D1A8D561},
912,180206,13013180206,1802.06,ARC 20,1181,1015,85.9,166,14.1,0,19.6,954,80.8,200,16.9,425,36,556,47.1,565,55.7,450,44.3,{5D0E9918-30C4-478E-B265-2C4DEBEB82EA},
913,180205,13013180205,1802.05,ARC 20,1553,1406,90.5,147,9.5,0,6.9,909,58.5,278,17.9,725,46.7,550,35.4,647,46,759,54,{8A59CD6B-B94D-454A-BCA2-F49AEDCF4997},
914,180402,13013180402,1804.02,ARC 20,2225,1862,83.7,363,16.3,8,11.7,1753,78.8,844,37.9,688,30.9,693,31.1,1302,69.9,560,30.1,{6A776594-3CAF-40E1-B6BA-E77D4978903D},
915,180303,13013180303,1803.03,ARC 20,1550,1304,84.1,246,15.9,0,11.8,1344,86.7,558,36,707,45.6,285,18.4,1067,81.8,237,18.2,{07526DCD-FE8B-4BF3-9DDD-FBE35CB11773},
916,180106,13013180106,1801.06,ARC 20,1057,962,91,95,9,0,2.8,832,78.7,145,13.7,740,70,172,16.3,680,70.7,282,29.3,{6BF83DA2-1195-43BA-B340-AAB0E63B2E33},
917,180103,13013180103,1801.03,ARC 20,1651,1452,87.9,199,12.1,7.2,14.2,1605,97.2,1015,61.5,378,22.9,258,15.6,1295,89.2,157,10.8,{9BE7CD46-B0E7-474F-9076-8FFE759A07AB},
918,180401,13013180401,1804.01,ARC 20,2118,1905,89.9,213,10.1,0,0,1991,94,1468,69.3,318,15,332,15.7,1592,83.6,313,16.4,{D207F16C-729F-4B2B-81E3-5550281CFACD},
919,180203,13013180203,1802.03,ARC 20,1245,1035,83.1,210,16.9,0,11.5,807,64.8,180,14.5,611,49.1,454,36.5,449,43.4,586,56.6,{EB8DFE87-F848-49ED-830B-B955037D6CB4},
920,180503,13013180503,1805.03,ARC 20,2021,1787,88.4,234,11.6,3.5,14,1662,82.2,1082,53.5,656,32.5,283,14,1560,87.3,227,12.7,{517E8312-0B26-40DA-8A96-9B1703EAA510},
921,180502,13013180502,1805.02,ARC 20,1696,1564,92.2,132,7.8,4.4,6.1,1479,87.2,707,41.7,545,32.1,444,26.2,1195,76.4,369,23.6,{BBE814E8-7ECE-45F7-93CB-F8FDC7D8DAB8},
922,180204,13013180204,1802.04,ARC 20,936,804,85.9,132,14.1,17.5,2.8,673,71.9,231,24.7,282,30.1,423,45.2,349,43.4,455,56.6,{30520637-DEAD-486B-9E93-2B86C584DD37},
923,180501,13013180501,1805.01,ARC 20,1919,1768,92.1,151,7.9,1.5,0,1757,91.6,1275,66.4,544,28.3,100,5.2,1346,76.1,422,23.9,{94B82F42-1A7E-4B17-8B63-A787D800C942},
924,180301,13013180301,1803.01,ARC 20,819,698,85.2,121,14.8,2.7,36.5,677,82.7,325,39.7,288,35.2,206,25.2,583,83.5,115,16.5,{A429082A-64EB-416B-88A5-BC286855DDAC},
925,180302,13013180302,1803.02,ARC 20,2283,2106,92.2,177,7.8,0,0,2033,89,1110,48.6,728,31.9,445,19.5,1573,74.7,533,25.3,{ADB9D294-2603-4663-B923-BC9D198F4D1E},
926,180105,13013180105,1801.05,ARC 20,914,833,91.1,81,8.9,2.8,0,828,90.6,334,36.5,478,52.3,102,11.2,753,90.4,80,9.6,{9B1DBDAC-F109-4C6E-822C-7F9DFC9D414D},
927,180104,13013180104,1801.04,ARC 20,800,716,89.5,84,10.5,6.2,11,696,87,105,13.1,583,72.9,112,14,562,78.5,154,21.5,{254435D5-85D1-47FF-ADCA-C047C25E4851},
928,180107,13013180107,1801.07,ARC 20,1620,1351,83.4,269,16.6,0,9.8,1329,82,191,11.8,1088,67.2,341,21,980,72.5,371,27.5,{4BBC70D2-F2EF-4FFE-BA15-58A1FD3D12D5},
929,180108,13013180108,1801.08,ARC 20,1112,992,89.2,120,10.8,0,10.4,960,86.3,63,5.7,797,71.7,252,22.7,741,74.7,251,25.3,{53F42766-4C97-4AEB-851B-E76A9A581A3A},
930,120104,13223120104,1201.04,ARC 20,923,868,94,55,6,0,0,897,97.2,455,49.3,272,29.5,196,21.2,759,87.4,109,12.6,{54B501B1-C081-4C5D-A0E2-8E2569D041B0},
931,120604,13223120604,1206.04,ARC 20,1803,1747,96.9,56,3.1,0.4,14.6,1789,99.2,550,30.5,1070,59.3,183,10.1,1601,91.6,146,8.4,{23FA2FC8-8006-4B80-8310-FD9937154C38},
932,120601,13223120601,1206.01,ARC 20,1600,1477,92.3,123,7.7,0,0,1565,97.8,613,38.3,744,46.5,243,15.2,1321,89.4,156,10.6,{2F06D440-AEE6-4809-8984-38992E540029},
933,120603,13223120603,1206.03,ARC 20,2467,2408,97.6,59,2.4,0,5.9,1886,76.4,971,39.4,1091,44.2,405,16.4,1461,60.7,947,39.3,{592F5B06-49A6-42FF-94CA-8AB777308A7D},
934,120501,13223120501,1205.01,ARC 20,2572,2261,87.9,311,12.1,2.5,0,2020,78.5,1038,40.4,1160,45.1,374,14.5,1669,73.8,592,26.2,{6FC1B402-9C8A-4DB8-B941-F303B500C0D0},
935,120203,13223120203,1202.03,ARC 20,1960,1899,96.9,61,3.1,2.1,6.7,1793,91.5,561,28.6,1205,61.5,194,9.9,1478,77.8,421,22.2,{559422C8-4C02-4779-A639-64A5463ABF4C},
936,120101,13223120101,1201.01,ARC 20,4370,4006,91.7,364,8.3,4.7,5.7,4359,99.7,2583,59.1,1640,37.5,147,3.4,3515,87.7,491,12.3,{8EBEF279-E569-4DD4-8FE1-667D7FF5575B},
937,120502,13223120502,1205.02,ARC 20,3399,3019,88.8,380,11.2,3.8,8.5,3255,95.8,886,26.1,2107,62,406,11.9,2460,81.5,559,18.5,{6A7090CA-6923-4071-A4D0-C76B16756CF5},
938,120503,13223120503,1205.03,ARC 20,1799,1732,96.3,67,3.7,3.6,0,1703,94.7,861,47.9,757,42.1,181,10.1,1526,88.1,206,11.9,{D3458230-CB03-4A29-9569-DAF6A03A4596},
939,120605,13223120605,1206.05,ARC 20,2011,1910,95,101,5,2.1,10.9,1862,92.6,723,36,1036,51.5,252,12.5,1616,84.6,294,15.4,{3B009BC6-D673-4C25-BEB7-9073C18B2395},
940,120602,13223120602,1206.02,ARC 20,3446,3031,88,415,12,8.6,0,3404,98.8,1160,33.7,2068,60,218,6.3,2684,88.6,347,11.4,{50CAE5FF-B2F8-4063-9F49-35165C4A4A0D},
941,120204,13223120204,1202.04,ARC 20,2568,2422,94.3,146,5.7,3.9,6.5,1922,74.8,1302,50.7,998,38.9,268,10.4,1593,65.8,829,34.2,{95FF6082-2019-4D5C-8EE7-3AFC179CA66B},
942,120301,13223120301,1203.01,ARC 20,2464,2207,89.6,257,10.4,0,0,1868,75.8,885,35.9,1019,41.4,560,22.7,1390,63,817,37,{FBEBBCAE-F526-4287-97CD-0495E443C4FB},
943,120303,13223120303,1203.03,ARC 20,664,641,96.5,23,3.5,3.3,1.4,624,94,219,33,344,51.8,101,15.2,437,68.2,204,31.8,{5F62A510-7588-4562-94C3-2AD75B47F3A6},
944,120102,13223120102,1201.02,ARC 20,3775,3459,91.6,316,8.4,1.7,0,3618,95.8,2441,64.7,1002,26.5,332,8.8,3082,89.1,377,10.9,{F4827001-A1E5-4045-B184-B3916730E5F6},
945,120103,13223120103,1201.03,ARC 20,2918,2848,97.6,70,2.4,0,0,2899,99.3,1616,55.4,959,32.9,343,11.8,2535,89,313,11,{421DCEE6-5BDB-4CCD-8A14-B069ED05920D},
946,120302,13223120302,1203.02,ARC 20,4818,4343,90.1,475,9.9,1.1,12.7,3369,69.9,2196,45.6,1950,40.5,672,13.9,2519,58,1824,42,{FA752340-0726-42D9-A735-5B581AB9EEA9},
947,120202,13223120202,1202.02,ARC 20,2905,2709,93.3,196,6.7,3.5,0,2567,88.4,1364,47,1284,44.2,257,8.8,2183,80.6,526,19.4,{91645667-3417-4FE1-83C1-516BDAF1B328},
948,120400,13223120400,1204,ARC 20,6452,6123,94.9,329,5.1,0,0,6012,93.2,3811,59.1,1938,30,703,10.9,4982,81.4,1141,18.6,{57FB12A7-C835-449F-AE78-D06392FC8507},
