OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Pop_wHealth_Insurance,Pct_Pop_wHealth_Ins,Pop_wPriv_Health_Ins,Pct_Pop_wPriv_Health_Ins,Population_with_public_coverage,Pct_Pop_wPub_Health_Ins,Pop_wNo_Health_Ins,Pct_Pop_wNo_Health_Ins,Pop_u18_wNo_Health_Ins,Pct_Pop_u18_wNo_Health_Ins,Pop_18to64_Employed,Pop_18to64_Empl_wNo_Health_Ins,Pct_Pop_18to64_Emp_wNo_Hlth_Ins,Pop_18to64_Unemployed,Pop_18to64_Unemp_wNo_Health_Ins,Pct_Pop_18to64_Unemp_No_HlthIns,Pop_18to64_Not_in_Labor_Force,Pop_18to64_Not_LabFor_NoHlthIns,PctPop_18to64_NotLFor_NoHlthIns,GlobalID,last_edited_date
789,023206,13089023206,232.06,ARC 10,6342,82.9,3975,51.9,2889,37.7,1311,17.1,147,6.8,2972,573,19.3,417,167,40,1165,351,30.1,{54BEFF6C-6BFA-4A0A-92E1-9D159FF85594},
790,021907,13089021907,219.07,ARC 10,7217,81,5785,64.9,2385,26.8,1691,19,100,5.5,3922,725,18.5,677,402,59.4,1217,401,32.9,{EAAAE826-05C7-4009-A58E-2B7D8A895B11},
791,023204,13089023204,232.04,ARC 10,6017,84.2,3983,55.7,2503,35,1131,15.8,158,8.4,2920,405,13.9,678,391,57.7,996,154,15.5,{A50EBC85-FE5F-45ED-976E-88CCBE9F8498},
792,023113,13089023113,231.13,ARC 10,2510,74.4,1486,44,1127,33.4,865,25.6,90,8.8,1532,355,23.2,341,249,73,344,161,46.8,{0D44AB23-B6B2-4832-B453-17682F39E318},
793,022010,13089022010,220.10,ARC 10,1901,71.4,1164,43.7,843,31.6,763,28.6,100,12.4,1073,303,28.2,149,95,63.8,416,238,57.2,{08C329F7-526A-4ADE-AF49-9CBF2FFCD037},
794,023111,13089023111,231.11,ARC 10,1599,78.1,1107,54.1,707,34.5,449,21.9,0,0,786,168,21.4,225,103,45.8,316,173,54.7,{1FF0A25D-CADA-4E0C-A9F7-D938430015D4},
795,021814,13089021814,218.14,ARC 10,2968,52.7,1816,32.2,1333,23.7,2668,47.3,348,26.2,3127,1755,56.1,438,319,72.8,502,246,49,{6386BFA6-5C2A-49F3-8EF5-7D7C18FB54CF},
796,021409,13089021409,214.09,ARC 10,2027,54.6,1069,28.8,1018,27.4,1683,45.4,129,13.1,1966,1082,55,130,96,73.8,574,376,65.5,{5988C534-2687-4FAE-BCD2-267123625991},
797,021218,13089021218,212.18,ARC 10,4138,85.8,3817,79.1,629,13,686,14.2,0,0,3263,534,16.4,211,73,34.6,214,37,17.3,{67FBE04A-C496-4148-AD60-F7F9B9A0C7FF},
798,023507,13089023507,235.07,ARC 10,3143,81.2,2187,56.5,1335,34.5,727,18.8,44,5.6,1629,412,25.3,240,99,41.2,651,172,26.4,{72962AA7-ECAD-4DB5-BE0C-B23A360807EF},
