OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Civilian_nonInstitutional_Pop,Civ_nonInstitution_Pop_wDisabil,Pct_Civ_nonInstitut_Pop_wDisab,Civ_nonInstitut_Pop_under_18yrs,Civ_nonInst_under18_wDisab,Pct_Civ_nonInst_under18_wDisab,Civ_nonInst_Pop_18_to_64,Civ_nonInst_18_to_64_wDisab,Pct_Civ_nonInst_18to64_wDisab,Civ_nonInst_Pop_65years_up,Civ_nonInst_65up_wDisab,Pct_Civ_nonInst_65up_wDisab,GlobalID,last_edited_date
728,023426,13089023426,234.26,ARC 10,4809,602,12.5,1015,2,2.3,3218,325,10.1,576,254,44.1,{D921AA50-A68B-46D2-B44E-31EC9AD61158},
729,021502,13089021502,215.02,ARC 10,4565,410,9,655,0,0,3418,291,8.5,492,119,24.2,{A1CBE805-7C1E-43C9-8CD7-CB98F6393539},
730,022302,13089022302,223.02,ARC 10,4564,529,11.6,727,1,1.4,3287,296,9,550,223,40.5,{94AFE53A-1BFA-4F8E-8370-057E6CCAFBFF},
731,022007,13089022007,220.07,ARC 10,4090,446,10.9,1251,3,2.9,2599,316,12.2,240,94,39.2,{D465876D-F9DD-4F43-B1C0-6BA53BA52817},
732,021602,13089021602,216.02,ARC 10,4004,451,11.3,699,3,3.4,2493,171,6.9,812,256,31.5,{342A74EB-7721-4A85-B5FC-D94FCCD03CC0},
733,023803,13089023803,238.03,ARC 10,5320,816,15.3,1077,1,0.9,3478,480,13.8,765,326,42.6,{B3521A43-4B18-48AB-BE3A-8A7CDA1B2A9F},
734,022402,13089022402,224.02,ARC 10,5715,469,8.2,182,4,3.8,5175,220,4.3,358,242,67.6,{052B8CD6-F1CE-45B0-A18D-6DCDA69D408A},
735,022700,13089022700,227,ARC 10,4365,414,9.5,1406,2,2.1,2626,178,6.8,333,206,61.9,{4BEE1235-E782-40CB-B3AD-7899818A91BF},
736,022403,13089022403,224.03,ARC 10,3988,231,5.8,1029,2,2.3,2319,71,3.1,640,136,21.3,{A07D37C1-1A0F-4874-9C3B-83083F3F057A},
737,023425,13089023425,234.25,ARC 10,5773,908,15.7,993,2,2.2,4156,582,14,624,304,48.7,{A4A6C17E-F273-471B-9624-B1141B8F0601},
738,022204,13089022204,222.04,ARC 10,6904,636,9.2,1865,4,3.5,4713,537,11.4,326,33,10.1,{53C01E0D-2F44-4AB3-9F46-0529045CFA0B},
739,023423,13089023423,234.23,ARC 10,7464,677,9.1,1627,4,3.6,5282,411,7.8,555,207,37.3,{0B85B2FE-16CD-4675-9483-B99448CF16C9},
740,023419,13089023419,234.19,ARC 10,9484,1053,11.1,2451,2,2.5,6312,660,10.5,721,332,46,{F064EBE8-7842-43B0-8455-E8014651F7E3},
741,023312,13089023312,233.12,ARC 10,9180,1110,12.1,2406,4,3.9,5978,798,13.3,796,219,27.5,{08984DBA-62BE-493B-B2A1-6534FBFA0702},
742,023311,13089023311,233.11,ARC 10,4999,385,7.7,1442,4,4,3201,280,8.7,356,47,13.2,{C9A75897-FF0C-417E-A883-636585EE0096},
743,023213,13089023213,232.13,ARC 10,5938,718,12.1,1416,6,6.3,3969,462,11.6,553,167,30.2,{DBBA91C2-00FF-4724-B3D6-BF3B592AA2F0},
