OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Pop_PovertyStatus_Determined,Population_in_poverty,Percent_Population_in_poverty,Pop_under18_PovStatus_Determine,Pop_under18_inPoverty,Pct_Pop_u18_in_Poverty,Pop_18_64_PovStatus_Determ,Pop_18_64_Years_in_Poverty,Pct_Pop_18_64_Years_inPoverty,Pop_65older_PovStatusDetermined,Pop_65older_in_Poverty,Pct_Pop_65older_inPoverty,GlobalID,last_edited_date
500,012300,13121012300,123,ARC 10,2455,432,17.6,340,110,32.4,1903,288,15.1,212,34,16,{6DBD1E99-BDDD-4D84-BD52-5B230EAA717B},
501,012000,13121012000,120,ARC 10,2744,1538,56,469,385,82.1,2134,1118,52.4,141,35,24.8,{41F8A445-EFFA-416A-AD2B-0B72E6493210},
502,011900,13121011900,119,ARC 10,2509,853,34,175,147,84,1988,571,28.7,346,135,39,{CB96AA20-8E4B-4A97-B343-65645A0AD3B6},
503,011800,13121011800,118,ARC 10,2882,1900,65.9,393,364,92.6,2379,1498,63,110,38,34.5,{6DC237DE-273B-40BE-A322-69921E393034},
504,011624,13121011624,116.24,ARC 10,4259,41,1,1360,11,0.8,2794,30,1.1,105,0,0,{D86D7571-0165-4717-80E1-7628B3916215},
505,003600,13121003600,36,ARC 10,1279,257,20.1,156,33,21.2,974,206,21.1,149,18,12.1,{26E96F4A-25CC-4E0C-8240-ED2E657FECC2},
506,003500,13121003500,35,ARC 10,1684,906,53.8,28,0,0,1628,892,54.8,28,14,50,{EC330522-4EF3-4B5A-BC81-3CCD30B7DAE8},
507,010208,13121010208,102.08,ARC 10,4193,401,9.6,532,0,0,2656,204,7.7,1005,197,19.6,{5A04A314-B29C-4D02-B416-9AABDD428E44},
508,011411,13121011411,114.11,ARC 10,8329,879,10.6,1806,248,13.7,5397,631,11.7,1126,0,0,{EDBA0816-EA21-4546-AD64-AEA32720AB69},
509,011412,13121011412,114.12,ARC 10,9249,391,4.2,2181,103,4.7,6493,257,4,575,31,5.4,{959A3534-F03F-4F36-BBE0-25F655CC41DC},
510,011414,13121011414,114.14,ARC 10,7543,170,2.3,2006,41,2,5113,129,2.5,424,0,0,{621FB20C-9A6E-4030-9510-D6CE9A9EFB14},
511,010603,13121010603,106.03,ARC 10,3809,1540,40.4,1261,706,56,2337,791,33.8,211,43,20.4,{CBFB87B5-7C9C-4A58-8667-54A925806E2F},
512,010604,13121010604,106.04,ARC 10,2763,729,26.4,610,244,40,1890,448,23.7,263,37,14.1,{7816A3B7-B239-4611-839D-6FE200785FC1},
513,007300,13121007300,73,ARC 10,7952,3862,48.6,2224,1631,73.3,5150,2139,41.5,578,92,15.9,{68A2557A-EDEE-4F13-9589-7AC84C026957},
514,010508,13121010508,105.08,ARC 10,3955,1220,30.8,1160,650,56,2307,540,23.4,488,30,6.1,{8CD5F430-85F2-4707-8FB0-6A94802FA04C},
