OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Population_16_years_and_over,Civilian_Labor_Force,Percent_Civilian_Labor_Force,Pct_Unemp_Civil_Lab_Force,Percent_Percent_Unemployed__Civ,GlobalID,last_edited_date
899,110200,13297110200,1102,ARC 20,3435,2069,60.2,174,8.4,{499B97BB-E892-49B6-BA0C-84DA0560D818},
900,110100,13297110100,1101,ARC 20,6916,4670,67.5,228,4.9,{5BBDE8DF-4ED5-4E85-8284-028C7CF42394},
901,091005,13057091005,910.05,ARC 10,6311,4165,66,210,5,{33BC5EE2-1B51-4E42-9AF5-D0F7DBEFEA39},
902,091006,13057091006,910.06,ARC 10,3755,2738,72.9,152,5.6,{8E89688C-E58F-45B0-B58D-F5AEE41D3606},
903,090400,13057090400,904,ARC 10,7430,4735,63.7,285,6,{FE2698D0-6AAC-402F-B731-1B8EE2E5769C},
904,090601,13057090601,906.01,ARC 10,5834,3719,63.7,658,17.7,{2DB7D3FC-D6FF-4E2A-8148-4C3B908CF24B},
905,090901,13057090901,909.01,ARC 10,5840,3967,67.9,213,5.4,{056B06BD-2C75-4304-850E-C28EBA556911},
906,090602,13057090602,906.02,ARC 10,6047,4070,67.3,305,7.5,{467A2283-447C-4F09-9423-D1BB7EBF7316},
907,090200,13057090200,902,ARC 10,6679,3881,58.1,216,5.6,{68604FE6-C77F-4365-8F3D-3DBCA9C93852},
908,090702,13057090702,907.02,ARC 10,5964,4255,71.3,329,7.7,{089B2837-7BCF-4B28-94DF-A1619315322E},
909,090502,13057090502,905.02,ARC 10,9678,5974,61.7,392,6.6,{3CA23688-A4ED-41FC-9394-8CBF142A7D2D},
910,090100,13057090100,901,ARC 10,7136,4540,63.6,227,5,{29896E86-69CF-40CE-BE03-71AA4CCB252F},
911,090300,13057090300,903,ARC 10,9002,5550,61.7,190,3.4,{B81EEBA1-45C2-48F7-AA5D-D611D1A8D561},
912,180206,13013180206,1802.06,ARC 20,2228,1319,59.2,105,8,{5D0E9918-30C4-478E-B265-2C4DEBEB82EA},
