OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,U_S__Native,Percent_U_S__Native,USnative_Born_in_US,Pct_USnative_Born_US,USnative_Born_State_Resid,Pct_USnative_Born_State_Resid,US_Native_Born_Diff_State,Pct_US_Natv_Born_inDiff_State,Foreign_Born,Percent_Foreign_Born,ForBorn_Nat_UScitizen,Pct_ForBorn_Nat_UScitizen,ForeignBorn_notUS_Citizen,Pct_ForBorn_notUS_Citizen,GlobalID,last_edited_date
653,010002,13121010002,100.02,ARC 10,6750,91.1,6545,88.3,2684,36.2,3861,52.1,659,8.9,510,77.4,149,22.6,{C399E65D-A890-4D31-9DA2-BFB5CB96F6BF},
654,009502,13121009502,95.02,ARC 10,2949,96.2,2919,95.3,1169,38.2,1750,57.1,115,3.8,64,55.7,51,44.3,{B142B399-4753-46E8-8FD0-9DC7AC66740B},
655,008000,13121008000,80,ARC 10,5241,96.7,5151,95,3981,73.4,1170,21.6,181,3.3,105,58,76,42,{A7DBC43E-44F1-4100-991B-42BB35633500},
656,003900,13121003900,39,ARC 10,1940,100,1940,100,1263,65.1,677,34.9,0,0,0,,0,,{DE22EB5B-FB8C-4268-BB3A-90407569DAE2},
657,004100,13121004100,41,ARC 10,1856,97.4,1809,94.9,1389,72.9,420,22,50,2.6,32,64,18,36,{4AD0E97E-6B10-4CF1-B6E6-AD693474946E},
658,002400,13121002400,24,ARC 10,2462,98.3,2462,98.3,1973,78.8,489,19.5,42,1.7,26,61.9,16,38.1,{1E954665-C885-4B97-B018-E6FED03CFAAA},
659,004000,13121004000,40,ARC 10,2346,97.4,2346,97.4,1701,70.6,645,26.8,62,2.6,36,58.1,26,41.9,{CDB5D80A-D7E2-4D23-81C9-43A6817C7589},
660,008400,13121008400,84,ARC 10,3274,98.7,3274,98.7,2535,76.4,739,22.3,44,1.3,44,100,0,0,{1AE58B8D-C170-4475-9B1E-53ABFA015F11},
661,008302,13121008302,83.02,ARC 10,1920,98.9,1920,98.9,1467,75.6,453,23.3,21,1.1,21,100,0,0,{847334CE-7DB1-4E00-A15B-FA4E3961DE75},
662,008301,13121008301,83.01,ARC 10,2295,100,2295,100,1728,75.3,567,24.7,0,0,0,,0,,{3B1E8E74-0F41-4638-9C05-905C2BAE2CAC},
